strategy,budget,high_value_threshold,mean_observed_response,mean_observed_response_q05,mean_observed_response_q95,max_observed_response,max_observed_response_q05,max_observed_response_q95,high_value_hits,high_value_hits_q05,high_value_hits_q95,high_value_hit_rate,high_value_hit_rate_q05,high_value_hit_rate_q95,mean_uncertainty_half_width_90,mean_uncertainty_half_width_90_q05,mean_uncertainty_half_width_90_q95,protocol_diversity,protocol_diversity_q05,protocol_diversity_q95,mean_response_lift_vs_random,hit_rate_lift_vs_random
random,5,2.2666666666666653,0.7097924731457801,0.0,2.675,2.78464845656049,0.0,10.727272727272728,0.4944,0.0,2.0,0.09888000000000001,0.0,0.4,0.797016848465085,0.6945712846600302,0.8875559881112837,1.9442,1.0,2.0,,
predicted_response,5,2.2666666666666653,11.203787878787878,,,16.833333333333332,,,5.0,,,1.0,,,0.8979955748317592,,,2.0,,,10.493995405642098,0.90112
uncertainty,5,2.2666666666666653,9.170454545454545,,,13.375,,,5.0,,,1.0,,,0.9172773735563556,,,1.0,,,8.460662072308764,0.90112
balanced,5,2.2666666666666653,9.170454545454545,,,13.375,,,5.0,,,1.0,,,0.9172773735563556,,,1.0,,,8.460662072308764,0.90112
random,10,2.2666666666666653,0.7249587393241882,0.04999999999999999,1.9333333333333331,4.601295129814772,0.3333333333333333,13.375,1.015,0.0,3.0,0.1015,0.0,0.3,0.7981730889484252,0.72503168865919,0.8638530833846266,1.9978,2.0,2.0,,
predicted_response,10,2.2666666666666653,8.981060606060606,,,16.833333333333332,,,10.0,,,1.0,,,0.8527851979818148,,,2.0,,,8.256101866736417,0.8985
uncertainty,10,2.2666666666666653,6.745734519104086,,,13.375,,,10.0,,,1.0,,,0.9172773735563556,,,1.0,,,6.020775779779897,0.8985
balanced,10,2.2666666666666653,6.745734519104086,,,13.375,,,10.0,,,1.0,,,0.9172773735563556,,,1.0,,,6.020775779779897,0.8985
random,20,2.2666666666666653,0.7233917181663179,0.16247727272727272,1.5366287878787883,6.737915326280708,1.4166666666666667,16.833333333333332,2.0204,0.0,4.0,0.10102,0.0,0.2,0.7976050486135007,0.7487477320083537,0.8454666703370318,2.0,2.0,2.0,,
predicted_response,20,2.2666666666666653,6.634117259552042,,,16.833333333333332,,,20.0,,,1.0,,,0.8506395903643698,,,2.0,,,5.910725541385724,0.89898
uncertainty,20,2.2666666666666653,4.068700592885375,,,13.375,,,12.0,,,0.6,,,0.9172773735563556,,,1.0,,,3.3453088747190574,0.49898
balanced,20,2.2666666666666653,4.068700592885375,,,13.375,,,12.0,,,0.6,,,0.9172773735563556,,,1.0,,,3.3453088747190574,0.49898
random,30,2.2666666666666653,0.7308157480818415,0.23912878787878789,1.3834027777777778,8.225739311012942,2.5,16.833333333333332,3.0628,1.0,6.0,0.10209333333333333,0.03333333333333333,0.2,0.7979907952252905,0.7583647369149276,0.8360831007907968,2.0,2.0,2.0,,
predicted_response,30,2.2666666666666653,5.130068072024595,,,16.833333333333332,,,25.0,,,0.8333333333333334,,,0.8112151342812459,,,2.0,,,4.399252323942753,0.73124
uncertainty,30,2.2666666666666653,2.890749890206412,,,13.375,,,12.0,,,0.4,,,0.9172773735563557,,,1.0,,,2.1599341421245706,0.2979066666666667
balanced,30,2.2666666666666653,2.890749890206412,,,13.375,,,12.0,,,0.4,,,0.9172773735563557,,,1.0,,,2.1599341421245706,0.2979066666666667
random,50,2.2666666666666653,0.7308390982562195,0.3433909090909091,1.1899670096101682,10.101311133069828,3.8333333333333335,16.833333333333332,5.0728,2.0,8.0,0.101456,0.04,0.16,0.7980604871295194,0.7693911253157626,0.8255209081123168,2.0,2.0,2.0,,
predicted_response,50,2.2666666666666653,3.5518911105944357,,,16.833333333333332,,,27.0,,,0.54,,,0.8127124245228042,,,2.0,,,2.821052012338216,0.43854400000000004
uncertainty,50,2.2666666666666653,1.89017720685112,,,13.375,,,13.0,,,0.26,,,0.9172773735563555,,,1.0,,,1.1593381085949006,0.15854400000000002
balanced,50,2.2666666666666653,2.3972850499883753,,,13.375,,,17.0,,,0.34,,,0.9068748886505804,,,1.0,,,1.6664459517321557,0.23854400000000003
