specification,rmse,mae,r2,predictive_correlation,n,fold
G,2.0320368890118496,1.083238182766269,-0.001341639718767107,0.16670703640828383,60,0
G,1.3489454285559486,0.853758132996052,-0.11884746097032561,0.11273133678893439,51,1
G,1.882721638111057,1.6435111960944007,-0.6342540348936838,0.06012742610829437,44,2
G,2.2946547557721964,1.349627618511962,0.011404294274936388,0.16523324062702582,104,3
G,2.6985297117795923,1.5645131514622612,-0.24785200062826296,0.27038798032757416,26,4
G+P,2.027106408477253,1.0856524193494337,0.003511722807166273,0.17483967171883244,60,0
G+P,1.3501175429468242,0.8629806041025612,-0.12079266488334817,0.12072395919211322,51,1
G+P,1.8771361041810883,1.6388200397561818,-0.6245716254121454,0.06913034361641397,44,2
G+P,2.2914812963893563,1.3462459290033237,0.014136817694550552,0.17064739473524693,104,3
G+P,2.7354979536423314,1.6020941653613454,-0.28227584053448074,0.22684386309042287,26,4
G+P+X15,0.8145905438577463,0.38476148357298434,0.8390845184225442,0.9359242130788366,60,0
G+P+X15,0.6062696184642412,0.2971469638213665,0.7739972467671451,0.9068537566473563,51,1
G+P+X15,0.49921487896194705,0.40631985393953546,0.8850993779921998,0.9523220103407037,44,2
G+P+X15,0.8203555254521298,0.4680612967674624,0.8736462226917472,0.9631307053620187,104,3
G+P+X15,1.4400395866289302,0.7063729409658474,0.6446490070647832,0.8715727889756487,26,4
