target,fold,n_train,n_test,rmse,mae,r2,rho,sigma_g2,sigma_e2,lambda,h2,variance_boundary
shoots 15d protocol a,0,104,29,0.3896345002983803,0.3143113103870949,-0.12010534099625692,0.04414594715415889,1.121903392284919,6.893250197209739e-06,6.144245792118192e-06,0.9999938557919594,True
shoots 15d protocol a,3,84,49,0.9861182930791343,0.3531755641700182,-0.008347787066770307,0.018869080764874736,0.42551535458031997,2.6144707341276267e-06,6.144245339175231e-06,0.9999938557924123,True
shoots 15d protocol a,2,113,20,0.3740490472365065,0.2588418396839049,0.2026000014901408,0.5123236952041847,1.0705025375387793,6.577431053473083e-06,6.1442461113594635e-06,0.9999938557916401,True
shoots 15d protocol a,1,109,24,0.24382024494341573,0.16579860317400463,-1.3717560257868695,-0.21806429290935678,1.127022194764061,6.924702434838004e-06,6.1442467300190755e-06,0.9999938557910215,True
shoots 15d protocol a,4,122,11,0.9375327183018347,0.36397084555838755,-0.027585307673987813,0.3691752931756547,0.8455909490760032,5.195518930482395e-06,6.144246146626403e-06,0.999993855791605,True
shoots 15d protocol b,0,121,31,0.9904465715018176,0.48466852790810455,0.07795594150795915,0.3417564170136037,1.4807963920808505,9.098374441383827e-06,6.144244063559997e-06,0.9999938557936879,True
shoots 15d protocol b,3,97,55,0.8873425183124932,0.5498909146455889,-0.0053806735080181856,0.08161309393821853,1.6498136582233671,1.0136860880759876e-05,6.1442459457366515e-06,0.9999938557918058,True
shoots 15d protocol b,2,128,24,0.8272705992072922,0.5077281973341992,0.04485920242431907,0.21698354674168172,1.6517591220977041,1.0148813731880684e-05,6.144245608277237e-06,0.9999938557921432,True
shoots 15d protocol b,1,125,27,0.9427409016496295,0.393868573131859,-0.02110662747891001,0.06709141368023272,1.4440198687963677,8.872415342833994e-06,6.144247412765455e-06,0.9999938557903387,True
shoots 15d protocol b,4,137,15,0.6688445549493571,0.32363129706169036,-0.004212470847799521,0.2272535743651837,1.6245276617368205,9.981496144407227e-06,6.144245111674969e-06,0.9999938557926399,True
shoots 21d protocol a,0,104,29,0.9862193670383135,0.8171511995530027,-0.23965076984009404,0.029470995366908986,9.02501352261105,5.545188338117118e-05,6.144243799994689e-06,0.9999938557939515,True
shoots 21d protocol a,3,84,49,2.5808482546468445,0.9876843512841343,-0.003933273416558025,-0.03901329052757194,0.40793894074566356,1.7668060446037166,4.331055136276539,0.1875801270925229,False
shoots 21d protocol a,2,113,20,1.025718109385676,0.7028302627941695,0.1040316834410836,0.3308366646014097,8.447980175792093,5.190645936252797e-05,6.144244929843382e-06,0.9999938557928215,True
shoots 21d protocol a,1,109,24,0.9356783398505765,0.7821916849325122,-0.07469497428560157,-0.0017170533398654046,2.6849231719429987e-05,4.36981625535977,162753.865772534,6.144209546383693e-06,True
shoots 21d protocol a,4,122,11,3.0574436527976054,1.4637294646883277,-0.11391503663692126,0.4496575903483352,6.060332399417282,3.7236172681203335e-05,6.144245930270046e-06,0.9999938557918213,True
shoots 21d protocol b,0,121,31,2.5869935822211763,1.223673625553273,0.05886391253193113,0.314878915200644,6.998270745007987,4.2999096812569266e-05,6.144245968654675e-06,0.9999938557917829,True
shoots 21d protocol b,3,97,55,2.0413812053008473,1.2133176301002444,-0.010354514676442328,0.06317939310199966,8.288972879145453,5.0929490018959986e-05,6.144246188462681e-06,0.9999938557915631,True
shoots 21d protocol b,2,128,24,1.7069639392070646,1.1050444830878585,0.02035716681871691,0.16022527164682884,8.914967763368029,5.4775762890492386e-05,6.144246882817486e-06,0.9999938557908687,True
shoots 21d protocol b,1,125,27,1.548744546680132,0.7599454336964463,-0.025179750213348617,0.06202639713611496,8.725983304905299,5.3614609120134545e-05,6.144248418398322e-06,0.9999938557893331,True
shoots 21d protocol b,4,137,15,1.9837146897853644,0.8597496770801628,-0.034621964702498564,0.21203808704945717,8.08422484482042,4.9671473114446016e-05,6.144246859520567e-06,0.9999938557908921,True
