accession_id,PC1,PC2,PC3,PC4,PC5,fold
430,3.0496483,-11.686986,-15.973298,6.741266,11.019532,0
5837,2.682253,-25.796036,-24.636974,1.7472844,2.6691468,0
6897,-13.35314,-6.1747108,-7.455639,-8.541661,-3.1531434,3
6898,-2.2753255,4.468719,22.491758,19.004456,6.971077,2
6903,23.159481,-13.464709,-16.94445,4.0691466,10.575028,0
6904,-19.196663,6.2720904,-20.338442,-9.747278,0.092756264,3
6908,-35.014187,39.108906,-18.287613,5.758381,9.850759,1
6909,0.6833576,-33.57175,-17.516079,12.146746,-21.317093,0
6915,-15.470999,4.204112,24.817892,-17.103067,11.966142,2
6919,10.557883,-7.813828,-4.08826,7.8693395,12.451106,0
6922,-8.2134075,-25.149757,0.31705967,-13.154668,-13.358441,3
6924,-45.526443,45.1919,-17.552996,1.5888613,15.470572,1
6926,-21.130941,21.960638,4.160217,4.5358815,23.799885,1
6929,67.627304,38.6327,-14.7106905,-11.596699,-20.664505,4
6931,50.95035,16.867228,-3.642766,-4.5807967,-4.478027,4
6938,66.42664,25.235043,0.6498938,1.9150572,-4.0255814,4
6940,-11.923222,-16.90248,7.347728,-9.183059,-10.980676,3
6944,-31.69768,18.903116,-7.832941,11.761046,3.279811,1
6945,-12.659389,13.748649,-0.7449639,-5.306458,7.530827,3
6951,13.965938,-14.153536,-18.435774,11.059013,12.230847,0
6956,20.400253,-20.1284,-1.4998264,10.395653,21.601946,0
6958,-20.245491,7.404036,-16.238928,-25.847004,2.8586683,3
6959,-12.537381,19.38394,19.15929,20.324144,21.430637,2
6961,-9.398434,-1.0212123,8.273974,-31.877491,-6.5407248,3
6963,60.37958,32.633987,-7.252666,-10.951815,-16.6677,4
6967,-17.084156,15.322757,14.252696,29.837797,-1.661835,1
6968,28.48267,14.317704,36.42881,19.205832,10.357071,2
6970,-17.595135,8.992346,-5.1613073,-26.718647,1.7484183,3
6975,-7.6519375,-13.021624,-29.95514,10.151033,-1.9142597,0
6979,-5.442397,-14.510876,-25.371275,-7.681172,16.770758,0
6981,-11.554539,-20.389069,26.001167,-20.559713,-21.007467,3
6982,-6.942063,9.674123,29.450224,-6.6484594,13.294421,2
6984,17.942385,-31.259998,-20.00819,12.699777,18.271389,0
6986,-44.36337,41.963852,-18.566275,0.94000566,16.916332,1
6987,-8.826687,-26.0753,-9.67835,-33.374283,2.5894165,3
6989,-33.719494,32.874836,-9.773105,4.437454,12.550274,1
6992,-20.129036,6.6738677,-16.51738,-22.242216,0.23634025,3
6997,-15.80702,8.514133,15.037238,-3.345449,-2.3896105,3
7000,-12.020767,-12.151002,6.376261,-14.415999,-19.772406,3
7002,2.1181934,-9.050089,39.98245,-11.014543,1.851118,2
7003,-20.05334,-2.6242917,-19.705793,-23.521254,4.1291876,3
7008,-35.879913,19.327036,5.323691,5.7466645,-1.4955801,1
7013,13.776902,-19.910046,20.523916,17.673092,9.309325,2
7014,-17.732525,1.3362533,-8.886359,-6.5552087,-3.6987054,3
7025,-1.1253178,1.6192111,-13.095834,-14.621719,12.120481,3
7026,-21.654991,16.905441,15.176251,13.135445,15.480695,1
7028,-2.3050861,-13.364795,13.189304,-12.920221,-19.302856,3
7031,-8.851777,-19.998552,13.504039,1.6340567,-9.3331995,3
7036,1.4268692,-25.897657,5.249047,-5.3878803,-14.127198,3
7061,-6.5864677,7.1124015,51.63344,2.9278548,6.3886366,2
7062,-17.226274,-15.991866,-2.0447645,-11.856758,-15.493638,3
7064,-46.282772,44.959694,-17.94558,2.0294752,15.21155,1
7068,-11.3838415,5.2278185,-13.779547,-2.641831,-6.0051475,3
7071,-15.888699,3.799362,1.4406654,-16.039356,-6.949548,3
7072,38.51374,7.1020694,13.104272,9.299251,12.316971,2
7077,-4.6136465,11.455973,-8.63691,-24.656862,-1.1845452,3
7092,-28.232489,13.30952,-0.41171888,13.211543,11.40536,1
7096,28.458372,-22.302423,9.135112,14.481635,17.532036,0
7102,0.4753979,-17.758734,-3.6128058,-17.316462,-1.8161314,3
7103,16.96888,-28.683838,1.2962694,25.724756,41.00978,0
7106,4.594584,-25.556116,-24.083986,6.9745703,-6.2555337,0
7107,-28.518635,17.112413,-8.852339,-3.1772938,0.24838962,1
7109,-44.234016,41.91224,-18.631294,1.0137275,16.855957,1
7117,-2.6227212,-17.011885,19.211462,-3.9192965,-20.504948,3
7119,-9.162684,-25.692846,-10.308534,-32.679302,2.9441376,3
7120,-0.60738206,-9.708755,-12.321291,2.5182853,5.4489737,0
7126,21.462194,6.0502124,-0.56198585,3.7855904,-6.8951097,0
7127,17.926878,-0.2542647,-17.10631,7.363726,3.6913528,0
7130,-22.459396,6.8206186,-13.492942,-11.277482,1.386215,3
7133,-16.19599,4.4724545,13.628002,-9.867831,-22.100609,3
7143,-13.429698,8.012354,33.930573,11.985579,16.040411,2
7147,-2.430497,-26.055346,15.522033,4.0721645,-12.996025,3
7160,-27.933601,0.9865064,-13.237988,54.90692,-52.555454,1
7161,-18.5428,-4.5234685,10.730862,-10.366875,9.40426,3
7162,-4.7117877,-3.3341262,28.817823,13.853908,4.6804967,2
7163,-7.821398,-6.924059,-10.2927475,-20.026846,-1.027853,3
7165,-2.9894855,3.2657826,46.862545,-2.4925885,11.712439,2
7169,-9.701588,-13.12966,7.542026,4.4564347,-25.287474,3
7177,0.68115824,-25.682812,-29.552952,7.1000323,11.484349,0
7192,4.1778355,-20.949635,27.045242,3.1011093,-3.1991758,2
7199,-15.614566,-1.9803703,23.56422,-25.053259,-30.017046,3
7202,-15.585495,-1.938373,23.54683,-25.018618,-29.989515,3
7203,21.93054,-27.160412,-5.970618,16.028042,31.37363,0
7207,17.706066,-22.116377,-12.279789,16.109413,17.59711,0
7208,-0.8695394,-31.775091,-17.534378,18.048788,-23.040428,0
7209,28.70042,-22.128942,9.267118,14.408297,17.611902,0
7217,-25.05871,24.257355,2.3468745,5.4038944,8.51599,1
7223,3.7213926,-28.933754,-31.714867,11.181568,14.316297,0
7236,34.340652,-15.691764,-20.790054,8.741077,-9.653229,0
7244,0.11391868,7.5226345,47.137154,-7.994091,17.668777,2
7248,-28.009048,1.0411897,-13.077312,54.747818,-52.637714,1
7255,-12.170125,-15.720008,-6.9077206,-7.5415893,-9.6233635,3
7268,6.3543124,-21.796999,10.55195,-1.5667837,-1.2597789,3
7276,-3.3907611,-18.57016,12.263844,-15.739504,-12.47176,3
7282,-3.794885,-22.172762,4.82732,-20.143732,-13.021736,3
7287,17.96342,-4.2230725,27.111643,4.098342,-4.870863,2
7298,-1.2399297,-14.966371,-14.386574,3.7279773,9.110961,0
7305,6.4006367,0.3698237,24.533321,11.328683,1.2899117,2
7306,-21.96075,23.017038,6.301513,10.659823,14.738873,1
7314,-11.368604,-20.299091,26.02206,-20.576647,-20.97783,3
7316,-9.057882,2.223235,43.559284,6.2066746,12.286274,2
7319,-10.588991,4.248444,-5.746401,-24.137775,-5.4024386,3
7320,-39.345493,29.674166,-15.238466,11.505693,4.5396667,1
7323,50.295105,21.431679,-13.149245,-4.1831546,-12.673751,4
7333,26.972433,3.7275248,13.826182,4.690225,16.161636,2
7337,-7.804802,-10.54313,6.9550657,-12.917054,-27.429403,3
7342,-22.255722,4.983732,12.221298,22.502136,-4.705566,1
7343,12.225225,-8.5222,-4.8480105,1.1109358,-14.234722,3
7344,-6.879304,-15.718258,-18.68666,-16.73752,4.0137067,3
7347,46.890114,4.7045913,11.45583,8.613965,7.1649313,4
7349,21.978683,-30.863297,-29.35303,14.264012,23.815557,0
7350,22.024628,-30.81688,-29.333797,14.357528,23.814503,0
7353,-6.187463,10.952568,44.448082,24.558073,15.908615,2
7354,47.21054,-9.584438,-19.199238,4.6996455,-3.7456727,0
7356,-27.912218,0.93297493,-13.302019,54.79326,-52.482174,1
7372,-8.30274,-6.0752063,-11.404488,-17.165586,11.311764,3
7378,-9.811237,-20.78203,-19.378487,-9.903751,-0.8387903,3
7382,-14.418695,5.62777,-17.922468,-12.216314,-2.096258,3
7383,-19.417791,16.14133,-0.74180585,-8.60165,4.276338,1
7384,1.4281263,-7.320869,21.610544,14.301252,13.532617,2
7387,-39.374027,36.300285,-19.463484,2.6201818,13.371964,1
7394,29.907125,-13.95389,6.2136273,2.489207,2.5352006,0
7404,-6.516076,-7.305075,37.80713,3.3493533,-5.1141667,2
7411,-15.57043,-3.5314357,-15.102615,-8.938214,-4.6997056,3
7416,-15.485329,13.301359,13.170056,15.5237665,-1.9305831,1
7419,-11.547424,-19.571146,26.67043,-10.358201,-11.4744835,3
