regime,scenario,test_year,train_year_max,n_train_cells,n_test_cells,n_train_environments,n_test_environments,n_train_genotypes,n_test_genotypes,g_rank,e_rank,gamma_multiplier,alpha,hyperparameter_search_in_b10,chronological_lock,train_year_precedes_test_year
FORWARD-YEAR-B10,forward_year_2016,2016.0,2015.0,7851,4562,23,18,1628,544,20,16,2.0,10.0,False,True,True
FORWARD-YEAR-B10,forward_year_2017,2017.0,2016.0,12413,3309,41,18,2079,471,20,16,2.0,10.0,False,True,True
FORWARD-YEAR-B10,forward_year_2018,2018.0,2017.0,15722,10591,59,21,2099,1038,20,16,2.0,10.0,False,True,True
FORWARD-YEAR-B10,forward_year_2019,2019.0,2018.0,26313,10909,80,21,3009,1155,20,16,2.0,10.0,False,True,True
FORWARD-YEAR-B10,forward_year_2020,2020.0,2019.0,37222,6715,101,16,3233,1173,20,16,2.0,10.0,False,True,True
FORWARD-YEAR-B10,forward_year_2021,2021.0,2020.0,43937,8230,117,19,4364,1178,20,16,2.0,10.0,False,True,True
CV-E-B10,efold_0,,,42820,9347,108,28,4324,3488,20,16,2.0,10.0,False,False,
CV-E-B10,efold_1,,,40503,11664,109,27,4364,3421,20,16,2.0,10.0,False,False,
CV-E-B10,efold_2,,,43028,9139,109,27,4359,3308,20,16,2.0,10.0,False,False,
CV-E-B10,efold_3,,,41658,10509,109,27,4334,3743,20,16,2.0,10.0,False,False,
CV-E-B10,efold_4,,,40659,11508,109,27,4325,3696,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_0__gfold_0,,,34371,1801,108,28,3460,698,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_0__gfold_1,,,33925,1979,108,28,3459,707,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_0__gfold_2,,,34676,1911,108,28,3454,689,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_0__gfold_3,,,34134,1811,108,28,3462,693,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_0__gfold_4,,,34174,1845,108,28,3461,701,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_1__gfold_0,,,32513,2260,109,27,3491,665,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_1__gfold_1,,,32097,2468,109,27,3490,687,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_1__gfold_2,,,32641,2193,109,27,3493,681,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_1__gfold_3,,,32376,2370,109,27,3492,696,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_1__gfold_4,,,32385,2373,109,27,3490,692,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_2__gfold_0,,,34599,1821,109,27,3490,653,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_2__gfold_1,,,34056,1902,109,27,3484,664,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_2__gfold_2,,,34715,1742,109,27,3486,647,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_2__gfold_3,,,34358,1827,109,27,3488,681,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_2__gfold_4,,,34384,1847,109,27,3488,663,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_3__gfold_0,,,33474,2066,109,27,3466,736,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_3__gfold_1,,,32905,2121,109,27,3467,754,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_3__gfold_2,,,33671,2068,109,27,3466,731,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_3__gfold_3,,,33305,2144,109,27,3467,761,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_3__gfold_4,,,33277,2110,109,27,3470,761,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_4__gfold_0,,,32711,2302,109,27,3462,742,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_4__gfold_1,,,32189,2404,109,27,3460,738,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_4__gfold_2,,,32745,2141,109,27,3462,734,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_4__gfold_3,,,32507,2345,109,27,3460,743,20,16,2.0,10.0,False,False,
CV-GE-B10,efold_4__gfold_4,,,32484,2316,109,27,3456,739,20,16,2.0,10.0,False,False,
