regime,environment,test_year,model,n,rmse,mae,r2,correlation
CV-E-B10,2014-IAH1,2014,G,754,2.0242484667253007,1.6713408899881783,-0.6530901731760606,0.02088821880293197
CV-E-B10,2014-IAH1,2014,G+E_T0,754,2.1002903595492457,1.7566336597419328,-0.7796212549802115,0.09987858321828992
CV-E-B10,2014-IAH1,2014,G+E_T1,754,2.092701840539855,1.749758177287109,-0.766784655608789,0.0951662738979461
CV-E-B10,2014-IAH1,2014,G+E_T2,754,2.1397015192575664,1.7970633593854062,-0.8470357282434171,0.0952994386604179
CV-E-B10,2014-ILH1,2014,G,238,2.7805359797711158,2.4273989260450697,-1.3244178740406292,0.23083364021203018
CV-E-B10,2014-ILH1,2014,G+E_T0,238,2.8694624296338165,2.5086952546156427,-1.4754733411790082,0.22902326888298274
CV-E-B10,2014-ILH1,2014,G+E_T1,238,2.9252562724575815,2.5653191978238747,-1.5726754755236674,0.24724057571420927
CV-E-B10,2014-ILH1,2014,G+E_T2,238,2.9438361800429886,2.582129155279751,-1.605460209823815,0.242548727092859
CV-E-B10,2014-INH1,2014,G,240,1.8710239339832833,1.58573012475717,-0.9945516960925698,0.19118561259041228
CV-E-B10,2014-INH1,2014,G+E_T0,240,1.3662074887966447,1.0836908598255448,-0.06345700002386878,0.23859022616506945
CV-E-B10,2014-INH1,2014,G+E_T1,240,1.3874109947206266,1.1027438650668644,-0.09672280638716613,0.2132357411346001
CV-E-B10,2014-INH1,2014,G+E_T2,240,1.3155430274301154,1.0207873239521705,0.01395502242512403,0.1961014981542592
CV-E-B10,2014-MNH1,2014,G,236,2.6587330603949972,2.2471987280344954,-1.5702299521349565,0.1985178314624115
CV-E-B10,2014-MNH1,2014,G+E_T0,236,2.939225222831092,2.522695069567067,-2.1411468493867796,0.12641766605153595
CV-E-B10,2014-MNH1,2014,G+E_T1,236,3.1574990704622614,2.768792650507626,-2.6250080161522766,0.21588840202913087
CV-E-B10,2014-MNH1,2014,G+E_T2,236,3.5100025960282517,3.1425018113596805,-3.4795808963359907,0.21845058769372144
CV-E-B10,2014-MOH2,2014,G,247,2.0753343130861723,1.6992614267050161,-0.21919277508429058,-0.07302321806625921
CV-E-B10,2014-MOH2,2014,G+E_T0,247,1.9588501714336597,1.5759985570726498,-0.08617220473131271,0.0007376600353170776
CV-E-B10,2014-MOH2,2014,G+E_T1,247,1.9356109635716117,1.5533071640249623,-0.06055304144662044,0.039540816969090134
CV-E-B10,2014-MOH2,2014,G+E_T2,247,2.002041237509097,1.6230106137163143,-0.13459870753044578,-0.0076571721836575495
CV-E-B10,2014-NEH1,2014,G,242,3.64300185783165,3.182525597685206,-2.8299729899627906,0.09042094236252246
CV-E-B10,2014-NEH1,2014,G+E_T0,242,3.1534103184109337,2.6701922454014357,-1.8697092295122801,0.10522019690386232
CV-E-B10,2014-NEH1,2014,G+E_T1,242,3.5493876537421665,3.0777265526401676,-2.63566445644412,0.07977575790188704
