regime,model,n,n_environments,n_test_years,rmse,mae,r2,correlation,model_order
CV-E-B10,G,52167,136,8,2.6876165096093056,2.152427504652899,0.06957050903557072,0.2722202554739911,0
CV-E-B10,G+E_T0,52167,136,8,2.603034793103893,2.089090256691482,0.12721190636205637,0.3825836897162427,1
CV-E-B10,G+E_T1,52167,136,8,2.551937829680829,2.0413402509236325,0.16114084871380274,0.40875451333199114,2
CV-E-B10,G+E_T2,52167,136,8,2.5625459571894527,2.044871000734926,0.15415226125708814,0.404939256289817,3
CV-GE-B10,G,52167,136,8,2.691670512551802,2.1558498745190833,0.06676147084327566,0.26814450158962666,0
CV-GE-B10,G+E_T0,52167,136,8,2.6065441558934386,2.0921497268756757,0.12485696684332159,0.3803386601970876,1
CV-GE-B10,G+E_T1,52167,136,8,2.5555499004930313,2.0442704186024234,0.1587644875036791,0.40633938190558067,2
CV-GE-B10,G+E_T2,52167,136,8,2.5661082808574003,2.0479456752060217,0.15179891590579975,0.4026221892715106,3
FORWARD-YEAR-B10,G,44316,113,6,2.764201463145165,2.2282854565514416,-0.014502074808886878,0.2846665712528883,0
FORWARD-YEAR-B10,G+E_T0,44316,113,6,2.6635009553073576,2.1605109370607862,0.058068613808572755,0.3631109757559475,1
FORWARD-YEAR-B10,G+E_T1,44316,113,6,2.6614189872403107,2.1509721683007843,0.05954058971474341,0.3405169104467061,2
FORWARD-YEAR-B10,G+E_T2,44316,113,6,3.2843411041341266,2.4859247249675005,-0.4322210938991151,0.19765056670927597,3
