test_year,model,n,n_environments,rmse,mae,r2,correlation,model_order
2016,G,4562,18,2.4042128534779468,1.938999843156203,0.01348792840891655,0.19692278919115855,0
2016,G+E_T0,4562,18,2.516670184381455,1.9983398091693287,-0.08095890222903424,0.11028320817614466,1
2016,G+E_T1,4562,18,2.7275218137129102,2.1163011230231286,-0.26967637822407076,0.18585909256792857,2
2016,G+E_T2,4562,18,6.64859641978489,5.559401203912717,-6.544257745072447,0.42735415373015706,3
2017,G,3309,18,2.926118631332659,2.4904589091735168,-0.44698311475222874,0.17207711310949822,0
2017,G+E_T0,3309,18,3.129089114733781,2.6326621862959887,-0.6546855259650306,0.28787794042568976,1
2017,G+E_T1,3309,18,2.262105036655891,1.8450220717448573,0.13522099392047782,0.5507317893379293,2
2017,G+E_T2,3309,18,2.9975428610322714,2.4934284849264903,-0.5184846558670584,0.385950105709332,3
2018,G,10591,21,2.501557260791108,2.0339819843343268,-0.04152178858389011,-0.015436181020277929,0
2018,G+E_T0,10591,21,2.5905812839404696,2.1351252825050016,-0.11697103236107576,0.18052736442239856,1
2018,G+E_T1,10591,21,2.552737444147713,2.0802917064256414,-0.084575427249717,0.09792927457551444,2
2018,G+E_T2,10591,21,2.5925914974794475,2.0962190794437046,-0.1187051771015899,0.06136216125054253,3
2019,G,10909,21,3.1994725923405016,2.612024647410519,-0.2529112208654052,0.10165483570903693,0
2019,G+E_T0,10909,21,2.928135412137497,2.395198108337215,-0.049411511881420456,0.3804118088760713,1
2019,G+E_T1,10909,21,2.9195123659302205,2.3778872447077055,-0.04323980304041419,0.38902399377052227,2
2019,G+E_T2,10909,21,2.7464387581515686,2.2189976092230186,0.07678394399642274,0.4030051582051963,3
2020,G,6715,16,2.8074290417202614,2.251956311426387,0.023505914198207467,0.3777387701548137,0
2020,G+E_T0,6715,16,2.54495013769338,2.0511452949976383,0.1975636450920737,0.4578619277996608,1
2020,G+E_T1,6715,16,2.745177446719631,2.2388309723188247,0.06633111623119314,0.2756137099389038,2
2020,G+E_T2,6715,16,2.5389367295619305,2.0587306868717237,0.20135128426023707,0.4566729827700692,3
2021,G,8230,19,2.5385374048043676,2.0053081132060164,0.06056364288205007,0.43898103666550736,0
2021,G+E_T0,8230,19,2.33814364991482,1.87138865323592,0.2030288341402634,0.5849636876075518,1
2021,G+E_T1,8230,19,2.4752077534079464,2.0116947092820245,0.10685176720595968,0.5699083023822034,2
2021,G+E_T2,8230,19,2.4619149097856288,1.9831129053514436,0.11641912559844769,0.554930577452241,3
