regime,comparison,challenger,reference,reference_rmse,challenger_rmse,delta_challenger_minus_reference,value_of_waiting_rmse,pct_rmse_improvement
CV-E-B10,preseason_environment_value,G+E_T0,G,2.6876165096093056,2.603034793103893,-0.0845817165054128,0.0845817165054128,3.147090226712006
CV-E-B10,wait_T0_to_T1,G+E_T1,G+E_T0,2.603034793103893,2.551937829680829,-0.0510969634230638,0.0510969634230638,1.9629765825041128
CV-E-B10,wait_T1_to_T2,G+E_T2,G+E_T1,2.551937829680829,2.5625459571894527,0.01060812750862361,-0.01060812750862361,-0.41568910438348605
CV-E-B10,wait_T0_to_T2,G+E_T2,G+E_T0,2.603034793103893,2.5625459571894527,-0.04048883591444019,0.04048883591444019,1.5554473578956958
CV-E-B10,total_environment_value_T2,G+E_T2,G,2.6876165096093056,2.5625459571894527,-0.125070552419853,0.125070552419853,4.653586252825716
CV-GE-B10,preseason_environment_value,G+E_T0,G,2.691670512551802,2.6065441558934386,-0.08512635665836354,0.08512635665836354,3.162584583120489
CV-GE-B10,wait_T0_to_T1,G+E_T1,G+E_T0,2.6065441558934386,2.5555499004930313,-0.05099425540040725,0.05099425540040725,1.9563933066358539
CV-GE-B10,wait_T1_to_T2,G+E_T2,G+E_T1,2.5555499004930313,2.5661082808574003,0.010558380364368958,-0.010558380364368958,-0.41315492850802776
CV-GE-B10,wait_T0_to_T2,G+E_T2,G+E_T0,2.6065441558934386,2.5661082808574003,-0.040435875036038293,0.040435875036038293,1.5513213134951935
CV-GE-B10,total_environment_value_T2,G+E_T2,G,2.691670512551802,2.5661082808574003,-0.12556223169440184,0.12556223169440184,4.664844047920421
FORWARD-YEAR-B10,preseason_environment_value,G+E_T0,G,2.764201463145165,2.6635009553073576,-0.10070050783780715,0.10070050783780715,3.643023461945066
FORWARD-YEAR-B10,wait_T0_to_T1,G+E_T1,G+E_T0,2.6635009553073576,2.6614189872403107,-0.0020819680670469687,0.0020819680670469687,0.07816659734618783
FORWARD-YEAR-B10,wait_T1_to_T2,G+E_T2,G+E_T1,2.6614189872403107,3.2843411041341266,0.6229221168938159,-0.6229221168938159,-23.405638867096943
FORWARD-YEAR-B10,wait_T0_to_T2,G+E_T2,G+E_T0,2.6635009553073576,3.2843411041341266,0.620840148826769,-0.620840148826769,-23.30917687826121
FORWARD-YEAR-B10,total_environment_value_T2,G+E_T2,G,2.764201463145165,3.2843411041341266,0.5201396409889618,-0.5201396409889618,-18.81699463385481
