regime,comparison,challenger,reference,bootstrap_cluster,n_clusters,bootstrap_reps,delta_challenger_minus_reference,ci95_low,ci95_high,improvement_frequency,value_of_waiting_rmse,value_of_waiting_ci95_low,value_of_waiting_ci95_high
CV-E-B10,preseason_environment_value,G+E_T0,G,environment,136,2000,-0.0845817165054128,-0.22812959412283926,0.05460675794828842,0.884,0.0845817165054128,-0.05460675794828847,0.22812959412283926
CV-E-B10,preseason_environment_value,G+E_T0,G,test_year,8,2000,-0.0845817165054128,-0.1801271470540779,0.021456544172599255,0.9385,0.0845817165054128,-0.021456544172599346,0.1801271470540779
CV-E-B10,wait_T0_to_T1,G+E_T1,G+E_T0,environment,136,2000,-0.0510969634230638,-0.10239387434285031,-0.00044745573669761066,0.9755,0.0510969634230638,0.0004474557366976106,0.1023938743428503
CV-E-B10,wait_T0_to_T1,G+E_T1,G+E_T0,test_year,8,2000,-0.0510969634230638,-0.11902790441690347,0.023005886399702694,0.8995,0.0510969634230638,-0.0230058863997027,0.11902790441690336
CV-E-B10,wait_T1_to_T2,G+E_T2,G+E_T1,environment,136,2000,0.01060812750862361,-0.02563826875503903,0.046948916880418974,0.276,-0.01060812750862361,-0.04694891688041898,0.025638268755039016
CV-E-B10,wait_T1_to_T2,G+E_T2,G+E_T1,test_year,8,2000,0.01060812750862361,-0.008093027039403266,0.03465872986187257,0.137,-0.01060812750862361,-0.03465872986187257,0.008093027039403239
CV-E-B10,wait_T0_to_T2,G+E_T2,G+E_T0,environment,136,2000,-0.04048883591444019,-0.09490401596036221,0.022647877542337075,0.906,0.04048883591444019,-0.022647877542337082,0.0949040159603622
CV-E-B10,wait_T0_to_T2,G+E_T2,G+E_T0,test_year,8,2000,-0.04048883591444019,-0.10002711247873146,0.03395106137979598,0.851,0.04048883591444019,-0.03395106137979598,0.10002711247873144
CV-E-B10,total_environment_value_T2,G+E_T2,G,environment,136,2000,-0.125070552419853,-0.2663775814447708,0.013380564929569459,0.9585,0.125070552419853,-0.013380564929569504,0.2663775814447708
CV-E-B10,total_environment_value_T2,G+E_T2,G,test_year,8,2000,-0.125070552419853,-0.20034122905311547,-0.028887100200123614,0.9935,0.125070552419853,0.02888710020012343,0.20034122905311547
CV-GE-B10,preseason_environment_value,G+E_T0,G,environment,136,2000,-0.08512635665836354,-0.24127491933553577,0.050562636127357445,0.873,0.08512635665836354,-0.05056263612735753,0.24127491933553571
CV-GE-B10,preseason_environment_value,G+E_T0,G,test_year,8,2000,-0.08512635665836354,-0.18073903379769163,0.026830910173504918,0.93,0.08512635665836354,-0.026830910173504918,0.1807390337976915
CV-GE-B10,wait_T0_to_T1,G+E_T1,G+E_T0,environment,136,2000,-0.05099425540040725,-0.10346660723179318,0.0014533482692050076,0.9705,0.05099425540040725,-0.0014533482692050345,0.10346660723179317
CV-GE-B10,wait_T0_to_T1,G+E_T1,G+E_T0,test_year,8,2000,-0.05099425540040725,-0.11891179805250157,0.021999452178404166,0.9045,0.05099425540040725,-0.021999452178404166,0.11891179805250145
CV-GE-B10,wait_T1_to_T2,G+E_T2,G+E_T1,environment,136,2000,0.010558380364368958,-0.025369854031268957,0.04828993053404197,0.275,-0.010558380364368958,-0.048289930534042,0.025369854031268887
CV-GE-B10,wait_T1_to_T2,G+E_T2,G+E_T1,test_year,8,2000,0.010558380364368958,-0.008093528107372693,0.03362235775336219,0.134,-0.010558380364368958,-0.0336223577533622,0.008093528107372683
CV-GE-B10,wait_T0_to_T2,G+E_T2,G+E_T0,environment,136,2000,-0.040435875036038293,-0.09422074005414122,0.020456512143153024,0.9115,0.040435875036038293,-0.02045651214315306,0.0942207400541412
CV-GE-B10,wait_T0_to_T2,G+E_T2,G+E_T0,test_year,8,2000,-0.040435875036038293,-0.10007184669450614,0.03604864703012168,0.85,0.040435875036038293,-0.03604864703012171,0.10007184669450613
CV-GE-B10,total_environment_value_T2,G+E_T2,G,environment,136,2000,-0.12556223169440184,-0.2655290962703543,0.007378319119488143,0.964,0.12556223169440184,-0.00737831911948823,0.2655290962703542
CV-GE-B10,total_environment_value_T2,G+E_T2,G,test_year,8,2000,-0.12556223169440184,-0.19982729838263552,-0.031003986098589505,0.9915,0.12556223169440184,0.0310039860985895,0.19982729838263538
