environment,full_nearest_z,full_mean5_z,full_nearest_percentile,full_max_training_kernel_similarity,full_local_kernel_density5,full_kernel_mass,full_kernel_projection_support,full_kernel_projection_residual,weather_nearest_z,weather_mean5_z,weather_nearest_percentile,weather_max_training_kernel_similarity,weather_local_kernel_density5,weather_kernel_mass,weather_kernel_projection_support,weather_kernel_projection_residual,nearest_training_location_km,city_seen_previously,coordinate_seen_previously,soil_mukey_seen_previously,test_year,train_year_max,n_train_environments,n_test_environments,model,horizon,rmse,mae,r2,correlation
2016-DEH1,4.820916196224132,5.090499807099563,0.34782608695652173,0.44181086540489134,0.4025639054381088,5.944527713753379,0.40848724133266334,0.5915127586673367,1.2032189199283752,1.8831329018450407,0.5652173913043478,0.7922077921712085,0.5661678189641173,6.246470032076629,0.4445611386111281,0.5554388613888719,464.3614838106569,False,False,False,2016,2015,23,18,G+E_T0,T0_preseason,1.8564369567482817,1.47392476290942,0.0400666491738782,0.3236309047137968
2016-GAH2,5.876827981441276,6.8231956781142795,0.34782608695652173,0.29703770930230927,0.19845606034859423,2.74023739330853,0.13356809361360342,0.8664319063863966,2.936013503797359,4.32338022521414,0.9130434782608695,0.2498406767683424,0.07509310166149845,0.4912973980963195,0.041604735730941034,0.958395264269059,683.2567517643987,False,False,False,2016,2015,23,18,G+E_T0,T0_preseason,4.054132474710873,3.816942827084179,-7.943773759422458,0.1048615406443061
2016-IAH2,5.010382515657771,5.38339544786148,0.34782608695652173,0.41381228930085445,0.36165276157531123,4.975283351842119,0.3564090706071049,0.6435909293928951,1.7241060228995444,2.925030199958224,0.6086956521739131,0.6198590292775229,0.2790984756804959,2.1730305047811935,0.21305764067910693,0.7869423593208931,85.5234786085574,False,False,False,2016,2015,23,18,G+E_T0,T0_preseason,2.483017711996045,2.0242551893056158,-0.0795854503709856,0.0784025796708638
2016-IAH3,5.105497999378966,5.611642350203785,0.34782608695652173,0.40005188958431204,0.3317831636724512,4.45962262499235,0.30181308023840075,0.6981869197615993,2.089631284865626,3.288487038877652,0.7391304347826086,0.49531973372725846,0.20703972307214977,1.4809826628687552,0.11601369352120015,0.8839863064787998,118.68307912211218,False,False,False,2016,2015,23,18,G+E_T0,T0_preseason,2.7342211757655406,2.4084346979374205,-2.7207768037959807,0.0401697544715497
2016-IAH4,4.894927280002062,5.325947316645895,0.34782608695652173,0.43078449324022755,0.3697105712101714,5.292836692371234,0.37685001034012644,0.6231499896598736,1.8419648118112464,2.797840198309524,0.6521739130434783,0.5793284686034571,0.3012337382080815,2.549661138811545,0.20717883595605271,0.7928211640439473,0.3251434197681342,True,False,False,2016,2015,23,18,G+E_T0,T0_preseason,1.8048396069838215,1.513242563419842,-0.981697504446878,0.1985300559166206
2016-ILH1,4.772977129479375,5.186293593869328,0.34782608695652173,0.44901084704268124,0.3897659117826383,5.683283345513622,0.3991661720886167,0.6008338279113833,2.4638014477348413,2.8057960266181956,0.7391304347826086,0.37656077414327666,0.28498222035861104,3.102176872855784,0.14535820348064848,0.8546417965193516,0.07325669353970893,True,False,False,2016,2015,23,18,G+E_T0,T0_preseason,2.1042168722089887,1.703653389007671,-0.2982439054189358,0.2513814019372815
2016-INH1,0.9553995748101631,5.331844108431184,0.08695652173913043,0.9684268644478893,0.38130204835091286,4.137170503085144,0.3786444456648139,0.6213555543351861,0.7095333351562306,0.832217287175322,0.21739130434782608,0.9221937575070436,0.8924573923880746,9.940376210204317,0.8481854059850129,0.1518145940149871,0.9248226868419736,True,False,True,2016,2015,23,18,G+E_T0,T0_preseason,2.6577917313530706,2.163677746786263,-1.0190934199999695,0.4133095532437153
2016-MIH1,4.581771764588787,4.778590679029518,0.34782608695652173,0.4781453558557117,0.44831028979655985,7.166043714777917,0.5803729850237755,0.41962701497622446,1.0715762114724312,1.3645239279830927,0.5652173913043478,0.8313118358407725,0.738944831864996,9.008103824896185,0.6520607461340902,0.34793925386590985,321.6086944381472,False,False,False,2016,2015,23,18,G+E_T0,T0_preseason,2.214518823980939,1.6588922410494904,-0.1881593433547739,0.1518795793683061
2016-MNH1,4.29378269226241,4.570896280169372,0.34782608695652173,0.5230903638700611,0.48029694751878615,7.652306031230055,0.6397516960399696,0.3602483039600304,0.14799098449274553,0.9932518304282525,0.08695652173913043,0.9964824150928894,0.8282118277170054,10.212978193890187,0.8547682650771032,0.14523173492289676,0.3341686654859186,True,False,False,2016,2015,23,18,G+E_T0,T0_preseason,1.505368100208199,1.202786092478792,-0.0542306128510674,0.0529841598348683
2016-NEH1,4.1408354871370525,4.353786400213599,0.34782608695652173,0.5473543648850817,0.5141939358902536,7.259759498589546,0.6108720163342873,0.38912798366571266,1.5978312907388728,1.6857693975332464,0.5652173913043478,0.6631380863722017,0.6329993510814474,7.777329879594008,0.5068375587245697,0.4931624412754303,41.78080407189849,False,False,False,2016,2015,23,18,G+E_T0,T0_preseason,2.6856781054689454,2.232900897939611,-1.3326425327547795,0.3159609164630035
2016-NEH4,5.704727184135918,5.987522244987225,0.34782608695652173,0.3185932147668814,0.28440177381732823,4.214616689082514,0.3053764303324065,0.6946235696675935,1.373848354505696,2.549599542982267,0.5652173913043478,0.7380967970397939,0.3708660388877675,3.069925089878025,0.48770191500325877,0.5122980849967412,41.78080407189849,False,False,False,2016,2015,23,18,G+E_T0,T0_preseason,1.676550300280181,1.3096540745445548,-0.2975027610346532,0.1209862348462697
2016-NYH1,1.634890219700213,5.840406367965689,0.17391304347826086,0.9103330047748835,0.33825203642964086,3.0883874973799252,0.8272584729949111,0.17274152700508894,1.1026714775660424,2.0290363709327335,0.5652173913043478,0.8223179714487034,0.5463317305942736,3.8577736277612282,0.7827304635765798,0.21726953642342017,0.22207088851010487,True,False,True,2016,2015,23,18,G+E_T0,T0_preseason,2.1371190465687917,1.833914894163455,-2.4898727431773438,0.1010161915492137
2016-NYH2,3.7781284538884,5.0482134619223755,0.2608695652173913,0.6054969882240537,0.41543709601536916,5.0083146249045685,0.45383519835555913,0.5461648016444409,0.7345635068800551,2.346301987397613,0.2608695652173913,0.9168461551146644,0.4518320067418028,3.083097751693274,0.5443875768305485,0.4556124231694515,0.23671304107805552,True,False,False,2016,2015,23,18,G+E_T0,T0_preseason,2.9698294351759027,2.44072629825885,-1.701178869484564,0.008671392025016
2016-NYH2L,3.7781284538884,5.0482134619223755,0.2608695652173913,0.6054969882240537,0.41543709601536916,5.0083146249045685,0.45383519835555913,0.5461648016444409,0.7345635068800551,2.346301987397613,0.2608695652173913,0.9168461551146644,0.4518320067418028,3.083097751693274,0.5443875768305485,0.4556124231694515,0.23671304107805552,True,False,False,2016,2015,23,18,G+E_T0,T0_preseason,6.534663130417931,6.495326832105391,-128.5043182462214,0.0593875345758877
2016-TXH1,1.0639044078335662,6.604582380890887,0.08695652173913043,0.9609976648634888,0.2783024049920348,2.1808441486593204,0.6833147229835741,0.3166852770164259,1.0513353632777716,3.276078776254541,0.5652173913043478,0.8370790452490402,0.2473587934194057,1.6507793947423115,0.6420012794766272,0.3579987205233728,0.0,True,True,True,2016,2015,23,18,G+E_T0,T0_preseason,2.739390368380343,2.514071959774118,-4.779955801117652,0.2888520659954992
2016-TXH2,1.1336257773645397,5.640549388485074,0.08695652173913043,0.9558364749887609,0.352039842770388,3.546884010851817,0.5618240472758977,0.43817595272410226,1.0864595266044434,2.452268716525896,0.5652173913043478,0.8270269462937384,0.39684487524187473,3.447115309494599,0.5095636376714303,0.4904363623285697,0.0,True,True,True,2016,2015,23,18,G+E_T0,T0_preseason,1.933627275689463,1.5153741340058269,-0.0694965623759604,0.2810712595496558
2016-WIH1,3.9989155487315062,4.391511500300132,0.2608695652173913,0.5700355219893105,0.5086005613674693,7.288596870550403,0.6085207174860157,0.39147928251398434,0.14500580408724348,1.189880415507052,0.08695652173913043,0.9966226553394099,0.7650285673891509,7.7242255701732505,0.8230089328914082,0.1769910671085918,0.15091648744233718,True,False,False,2016,2015,23,18,G+E_T0,T0_preseason,1.791057464569275,1.4055573064705786,0.122411743780778,0.3985005875374861
2016-WIH2,4.353787771887866,4.712042006380593,0.34782608695652173,0.5136367008824064,0.45910689678150335,7.253304724207501,0.5949220865723801,0.4050779134276199,0.8862963498150019,1.0874349241261012,0.43478260869565216,0.8812751275167272,0.824813121946565,10.260718469977865,0.8353680399015594,0.1646319600984406,33.66671679908339,False,False,False,2016,2015,23,18,G+E_T0,T0_preseason,2.6773294215756,2.1370984109010736,-0.2257137452372974,0.3911544304427612
2016-DEH1,4.905443948527416,5.389662817047904,0.34782608695652173,0.4255703636245863,0.35954911857039373,4.6600198622336135,0.2934909391810837,0.7065090608189163,1.626624074058469,2.559189108726668,0.5652173913043478,0.6377438069323762,0.3548031888144815,2.6338572487256044,0.29045702013377195,0.709542979866228,464.3614838106569,False,False,False,2016,2015,23,18,G+E_T1,T1_30DAP,2.487096116204583,2.1483890282680207,-0.7229227604552704,0.2846999665772243
2016-GAH2,7.226266899390857,8.221941266136385,0.9565217391304348,0.15661967976632502,0.09545229373840074,1.1321422495205444,0.042685810410360514,0.9573141895896395,3.654783563191084,5.944118733912165,0.9130434782608695,0.1032255202876023,0.02174523250413276,0.10988465887539682,0.008873757842263106,0.9911262421577369,683.2567517643987,False,False,False,2016,2015,23,18,G+E_T1,T1_30DAP,2.3558648489207408,2.01488087958896,-2.020130280887155,0.0902317255807671
