test_year,train_year_max,n_train_environments,n_test_environments,config,e_rank_requested,e_rank_effective,gamma_multiplier,alpha,diagnostic_only_no_selection,rmse,mae,r2,correlation,frozen_t1_rmse,rmse_minus_frozen_t1
2016,2015,23,18,diagnostic_rank8_gamma0.5,8,8,0.5,10.0,True,2.486135709768881,1.8891248407485115,-0.054887722761727264,0.44164177776873026,2.7275218137129102,-0.24138610394402926
2016,2015,23,18,diagnostic_rank8_gamma1,8,8,1.0,10.0,True,2.3991052784483973,1.8546641121736493,0.017675022123987638,0.3286573812444636,2.7275218137129102,-0.328416535264513
2016,2015,23,18,diagnostic_rank8_gamma2,8,8,2.0,10.0,True,2.5171568628824144,1.8976496109375554,-0.0813770184593825,0.43905421447658816,2.7275218137129102,-0.2103649508304959
2016,2015,23,18,diagnostic_rank8_gamma4,8,8,4.0,10.0,True,2.228323542707684,1.8074220466597504,0.15255197472667226,0.4413965762170923,2.7275218137129102,-0.49919827100522607
2016,2015,23,18,diagnostic_rank16_gamma0.5,16,16,0.5,10.0,True,5.907562828759071,5.092948060355365,-4.956254868615745,0.4188618038831924,2.7275218137129102,3.1800410150461604
2016,2015,23,18,diagnostic_rank16_gamma1,16,16,1.0,10.0,True,6.515858917678603,5.575737199991656,-6.246026521219722,0.41850528322340047,2.7275218137129102,3.788337103965693
2016,2015,23,18,diagnostic_rank16_gamma2,16,16,2.0,10.0,True,6.64859641978489,5.559401203912717,-6.544257745072447,0.42735415373015706,2.7275218137129102,3.9210746060719797
2016,2015,23,18,diagnostic_rank16_gamma4,16,16,4.0,10.0,True,2.932801579449809,2.3650311507383184,-0.46798608053938007,0.4395964257875334,2.7275218137129102,0.20527976573689877
2016,2015,23,18,diagnostic_rank32_gamma0.5,32,22,0.5,10.0,True,2.782311610868728,2.1328072314184765,-0.32119861824367857,0.4526633150070937,2.7275218137129102,0.05478979715581778
2016,2015,23,18,diagnostic_rank32_gamma1,32,22,1.0,10.0,True,2.6712622890470428,2.035343099306546,-0.2178383357128617,0.46148581350082457,2.7275218137129102,-0.05625952466586748
2016,2015,23,18,diagnostic_rank32_gamma2,32,22,2.0,10.0,True,2.4014454741481015,1.8138400123813032,0.015757679102619715,0.46346383090390875,2.7275218137129102,-0.32607633956480875
