config,e_rank_requested,gamma_multiplier,alpha,n,diagnostic_only_no_selection,rmse,mae,r2,correlation,frozen_t1_pooled_rmse,rmse_minus_frozen_t1
diagnostic_rank8_gamma0.5,8,0.5,10.0,44316,True,2.636911556455662,2.1353371100869247,0.07678111080620442,0.37264913566630964,2.6614189872403102,-0.024507430784648232
diagnostic_rank8_gamma1,8,1.0,10.0,44316,True,2.6265275590724717,2.1329171917151215,0.08403795382032442,0.3868468137879029,2.6614189872403102,-0.03489142816783852
diagnostic_rank8_gamma2,8,2.0,10.0,44316,True,2.6672915319497537,2.149089799211647,0.055385675950688995,0.3441657718603868,2.6614189872403102,0.005872544709443428
diagnostic_rank8_gamma4,8,4.0,10.0,44316,True,2.684696025426813,2.174869403871044,0.043017944738625524,0.34524804495333744,2.6614189872403102,0.02327703818650262
diagnostic_rank16_gamma0.5,16,0.5,10.0,44316,True,3.130436902327284,2.437637607020644,-0.30113830798217966,0.20283379054361103,2.6614189872403102,0.46901791508697377
diagnostic_rank16_gamma1,16,1.0,10.0,44316,True,3.2765241299921892,2.5102010127876295,-0.4254116233337608,0.18468441486404957,2.6614189872403102,0.615105142751879
diagnostic_rank16_gamma2,16,2.0,10.0,44316,True,3.2843411041341266,2.4859247249675005,-0.4322210938991151,0.19765056670927597,2.6614189872403102,0.6229221168938164
diagnostic_rank16_gamma4,16,4.0,10.0,44316,True,2.7120954960909467,2.1919168365137125,0.023384732167279987,0.35457363130627756,2.6614189872403102,0.05067650885063646
diagnostic_rank32_gamma0.5,32,0.5,10.0,44316,True,2.7515240932036087,2.2148506959163092,-0.005217855998836285,0.3532075547657809,2.6614189872403102,0.09010510596329846
diagnostic_rank32_gamma1,32,1.0,10.0,44316,True,2.7358279055793595,2.1973577538519646,0.006218049446145124,0.3529417136456237,2.6614189872403102,0.07440891833904928
diagnostic_rank32_gamma2,32,2.0,10.0,44316,True,2.64583498810071,2.120294235118311,0.0705221067877807,0.39561566214306637,2.6614189872403102,-0.01558399913960029
diagnostic_rank32_gamma4,32,4.0,10.0,44316,True,2.5392307846642597,2.051730877198571,0.14391299668229596,0.4281540068849552,2.6614189872403102,-0.12218820257605056
