feature,n_environments,pooled_spearman,median_within_year_spearman,n_within_year_estimates,same_sign_within_year_fraction,leave_one_year_out_min_spearman,leave_one_year_out_max_spearman,leave_one_year_out_sign_stability
t2_full_max_training_kernel_similarity,113,-0.3919188391024013,-0.13785550086903542,6,0.8333333333333334,-0.45297195668802687,-0.2619175935122466,1.0
t2_weather_nearest_z,113,0.35573955964123066,0.15869992675454803,6,0.5,0.29314457290689044,0.4000741935970913,1.0
t2_weather_mean5_z,113,0.3448268694706817,0.20921474727216785,6,0.6666666666666666,0.2609925365703967,0.3972744651651937,1.0
n_train_environments,113,-0.3419917436525218,,0,,-0.46595717781047313,-0.18017402452327722,1.0
t2_weather_max_training_kernel_similarity,113,-0.3408344218473101,-0.15869992675454803,6,0.5,-0.3867194889769397,-0.2732460691147459,1.0
t2_weather_local_kernel_density5,113,-0.3302045300500833,-0.2152953258848041,6,0.6666666666666666,-0.38202994385351113,-0.23893617799056813,1.0
delta_full_nearest_percentile_t2_minus_t1,113,0.3093047878857837,0.2959681191968616,6,0.8333333333333334,0.260480244829529,0.3299650676517817,1.0
t2_full_nearest_z,113,0.2891160918627565,0.13785550086903542,6,0.8333333333333334,0.21296639771766981,0.36232978593717075,1.0
t2_nearest_training_location_km,113,0.2608715566252498,-0.05964162054231403,6,0.5,0.10555641191987303,0.3414746963775946,1.0
t2_full_kernel_mass,113,-0.22675241882045422,0.26969068980710953,6,0.3333333333333333,-0.30591154651640745,-0.15203286746494096,1.0
delta_full_mean5_z_t2_minus_t1,113,0.22353359493843625,0.23610158322850408,6,0.8333333333333334,0.16119386886546994,0.27728045807745905,1.0
t2_weather_kernel_projection_support,113,-0.20716228485730048,-0.07726827001237295,6,0.5,-0.273568464401797,-0.08506571838020548,1.0
t2_weather_kernel_projection_residual,113,0.20716228485730048,0.07726827001237295,6,0.5,0.08506571838020548,0.273568464401797,1.0
t2_weather_nearest_percentile,113,0.20694603578912787,0.13203319878116088,6,0.5,0.11015015948845523,0.3033122341177223,1.0
delta_weather_nearest_percentile_t2_minus_t1,113,0.1857013046633154,0.04377328416372102,6,0.5,0.10885297749586317,0.27732607658650443,1.0
delta_full_nearest_z_t2_minus_t1,113,0.17602475252477515,0.24011629977540094,6,0.6666666666666666,0.13349069322026397,0.2410884887532159,1.0
delta_full_local_kernel_density5_t2_minus_t1,113,-0.16974513487380982,-0.29335083624279207,6,1.0,-0.2460577980203234,-0.10122299887880423,1.0
delta_weather_nearest_z_t2_minus_t1,113,0.15598409688520604,0.11170082332764095,6,0.5,0.08818163768523302,0.2904448440492312,1.0
delta_weather_max_training_kernel_similarity_t2_minus_t1,113,-0.13774360180592715,-0.10636771344928479,6,0.5,-0.2877710940389457,-0.07185304275130211,1.0
t2_full_local_kernel_density5,113,-0.1368000149857651,0.23128903615276358,6,0.3333333333333333,-0.22349976501584162,-0.06338318975059871,1.0
delta_weather_local_kernel_density5_t2_minus_t1,113,-0.1345080557111531,-0.17025370307538085,6,0.5,-0.2599416960261314,-0.0558712498336671,1.0
t2_full_mean5_z,113,-0.12048132646762731,-0.28498031847563005,6,0.6666666666666666,-0.16554140705310214,-0.06920638032839224,1.0
delta_full_max_training_kernel_similarity_t2_minus_t1,113,-0.10376340397962684,-0.17797008966641178,6,0.8333333333333334,-0.21870559996982208,-0.05782646145260414,1.0
t2_full_kernel_projection_residual,113,0.10191694686901187,-0.22684371311559487,6,0.16666666666666666,0.041742197843702596,0.16992517131919552,1.0
t2_full_kernel_projection_support,113,-0.10191694686901187,0.22684371311559487,6,0.16666666666666666,-0.16992517131919552,-0.041742197843702596,1.0
delta_full_kernel_projection_support_t2_minus_t1,113,-0.09881456622820381,-0.31924644798218893,6,0.8333333333333334,-0.2409205121019334,-0.018842042806142087,1.0
delta_full_kernel_projection_residual_t2_minus_t1,113,0.09881456622820381,0.31924644798218893,6,0.8333333333333334,0.018842042806142087,0.2409205121019334,1.0
delta_weather_kernel_projection_support_t2_minus_t1,113,-0.08402022847393334,-0.03125719607810591,6,0.5,-0.24606899309318422,0.02097743118598653,0.6666666666666666
delta_weather_kernel_projection_residual_t2_minus_t1,113,0.08402022847393334,0.03125719607810591,6,0.5,-0.02097743118598653,0.24606899309318422,0.6666666666666666
t2_full_nearest_percentile,113,0.03924967500323596,0.1689502933846432,6,0.8333333333333334,0.017092919896034866,0.07912268225591376,1.0
