test_year,model,rmse,b10_reference_rmse,absolute_rmse_difference,within_tolerance
2016,Frozen-T1,2.7275218137129102,2.7275218137129102,0.0,True
2016,Frozen-T2,6.64859641978489,6.64859641978489,0.0,True
2017,Frozen-T1,2.262105036655891,2.262105036655891,0.0,True
2017,Frozen-T2,2.9975428610322714,2.9975428610322714,0.0,True
2018,Frozen-T1,2.552737444147713,2.552737444147713,0.0,True
2018,Frozen-T2,2.5925914974794475,2.5925914974794475,0.0,True
2019,Frozen-T1,2.9195123659302205,2.9195123659302205,0.0,True
2019,Frozen-T2,2.7464387581515686,2.746438758151569,4.440892098500626e-16,True
2020,Frozen-T1,2.745177446719631,2.745177446719631,0.0,True
2020,Frozen-T2,2.5389367295619305,2.5389367295619305,0.0,True
2021,Frozen-T1,2.4752077534079464,2.4752077534079464,0.0,True
2021,Frozen-T2,2.4619149097856288,2.4619149097856288,0.0,True
