environment,test_year,model,n,rmse,mae,r2,correlation
2016-DEH1,2016,Frozen-T1,230,2.487096116204583,2.1483890282680207,-0.7229227604552704,0.2846999665772243
2016-DEH1,2016,Frozen-T2,230,4.424450819522547,4.027424733786286,-4.452546947476225,0.25747565968675556
2016-DEH1,2016,Selected-T2,230,4.424450819522547,4.027424733786286,-4.452546947476225,0.25747565968675556
2016-GAH2,2016,Frozen-T1,87,2.3558648489207408,2.0148808795889597,-2.020130280887155,0.09023172558076711
2016-GAH2,2016,Frozen-T2,87,6.979536857316707,6.842824932173168,-25.50807210408885,0.0999555217071784
2016-GAH2,2016,Selected-T2,87,6.979536857316707,6.842824932173168,-25.50807210408885,0.0999555217071784
2016-IAH2,2016,Frozen-T1,388,2.4159047866928516,1.8914604656327623,-0.02201440359451623,0.019571336748519533
2016-IAH2,2016,Frozen-T2,388,6.876619167535101,6.436402515812866,-7.280324080531219,0.010538992928987995
2016-IAH2,2016,Selected-T2,388,6.876619167535101,6.436402515812866,-7.280324080531219,0.010538992928987995
2016-IAH3,2016,Frozen-T1,375,2.0868705145352187,1.754815445181764,-1.1674911852366003,-0.0025608982162068934
2016-IAH3,2016,Frozen-T2,375,4.808436064532111,4.574260027949627,-10.507315639303412,-0.01986550731262318
2016-IAH3,2016,Selected-T2,375,4.808436064532111,4.574260027949627,-10.507315639303412,-0.01986550731262318
2016-IAH4,2016,Frozen-T1,396,1.3353149045682235,1.063421851586958,-0.08474468205955477,0.1964876628856639
2016-IAH4,2016,Frozen-T2,396,6.494945036663629,6.37086870117328,-24.663217046575475,0.20576343208247547
2016-IAH4,2016,Selected-T2,396,6.494945036663629,6.37086870117328,-24.663217046575475,0.20576343208247547
2016-ILH1,2016,Frozen-T1,212,1.7970024624022063,1.361178990649999,0.05316862691286128,0.2377733170897303
2016-ILH1,2016,Frozen-T2,212,8.738424863102857,8.550319601623022,-21.389356316237638,0.21602125757854995
2016-ILH1,2016,Selected-T2,212,8.738424863102857,8.550319601623022,-21.389356316237638,0.21602125757854995
2016-INH1,2016,Frozen-T1,235,1.9215005093061959,1.4512760552752209,-0.05534760619274248,0.3779769693464121
2016-INH1,2016,Frozen-T2,235,1.7969336493485217,1.3746341761316367,0.07704908592052717,0.3486922627956044
2016-INH1,2016,Selected-T2,235,1.7969336493485217,1.3746341761316367,0.07704908592052717,0.3486922627956044
2016-MIH1,2016,Frozen-T1,234,2.6841702525287454,2.0831129973556965,-0.7455651108202874,0.1717661357429018
2016-MIH1,2016,Frozen-T2,234,5.2566434619555205,4.8644186698624035,-5.694728635532747,0.1955060570671128
2016-MIH1,2016,Selected-T2,234,5.2566434619555205,4.8644186698624035,-5.694728635532747,0.1955060570671128
2016-MNH1,2016,Frozen-T1,232,2.671522298627082,2.249184914827922,-2.3202272724110973,0.02500959490466188
2016-MNH1,2016,Frozen-T2,232,10.947728474487587,10.842849626360756,-54.756851332017945,0.034575397283886096
2016-MNH1,2016,Selected-T2,232,10.947728474487587,10.842849626360756,-54.756851332017945,0.034575397283886096
2016-NEH1,2016,Frozen-T1,231,4.343605149525865,4.008015502046979,-5.101560916066801,0.28431450163255206
2016-NEH1,2016,Frozen-T2,231,10.817742556171568,10.683367819156704,-36.84543978539839,0.25648978735730255
2016-NEH1,2016,Selected-T2,231,10.817742556171568,10.683367819156704,-36.84543978539839,0.25648978735730255
2016-NEH4,2016,Frozen-T1,214,1.7378322347501047,1.3661380623877304,-0.3940900013294628,0.09929741347138038
2016-NEH4,2016,Frozen-T2,214,2.0303517665790243,1.691277909892813,-0.9029075556494794,0.06507602699412753
2016-NEH4,2016,Selected-T2,214,2.0303517665790243,1.691277909892813,-0.9029075556494794,0.06507602699412753
2016-NYH1,2016,Frozen-T1,224,1.7243396849169197,1.402798182272105,-1.27194497027623,0.13383098345160205
2016-NYH1,2016,Frozen-T2,224,1.8768830981891984,1.6081297325513997,-1.691699711201946,0.13260521837882872
2016-NYH1,2016,Selected-T2,224,1.8768830981891984,1.6081297325513997,-1.691699711201946,0.13260521837882872
2016-NYH2,2016,Frozen-T1,230,3.2648383942242316,2.75716998657726,-2.2644777059187056,0.016711722618505644
2016-NYH2,2016,Frozen-T2,230,2.3339349602033086,1.7898123506286476,-0.6682757143722815,0.0353575635121015
2016-NYH2,2016,Selected-T2,230,2.3339349602033086,1.7898123506286476,-0.6682757143722815,0.0353575635121015
2016-NYH2L,2016,Frozen-T1,96,6.8692089707835535,6.832402780820601,-142.10384360849906,0.09585922916041514
2016-NYH2L,2016,Frozen-T2,96,5.6081404596086255,5.564713200101926,-94.38401655666148,0.13116183460053096
2016-NYH2L,2016,Selected-T2,96,5.6081404596086255,5.564713200101926,-94.38401655666148,0.13116183460053096
2016-TXH1,2016,Frozen-T1,218,2.663033306963742,2.429914788174756,-4.46222851387222,0.2837003882987443
2016-TXH1,2016,Frozen-T2,218,2.3388976612987715,2.080433281963174,-3.2134622546756173,0.26563397578717524
2016-TXH1,2016,Selected-T2,218,2.3388976612987715,2.080433281963174,-3.2134622546756173,0.26563397578717524
2016-TXH2,2016,Frozen-T1,234,2.0945997231242375,1.6532890207672748,-0.25497752830303577,0.3176078357445477
2016-TXH2,2016,Frozen-T2,234,1.9134476643812113,1.501766539368821,-0.04729020581289256,0.30937585931937955
