inner_test_year,inner_train_year_max,n_train_environments,n_valid_environments,n,config,e_rank_requested,e_rank_effective,gamma_multiplier,rbf_gamma,alpha,sse,sae,rmse,mae,outer_outcome_used
2015,2014,9,14,5228,diagnostic_rank8_gamma0.5,8,8,0.5,0.010942229754861305,10.0,276173.2851887541,30761.965179130635,7.2681359737849265,5.884079031968369,False
2015,2014,9,14,5228,diagnostic_rank8_gamma1,8,8,1.0,0.02188445950972261,10.0,99541.17782311475,19035.944086322434,4.363486113221221,3.641152273588836,False
2015,2014,9,14,5228,diagnostic_rank8_gamma2,8,8,2.0,0.04376891901944522,10.0,55162.22829178528,13449.75460725368,3.2482774050546332,2.5726386012344453,False
2015,2014,9,14,5228,diagnostic_rank8_gamma4,8,8,4.0,0.08753783803889044,10.0,133275.62213100286,22766.08620811651,5.049025566199252,4.354645410886861,False
2015,2014,9,14,5228,diagnostic_rank16_gamma0.5,16,8,0.5,0.010942229754861305,10.0,276173.2851887541,30761.965179130635,7.2681359737849265,5.884079031968369,False
2015,2014,9,14,5228,diagnostic_rank16_gamma1,16,8,1.0,0.02188445950972261,10.0,99541.17782311475,19035.944086322434,4.363486113221221,3.641152273588836,False
2015,2014,9,14,5228,diagnostic_rank16_gamma2,16,8,2.0,0.04376891901944522,10.0,55162.22829178528,13449.75460725368,3.2482774050546332,2.5726386012344453,False
2015,2014,9,14,5228,diagnostic_rank16_gamma4,16,8,4.0,0.08753783803889044,10.0,133275.62213100286,22766.08620811651,5.049025566199252,4.354645410886861,False
2015,2014,9,14,5228,diagnostic_rank32_gamma0.5,32,8,0.5,0.010942229754861305,10.0,276173.2851887541,30761.965179130635,7.2681359737849265,5.884079031968369,False
2015,2014,9,14,5228,diagnostic_rank32_gamma1,32,8,1.0,0.02188445950972261,10.0,99541.17782311475,19035.944086322434,4.363486113221221,3.641152273588836,False
2015,2014,9,14,5228,diagnostic_rank32_gamma2,32,8,2.0,0.04376891901944522,10.0,55162.22829178528,13449.75460725368,3.2482774050546332,2.5726386012344453,False
2015,2014,9,14,5228,diagnostic_rank32_gamma4,32,8,4.0,0.08753783803889044,10.0,133275.62213100286,22766.08620811651,5.049025566199252,4.354645410886861,False
2016,2015,23,18,4562,diagnostic_rank8_gamma0.5,8,8,0.5,0.008705319272875205,10.0,28197.13244082413,8618.18752349471,2.486135709768881,1.8891248407485115,False
2016,2015,23,18,4562,diagnostic_rank8_gamma1,8,8,1.0,0.01741063854575041,10.0,26257.531397354225,8460.977679736188,2.3991052784483973,1.8546641121736493,False
2016,2015,23,18,4562,diagnostic_rank8_gamma2,8,8,2.0,0.03482127709150082,10.0,28905.190903288243,8657.077525097127,2.5171568628824144,1.8976496109375554,False
2016,2015,23,18,4562,diagnostic_rank8_gamma4,8,8,4.0,0.06964255418300164,10.0,22652.272549715053,8245.459376861781,2.228323542707684,1.8074220466597504,False
2016,2015,23,18,4562,diagnostic_rank16_gamma0.5,16,16,0.5,0.008705319272875205,10.0,159210.60010250704,23234.029051341175,5.907562828759071,5.092948060355365,False
2016,2015,23,18,4562,diagnostic_rank16_gamma1,16,16,1.0,0.01741063854575041,10.0,193686.1763388887,25436.513106361937,6.515858917678603,5.575737199991656,False
2016,2015,23,18,4562,diagnostic_rank16_gamma2,16,16,2.0,0.03482127709150082,10.0,201657.89231919099,25361.988292249815,6.64859641978489,5.559401203912717,False
2016,2015,23,18,4562,diagnostic_rank16_gamma4,16,16,4.0,0.06964255418300164,10.0,39239.245126379064,10789.272109668209,2.932801579449809,2.3650311507383184,False
2016,2015,23,18,4562,diagnostic_rank32_gamma0.5,32,22,0.5,0.008705319272875205,10.0,35315.61853968566,9729.86658973109,2.782311610868728,2.1328072314184765,False
2016,2015,23,18,4562,diagnostic_rank32_gamma1,32,22,1.0,0.01741063854575041,10.0,32552.799793428676,9285.235219036464,2.6712622890470428,2.035343099306546,False
2016,2015,23,18,4562,diagnostic_rank32_gamma2,32,22,2.0,0.03482127709150082,10.0,26308.7819465278,8274.738136483506,2.4014454741481015,1.8138400123813032,False
2016,2015,23,18,4562,diagnostic_rank32_gamma4,32,22,4.0,0.06964255418300164,10.0,23110.62164415806,8085.5830493490275,2.250754739417349,1.7723768192347715,False
2017,2016,41,18,3309,diagnostic_rank8_gamma0.5,8,8,0.5,0.005967892309925558,10.0,23537.704127755453,7412.550229626648,2.6670654050496716,2.240117929775354,False
2017,2016,41,18,3309,diagnostic_rank8_gamma1,8,8,1.0,0.011935784619851116,10.0,23775.14356007875,7457.5042435224,2.680483822134526,2.2537033071992747,False
2017,2016,41,18,3309,diagnostic_rank8_gamma2,8,8,2.0,0.023871569239702232,10.0,30503.001194898094,8425.117856767287,3.0361477514442883,2.546122047980443,False
2017,2016,41,18,3309,diagnostic_rank8_gamma4,8,8,4.0,0.047743138479404465,10.0,29758.351465508706,8420.96907537818,2.99885902880034,2.5448682609181565,False
2017,2016,41,18,3309,diagnostic_rank16_gamma0.5,16,16,0.5,0.005967892309925558,10.0,23703.825452971945,7298.74642652113,2.6764604897870883,2.2057257257543457,False
2017,2016,41,18,3309,diagnostic_rank16_gamma1,16,16,1.0,0.011935784619851116,10.0,33744.99513476112,8711.383391787676,3.193421915153724,2.6326332401896875,False
2017,2016,41,18,3309,diagnostic_rank16_gamma2,16,16,2.0,0.023871569239702232,10.0,29732.235941127794,8250.754856621756,2.9975428610322714,2.4934284849264903,False
2017,2016,41,18,3309,diagnostic_rank16_gamma4,16,16,4.0,0.047743138479404465,10.0,21600.51943289578,6903.512168494846,2.554957697176131,2.0862835202462513,False
2017,2016,41,18,3309,diagnostic_rank32_gamma0.5,32,32,0.5,0.005967892309925558,10.0,49461.21087684303,10382.523489888936,3.866197080604565,3.1376619794164204,False
2017,2016,41,18,3309,diagnostic_rank32_gamma1,32,32,1.0,0.011935784619851116,10.0,49647.14662530827,10338.021980808764,3.873457213435822,3.124213351710113,False
2017,2016,41,18,3309,diagnostic_rank32_gamma2,32,32,2.0,0.023871569239702232,10.0,43557.253582095655,9740.482678999237,3.628121818588993,2.9436333269867743,False
2017,2016,41,18,3309,diagnostic_rank32_gamma4,32,32,4.0,0.047743138479404465,10.0,25681.953247364676,7794.542973021602,2.785900760698985,2.3555584687281965,False
2018,2017,59,21,10591,diagnostic_rank8_gamma0.5,8,8,0.5,0.005149150520513157,10.0,71060.32835963581,22556.516389247612,2.590270508773921,2.12978154935772,False
2018,2017,59,21,10591,diagnostic_rank8_gamma1,8,8,1.0,0.010298301041026314,10.0,71603.54130044134,22690.029386131246,2.600152180283079,2.142387818537555,False
2018,2017,59,21,10591,diagnostic_rank8_gamma2,8,8,2.0,0.020596602082052627,10.0,68597.67453288127,21929.854123326255,2.5449907761136146,2.0706122295653153,False
2018,2017,59,21,10591,diagnostic_rank8_gamma4,8,8,4.0,0.041193204164105254,10.0,70756.10812007627,22252.025476612707,2.584719887603469,2.1010315812116613,False
