config,e_rank_requested,gamma_multiplier,mean_rank,median_rank,rank_sd,best_count,top3_count,worst_rank,best_rank,mean_adjacent_abs_rank_change
diagnostic_rank32_gamma4,32,4.0,4.5,4.5,2.7386127875258306,1,2,8.0,1.0,3.0
diagnostic_rank32_gamma2,32,2.0,5.333333333333333,3.5,3.6696957185394363,0,3,10.0,2.0,4.4
diagnostic_rank32_gamma1,32,1.0,6.166666666666667,5.0,4.535048695071164,0,3,12.0,2.0,4.8
diagnostic_rank8_gamma0.5,8,0.5,6.333333333333333,7.0,2.503331114069145,0,1,9.0,2.0,2.4
diagnostic_rank32_gamma0.5,32,0.5,6.333333333333333,6.5,4.802776974487434,2,2,12.0,1.0,4.8
diagnostic_rank8_gamma1,8,1.0,6.5,7.0,2.8106938645110393,0,1,9.0,3.0,2.0
diagnostic_rank16_gamma2,16,2.0,6.833333333333333,6.0,2.857738033247041,0,0,12.0,4.0,2.8
diagnostic_rank8_gamma2,8,2.0,6.833333333333333,7.0,3.488074922742725,0,1,11.0,2.0,4.4
diagnostic_rank8_gamma4,8,4.0,6.833333333333333,6.5,4.535048695071164,1,2,12.0,1.0,4.4
diagnostic_rank16_gamma0.5,16,0.5,7.166666666666667,7.5,3.188521078284832,0,1,11.0,3.0,5.2
diagnostic_rank16_gamma4,16,4.0,7.333333333333333,9.5,5.00666222813829,2,2,12.0,1.0,6.0
diagnostic_rank16_gamma1,16,1.0,7.833333333333333,7.5,2.4832774042918904,0,0,11.0,5.0,1.8
