test_year,train_year_max,n_train_environments,n_test_environments,config,e_rank_requested,e_rank_effective,gamma_multiplier,alpha,diagnostic_only_no_selection,rmse,mae,r2,correlation,frozen_t1_rmse,rmse_minus_frozen_t1,rmse_rank,is_year_winner,is_top1,is_top3,is_top5
2016,2015,23,18,diagnostic_rank8_gamma4,8,8,4.0,10.0,True,2.228323542707684,1.8074220466597504,0.1525519747266722,0.4413965762170923,2.7275218137129102,-0.499198271005226,1.0,True,True,True,True
2016,2015,23,18,diagnostic_rank32_gamma4,32,22,4.0,10.0,True,2.250754739417349,1.7723768192347715,0.135404598713115,0.3813377091945504,2.7275218137129102,-0.4767670742955614,2.0,False,False,True,True
2016,2015,23,18,diagnostic_rank8_gamma1,8,8,1.0,10.0,True,2.3991052784483973,1.8546641121736491,0.0176750221239876,0.3286573812444636,2.7275218137129102,-0.328416535264513,3.0,False,False,True,True
2016,2015,23,18,diagnostic_rank32_gamma2,32,22,2.0,10.0,True,2.401445474148101,1.8138400123813032,0.0157576791026197,0.4634638309039087,2.7275218137129102,-0.3260763395648087,4.0,False,False,False,True
2016,2015,23,18,diagnostic_rank8_gamma0.5,8,8,0.5,10.0,True,2.486135709768881,1.8891248407485115,-0.0548877227617272,0.4416417777687302,2.7275218137129102,-0.2413861039440292,5.0,False,False,False,True
2016,2015,23,18,diagnostic_rank8_gamma2,8,8,2.0,10.0,True,2.5171568628824144,1.8976496109375556,-0.0813770184593825,0.4390542144765881,2.7275218137129102,-0.2103649508304959,6.0,False,False,False,False
2016,2015,23,18,diagnostic_rank32_gamma1,32,22,1.0,10.0,True,2.6712622890470428,2.035343099306546,-0.2178383357128617,0.4614858135008245,2.7275218137129102,-0.0562595246658674,7.0,False,False,False,False
2016,2015,23,18,diagnostic_rank32_gamma0.5,32,22,0.5,10.0,True,2.782311610868728,2.1328072314184765,-0.3211986182436785,0.4526633150070937,2.7275218137129102,0.0547897971558177,8.0,False,False,False,False
2016,2015,23,18,diagnostic_rank16_gamma4,16,16,4.0,10.0,True,2.932801579449809,2.3650311507383184,-0.46798608053938,0.4395964257875334,2.7275218137129102,0.2052797657368987,9.0,False,False,False,False
2016,2015,23,18,diagnostic_rank16_gamma0.5,16,16,0.5,10.0,True,5.907562828759071,5.092948060355365,-4.956254868615745,0.4188618038831924,2.7275218137129102,3.1800410150461604,10.0,False,False,False,False
2016,2015,23,18,diagnostic_rank16_gamma1,16,16,1.0,10.0,True,6.515858917678603,5.575737199991656,-6.246026521219722,0.4185052832234004,2.7275218137129102,3.788337103965693,11.0,False,False,False,False
2016,2015,23,18,diagnostic_rank16_gamma2,16,16,2.0,10.0,True,6.64859641978489,5.559401203912717,-6.544257745072447,0.427354153730157,2.7275218137129102,3.92107460607198,12.0,False,False,False,False
2017,2016,41,18,diagnostic_rank16_gamma4,16,16,4.0,10.0,True,2.554957697176131,2.0862835202462517,-0.1031816571938011,0.4273383443500878,2.262105036655891,0.2928526605202401,1.0,True,True,True,True
2017,2016,41,18,diagnostic_rank8_gamma0.5,8,8,0.5,10.0,True,2.667065405049672,2.240117929775354,-0.2021175475368448,0.5366525226857455,2.262105036655891,0.4049603683937808,2.0,False,False,True,True
2017,2016,41,18,diagnostic_rank16_gamma0.5,16,16,0.5,10.0,True,2.6764604897870883,2.2057257257543457,-0.2106016953100908,0.3491457173277287,2.262105036655891,0.4143554531311975,3.0,False,False,True,True
2017,2016,41,18,diagnostic_rank8_gamma1,8,8,1.0,10.0,True,2.680483822134526,2.2537033071992747,-0.2142440534408956,0.5354959541501279,2.262105036655891,0.4183787854786351,4.0,False,False,False,True
2017,2016,41,18,diagnostic_rank32_gamma4,32,32,4.0,10.0,True,2.785900760698985,2.3555584687281965,-0.3116286314973722,0.2681058482570208,2.262105036655891,0.5237957240430942,5.0,False,False,False,True
2017,2016,41,18,diagnostic_rank16_gamma2,16,16,2.0,10.0,True,2.9975428610322714,2.4934284849264903,-0.5184846558670584,0.385950105709332,2.262105036655891,0.7354378243763806,6.0,False,False,False,False
2017,2016,41,18,diagnostic_rank8_gamma4,8,8,4.0,10.0,True,2.99885902880034,2.5448682609181565,-0.5198184278420575,0.0506257809108714,2.262105036655891,0.736753992144449,7.0,False,False,False,False
2017,2016,41,18,diagnostic_rank8_gamma2,8,8,2.0,10.0,True,3.0361477514442883,2.546122047980443,-0.5578491763640421,0.2003927304022993,2.262105036655891,0.7740427147883975,8.0,False,False,False,False
2017,2016,41,18,diagnostic_rank16_gamma1,16,16,1.0,10.0,True,3.193421915153724,2.6326332401896875,-0.7234242801619457,0.3379901282926089,2.262105036655891,0.9313168784978334,9.0,False,False,False,False
2017,2016,41,18,diagnostic_rank32_gamma2,32,32,2.0,10.0,True,3.628121818588993,2.9436333269867743,-1.2245559112031543,0.0856083620274997,2.262105036655891,1.3660167819331024,10.0,False,False,False,False
2017,2016,41,18,diagnostic_rank32_gamma0.5,32,32,0.5,10.0,True,3.866197080604565,3.1376619794164204,-1.5260827986770678,0.1763772794996212,2.262105036655891,1.604092043948674,11.0,False,False,False,False
2017,2016,41,18,diagnostic_rank32_gamma1,32,32,1.0,10.0,True,3.873457213435822,3.124213351710113,-1.535578908609085,0.1382236490584093,2.262105036655891,1.6113521767799313,12.0,False,False,False,False
