outcome_free_shift_metric,n_transitions,spearman_vs_rank_inversion,spearman_vs_lagged_winner_regret,descriptive_only_small_n
abs_delta_n_train_environments,5,-0.9486832980505137,-0.7905694150420949,True
abs_delta_median_t2_full_nearest_z,5,-0.6,0.09999999999999999,True
abs_delta_t2_weather_rbf_gamma,5,0.6,0.8999999999999998,True
abs_delta_t2_full_kernel_effective_rank,5,-0.49999999999999994,0.09999999999999999,True
abs_delta_median_t2_max_kernel_similarity,5,-0.49999999999999994,0.19999999999999998,True
abs_delta_median_t2_projection_residual,5,-0.49999999999999994,0.19999999999999998,True
abs_delta_t2_weather_kernel_effective_rank,5,0.39999999999999997,0.49999999999999994,True
outcome_free_shift_index,5,-0.3,0.3,True
abs_delta_t2_full_rbf_gamma,5,0.3,0.7,True
abs_delta_median_t2_weather_nearest_z,5,0.09999999999999999,0.39999999999999997,True
abs_delta_median_t2_local_kernel_density5,5,-0.09999999999999999,0.39999999999999997,True
