environment,test_year,model,n,rmse,mae,r2,correlation
2016-DEH1,2016,Frozen-T1,230,2.487096116204583,2.1483890282680207,-0.7229227604552704,0.2846999665772243
2016-DEH1,2016,Frozen-T2,230,4.424450819522547,4.027424733786286,-4.452546947476225,0.25747565968675556
2016-DEH1,2016,T2-Mean12,230,1.9070927716969919,1.420773473276281,-0.01303467207297393,0.3017289544754122
2016-DEH1,2016,T2-Median12,230,1.8033743722433406,1.391798170993707,0.09415799237196854,0.3235857439976948
2016-GAH2,2016,Frozen-T1,87,2.3558648489207408,2.0148808795889597,-2.020130280887155,0.09023172558076711
2016-GAH2,2016,Frozen-T2,87,6.979536857316707,6.842824932173168,-25.50807210408885,0.0999555217071784
2016-GAH2,2016,T2-Mean12,87,1.3747566600442451,1.0954984493570308,-0.02843440701558264,0.11773818178540571
2016-GAH2,2016,T2-Median12,87,2.1563722242543686,1.8157080582378782,-1.5303021908005796,0.12038876735595022
2016-IAH2,2016,Frozen-T1,388,2.4159047866928516,1.8914604656327623,-0.02201440359451623,0.019571336748519533
2016-IAH2,2016,Frozen-T2,388,6.876619167535101,6.436402515812866,-7.280324080531219,0.010538992928987995
2016-IAH2,2016,T2-Mean12,388,3.209934986840472,2.5141979229377918,-0.8042215288921433,0.045721177522603317
2016-IAH2,2016,T2-Median12,388,2.6688376224765564,2.0233808063954157,-0.24721604819505627,0.06899132783789429
2016-IAH3,2016,Frozen-T1,375,2.0868705145352187,1.754815445181764,-1.1674911852366003,-0.0025608982162068934
2016-IAH3,2016,Frozen-T2,375,4.808436064532111,4.574260027949627,-10.507315639303412,-0.01986550731262318
2016-IAH3,2016,T2-Mean12,375,1.5217863906380227,1.2007720520242664,-0.1525870237945759,0.014927251093850636
2016-IAH3,2016,T2-Median12,375,1.5364958273877074,1.2375277893171521,-0.17497629395600756,0.03748392840753312
2016-IAH4,2016,Frozen-T1,396,1.3353149045682235,1.063421851586958,-0.08474468205955477,0.1964876628856639
2016-IAH4,2016,Frozen-T2,396,6.494945036663629,6.37086870117328,-24.663217046575475,0.20576343208247547
2016-IAH4,2016,T2-Mean12,396,1.939609236932449,1.6010268720669434,-1.2886987052357992,0.22319910032552331
2016-IAH4,2016,T2-Median12,396,1.3008565753302708,1.012955284769476,-0.029482502455049575,0.24828363566606337
2016-ILH1,2016,Frozen-T1,212,1.7970024624022063,1.361178990649999,0.05316862691286128,0.2377733170897303
2016-ILH1,2016,Frozen-T2,212,8.738424863102857,8.550319601623022,-21.389356316237638,0.21602125757854995
2016-ILH1,2016,T2-Mean12,212,2.8300440525773327,2.3856801604808675,-1.3483438463863062,0.23428847482101495
2016-ILH1,2016,T2-Median12,212,1.9908332541465645,1.5345129570916967,-0.16210419304683032,0.2532909322465463
2016-INH1,2016,Frozen-T1,235,1.9215005093061959,1.4512760552752209,-0.05534760619274248,0.3779769693464121
2016-INH1,2016,Frozen-T2,235,1.7969336493485217,1.3746341761316367,0.07704908592052717,0.3486922627956044
2016-INH1,2016,T2-Mean12,235,2.048580090637649,1.560243430516342,-0.19955569485826175,0.398884130714945
2016-INH1,2016,T2-Median12,235,2.190559195470649,1.6931997445643026,-0.37159062748034066,0.3849546617395482
2016-MIH1,2016,Frozen-T1,234,2.6841702525287454,2.0831129973556965,-0.7455651108202874,0.1717661357429018
2016-MIH1,2016,Frozen-T2,234,5.2566434619555205,4.8644186698624035,-5.694728635532747,0.1955060570671128
2016-MIH1,2016,T2-Mean12,234,2.4428825845594124,1.8556679343962625,-0.445842950551552,0.1961778814209667
2016-MIH1,2016,T2-Median12,234,2.1732616314933115,1.6226260085303874,-0.14430016457507544,0.21483063202404384
2016-MNH1,2016,Frozen-T1,232,2.671522298627082,2.249184914827922,-2.3202272724110973,0.02500959490466188
2016-MNH1,2016,Frozen-T2,232,10.947728474487587,10.842849626360756,-54.756851332017945,0.034575397283886096
2016-MNH1,2016,T2-Mean12,232,3.6715205336280046,3.358530531633027,-5.271076928706896,0.06838578875498451
2016-MNH1,2016,T2-Median12,232,2.337848498512189,1.9006747064587723,-1.5426286318796345,0.061057826486050695
2016-NEH1,2016,Frozen-T1,231,4.343605149525865,4.008015502046979,-5.101560916066801,0.28431450163255206
2016-NEH1,2016,Frozen-T2,231,10.817742556171568,10.683367819156704,-36.84543978539839,0.25648978735730255
2016-NEH1,2016,T2-Mean12,231,4.713470343741663,4.4024286227187,-6.184918243185896,0.293024728163154
2016-NEH1,2016,T2-Median12,231,3.274451284901125,2.865314081202094,-2.4675069496445823,0.3142815272226708
2016-NEH4,2016,Frozen-T1,214,1.7378322347501047,1.3661380623877304,-0.3940900013294628,0.09929741347138038
2016-NEH4,2016,Frozen-T2,214,2.0303517665790243,1.691277909892813,-0.9029075556494794,0.06507602699412753
2016-NEH4,2016,T2-Mean12,214,1.5119279731008148,1.1684842999170246,-0.055206164413807546,0.08811053077572933
2016-NEH4,2016,T2-Median12,214,1.5126488038250143,1.1600684850891512,-0.05621256995163093,0.1220170636040269
2016-NYH1,2016,Frozen-T1,224,1.7243396849169197,1.402798182272105,-1.27194497027623,0.13383098345160205
2016-NYH1,2016,Frozen-T2,224,1.8768830981891984,1.6081297325513997,-1.691699711201946,0.13260521837882872
