test_year,model,n,n_environments,rmse,mae,r2,correlation
2016,Frozen-T1,4562,18,2.7275218137129102,2.1163011230231286,-0.26967637822407076,0.18585909256792857
2016,Frozen-T2,4562,18,6.64859641978489,5.559401203912717,-6.544257745072447,0.42735415373015706
2016,T2-Mean12,4562,18,2.9199526251410037,2.24095627557416,-0.4551514123642475,0.4614995325523979
2016,T2-Median12,4562,18,2.474564195494975,1.8640152313121796,-0.04509079906777136,0.46077400484915787
2017,Frozen-T1,3309,18,2.262105036655891,1.8450220717448573,0.13522099392047782,0.5507317893379293
2017,Frozen-T2,3309,18,2.9975428610322714,2.4934284849264903,-0.5184846558670584,0.385950105709332
2017,T2-Mean12,3309,18,2.445134688762793,2.037967360326176,-0.010381017582247853,0.5312136928891197
2017,T2-Median12,3309,18,2.695318752647913,2.2670760124596745,-0.2277215252419278,0.45738444076891643
2018,Frozen-T1,10591,21,2.552737444147713,2.0802917064256414,-0.084575427249717,0.09792927457551444
2018,Frozen-T2,10591,21,2.5925914974794475,2.0962190794437046,-0.1187051771015899,0.06136216125054253
2018,T2-Mean12,10591,21,2.4962102970987883,2.0228378751099783,-0.03707413706940521,0.18298470902745415
2018,T2-Median12,10591,21,2.5431512351356025,2.065813025807118,-0.07644498275831846,0.14072880310204416
2019,Frozen-T1,10909,21,2.9195123659302205,2.3778872447077055,-0.04323980304041419,0.38902399377052227
2019,Frozen-T2,10909,21,2.7464387581515686,2.2189976092230186,0.07678394399642274,0.4030051582051963
2019,T2-Mean12,10909,21,2.669995245175012,2.1640506015373866,0.12746172647109266,0.43411386580980327
2019,T2-Median12,10909,21,2.6953413019714496,2.1931265061570255,0.11081722151588791,0.42830093132245745
2020,Frozen-T1,6715,16,2.745177446719631,2.2388309723188247,0.06633111623119314,0.2756137099389038
2020,Frozen-T2,6715,16,2.5389367295619305,2.0587306868717237,0.20135128426023707,0.4566729827700692
2020,T2-Mean12,6715,16,2.5271790373074388,2.052044022981473,0.20873116322953456,0.474679092113431
2020,T2-Median12,6715,16,2.5188603070063693,2.044104803235354,0.2139318382652049,0.4880230396307185
2021,Frozen-T1,8230,19,2.4752077534079464,2.0116947092820245,0.10685176720595968,0.5699083023822034
2021,Frozen-T2,8230,19,2.4619149097856288,1.9831129053514436,0.11641912559844769,0.554930577452241
2021,T2-Mean12,8230,19,2.5077316912320193,2.0461932903670768,0.08322583457042532,0.5560747147519147
2021,T2-Median12,8230,19,2.510151928868548,2.0433270437121815,0.08145540430793075,0.556055676026876
