test_year,nominal,status,n,n_environments,global_half_width,global_coverage,adaptive_mean_half_width,adaptive_coverage,adaptive_environment_balanced_coverage,within_group_quantile_source,edge_group_quantile_source,within_group_calibration_environments,edge_group_calibration_environments
2016,0.8,INSUFFICIENT_CALIBRATION_HISTORY,4562,18,,,,,,,,,
2016,0.9,INSUFFICIENT_CALIBRATION_HISTORY,4562,18,,,,,,,,,
2016,0.95,INSUFFICIENT_CALIBRATION_HISTORY,4562,18,,,,,,,,,
2017,0.8,INSUFFICIENT_CALIBRATION_HISTORY,3309,18,,,,,,,,,
2017,0.9,INSUFFICIENT_CALIBRATION_HISTORY,3309,18,,,,,,,,,
2017,0.95,INSUFFICIENT_CALIBRATION_HISTORY,3309,18,,,,,,,,,
2018,0.8,CALIBRATION_AVAILABLE,10591,21,3.1677980702609485,0.7664998583703144,3.1677980702609494,0.7664998583703144,0.7552769406977375,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,36.0,0.0
2018,0.9,CALIBRATION_AVAILABLE,10591,21,4.136321164819574,0.8984987253328297,4.136321164819575,0.8984987253328297,0.8930716748574112,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,36.0,0.0
2018,0.95,CALIBRATION_AVAILABLE,10591,21,5.059080187495965,0.9641204796525352,5.059080187495965,0.9641204796525352,0.9630933295386465,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,36.0,0.0
2019,0.8,CALIBRATION_AVAILABLE,10909,21,3.306821058813477,0.7244477037308644,3.3068210588134765,0.7244477037308644,0.6950101290309092,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,57.0,0.0
2019,0.9,CALIBRATION_AVAILABLE,10909,21,4.146135095031738,0.8347236226968558,4.146135095031738,0.8347236226968558,0.8109459098441056,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,57.0,0.0
2019,0.95,CALIBRATION_AVAILABLE,10909,21,4.871577182128906,0.9036575304794207,4.871577182128905,0.9036575304794207,0.8879983830840606,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,57.0,0.0
2020,0.8,CALIBRATION_AVAILABLE,6715,16,3.4992552536499026,0.7767684288905435,3.499255253649903,0.7767684288905435,0.7891986294932718,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,78.0,0.0
2020,0.9,CALIBRATION_AVAILABLE,6715,16,4.399889658422851,0.8921816827997021,4.399889658422851,0.8921816827997021,0.8955582500356241,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,78.0,0.0
2020,0.95,CALIBRATION_AVAILABLE,6715,16,5.191111250023955,0.9544303797468354,5.191111250023953,0.9544303797468354,0.9579895957422909,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,78.0,0.0
2021,0.8,CALIBRATION_AVAILABLE,8230,19,3.528285536279297,0.8534629404617254,3.528285536279298,0.8534629404617254,0.8267830771791697,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,94.0,0.0
2021,0.9,CALIBRATION_AVAILABLE,8230,19,4.418800576367188,0.9319562575941677,4.41880057636719,0.9319562575941677,0.9073606657333123,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,94.0,0.0
2021,0.95,CALIBRATION_AVAILABLE,8230,19,5.177852079527234,0.966221142162819,5.177852079527236,0.966221142162819,0.9536679134431385,SUPPORT_GROUP_CHRONOLOGICAL,GLOBAL_CHRONOLOGICAL_FALLBACK,94.0,0.0
