environment,n_sealed,n_officially_observable,observable_fraction,selection_rule,selection_uses_outcome_value,diagnostic_only,rmse,mae,r2,correlation,coverage_90
DEH1_2022,20,17,0.85,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,2.7703044575664153,2.3442352216360596,-0.7813678121071173,0.3107886278382534,0.8823529411764706
GAH1_2022,32,32,1.0,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,3.629271243734911,3.22075748733983,-2.2428127655739503,0.31315062222492773,0.6875
GAH2_2022,32,31,0.96875,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,2.16051075266574,1.416192558596258,-0.05564353525191357,0.2144857480391762,0.9032258064516129
ILH1_2022,31,31,1.0,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,3.7594447452844393,3.4042305354145963,-0.49843055329976726,0.04685194320646088,0.6451612903225806
MIH1_2022,20,19,0.95,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,2.0196222554233683,1.558011125976413,-0.23406722571655592,0.19159741629854216,0.9473684210526315
MOH2_2022,42,42,1.0,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,3.785502406268223,3.6015015336020686,-10.306459861850382,0.2184503220532677,0.7142857142857143
NCH1_2022,43,43,1.0,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,1.7810093570914658,1.425756556140928,-0.3280078384831546,0.19319774816362806,1.0
OHH1_2022,19,19,1.0,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,2.709401051087315,2.1282085832797626,-1.101920827554372,0.2888470022912626,0.7894736842105263
TXH1_2022,31,31,1.0,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,1.5991903129675473,1.2298595695429182,0.05148798161752899,0.3223708064695842,1.0
TXH2_2022,19,19,1.0,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,1.5174213564190018,1.192136936306679,0.047765943680076806,0.27230098626959176,1.0
TXH3_2022,31,29,0.9354838709677419,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,1.750371479987142,1.4710897305648083,-1.0022196133231636,0.13995530565065645,1.0
WIH1_2022,19,17,0.8947368421052632,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,4.067071114118403,3.7682828833210595,-0.488595021748083,0.4505234747811951,0.47058823529411764
WIH2_2022,41,19,0.4634146341463415,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,2.4277296449211923,2.1087334462658083,-0.052658108374925794,0.28308824626143275,0.9473684210526315
WIH3_2022,40,38,0.95,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True,3.021679045400004,2.6277677968464643,-0.6334577059474511,0.0546861348734878,0.8947368421052632
