genotype,environment,official_answer_key_present,selection_rule,selection_uses_outcome_value,diagnostic_only
B14A/OH43,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/H95,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/MO17,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/PHN82,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B73/TX779,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG119/CG108,DEH1_2022,False,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
CG44/CGR01,DEH1_2022,False,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH195/PHZ51,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/MO17,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHK76,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
LH244/PHZ51,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHN82,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHB47/PHZ51,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHG29/PHG47,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHJ40/PHAJ0,DEH1_2022,False,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHRE1/PHTD5,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHM49,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
PHW52/PHN82,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX777/LH195,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
TX779/LH195,DEH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/H95,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/MO17,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B14A/OH43,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
B37/H95,GAH1_2022,True,SEALED_KEY_PRESENT_IN_OFFICIAL_ANSWER_KEY,False,True
