environment,source_experiment_code,target_year,city,planting_date,planting_date_source,latitude,longitude,n_field_metadata_records,t1_metadata_feasible,t1_metadata_failure_reason,weather_station_placement_used_as_planting_proxy,treatment_application_date_used_as_planting_proxy,weather_window_rule,phenotype_used
COH1_2023,COH1,2023,Fort Collins,,NOT_AVAILABLE,40.6533,-104.9928,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
DEH1_2023,DEH1,2023,Georgetown,,NOT_AVAILABLE,38.63,-75.466,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
GAH1_2023,GAH1,2023,Tifton,,NOT_AVAILABLE,31.5073,-83.55831,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
GAH2_2023,GAH2,2023,Watkinsville,,NOT_AVAILABLE,33.7245165,-83.3040989,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
IAH1_2023,IAH1,2023,Crawfordsville,,NOT_AVAILABLE,41.200821,-91.495311,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
IAH2_2023,IAH2,2023,Carroll,,NOT_AVAILABLE,42.06428,-94.721102,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
IAH3_2023,IAH3,2023,Keystone,,NOT_AVAILABLE,41.975829,-92.24096,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
IAH4_2023,IAH4,2023,Ames,,NOT_AVAILABLE,41.997499,-93.696206,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
ILH1_2023,ILH1,2023,Champaign,,NOT_AVAILABLE,40.088772,-88.226174,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
INH1_2023,INH1,2023,West Lafayette,,NOT_AVAILABLE,40.4766743,-86.9987519,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
MIH1_2023,MIH1,2023,East Lansing,,NOT_AVAILABLE,42.707452,-84.469759,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
MNH1_2023,MNH1,2023,Waseca,,NOT_AVAILABLE,,,1,False,PLANTING_DATE_NOT_AVAILABLE_IN_ALLOWLISTED_2023_FIELD_METADATA,False,False,PLANTING_THROUGH_30_DAP_ONLY,False
