genotype,genotype_support_state,source_prediction_sha256,phenotype_used
B14A/H95,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B14A/MO17,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B14A/OH43,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B37/H95,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B37/MO17,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B37/OH43,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B73/MO17,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B73/PHK76,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B73/PHM49,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B73/PHN82,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B73/PHZ51,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
B73/TX779,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
CG119/CG108,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
CG44/CGR01,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
F42/H95,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
F42/MO17,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
F42/OH43,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
LH145/LH82,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
LH195/MO17,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
LH195/PHK76,SUPPORTED_FROZEN_B5_GENOME_INHERITED_FROM_B12,fb8347da2a5ba9fff0d106fa9b7a13037818c8e0e0d1387527dbf090c3085220,False
