environment,source_experiment_code,authoritative_public_search_disposition,exact_calendar_date_recovered,admissible,contextual_note
COH1_2023,COH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
DEH1_2023,DEH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
GAH1_2023,GAH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
GAH2_2023,GAH2,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
IAH1_2023,IAH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
IAH2_2023,IAH2,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
IAH3_2023,IAH3,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
IAH4_2023,IAH4,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
ILH1_2023,ILH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
INH1_2023,INH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
MIH1_2023,MIH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
MNH1_2023,MNH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
MOH1_2023,MOH1,MONTH_ONLY_CONTEXT_FOUND_NOT_EXACT,,False,USDA-ARS 2023 annual report states two Columbia G2F locations were planted in May; no exact day or code-specific day.
MOH2_2023,MOH2,MONTH_ONLY_CONTEXT_FOUND_NOT_EXACT,,False,USDA-ARS 2023 annual report states two Columbia G2F locations were planted in May; no exact day or code-specific day.
NCH1_2023,NCH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
NEH1_2023,NEH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
NEH3_2023,NEH3,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
NYH2_2023,NYH2,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
NYH3_2023,NYH3,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
OHH1_2023,OHH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
SCH1_2023,SCH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
TXH1_2023,TXH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
TXH2_2023,TXH2,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
TXH3_2023,TXH3,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
WIH1_2023,WIH1,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
WIH2_2023,WIH2,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
WIH3_2023,WIH3,NO_EXACT_CODE_MAPPED_PUBLIC_PLANTING_DATE_LOCATED,,False,
