column_index,column_name,normalized_column_name,explicit_planting_or_sowing_semantics
0,Year,year,False
1,Env,env,False
2,Experiment_Code,experimentcode,False
3,Treatment,treatment,False
4,City,city,False
5,Farm,farm,False
6,Field,field,False
7,Trial_ID (Assigned by collaborator for internal reference),trialidassignedbycollaboratorforinternalreference,False
8,"Soil_Taxonomic_ID and horizon description, if known",soiltaxonomicidandhorizondescriptionifknown,False
9,"Weather_Station_Serial_Number (Last four digits, e.g. m2700s#####)",weatherstationserialnumberlastfourdigitsegm2700s,False
10,Weather_Station_Latitude (in decimal numbers NOT DMS),weatherstationlatitudeindecimalnumbersnotdms,False
11,Weather_Station_Longitude (in decimal numbers NOT DMS),weatherstationlongitudeindecimalnumbersnotdms,False
12,Date_weather_station_placed,dateweatherstationplaced,False
13,Date_weather_station_removed,dateweatherstationremoved,False
14,Previous_Crop,previouscrop,False
15,Pre-plant_tillage_method(s),preplanttillagemethods,False
16,In-season_tillage_method(s),inseasontillagemethods,False
17,Type_of_planter (fluted cone; belt cone; air planter),typeofplanterflutedconebeltconeairplanter,False
18,System_Determining_Moisture,systemdeterminingmoisture,False
19,Pounds_Needed_Soil_Moisture,poundsneededsoilmoisture,False
20,Latitude_of_Field_Corner_#1 (lower left),latitudeoffieldcorner1lowerleft,False
21,Longitude_of_Field_Corner_#1 (lower left),longitudeoffieldcorner1lowerleft,False
22,Latitude_of_Field_Corner_#2 (lower right),latitudeoffieldcorner2lowerright,False
23,Longitude_of_Field_Corner_#2 (lower right),longitudeoffieldcorner2lowerright,False
24,Latitude_of_Field_Corner_#3 (upper right),latitudeoffieldcorner3upperright,False
25,Longitude_of_Field_Corner_#3 (upper right),longitudeoffieldcorner3upperright,False
26,Latitude_of_Field_Corner_#4 (upper left),latitudeoffieldcorner4upperleft,False
27,Longitude_of_Field_Corner_#4 (upper left),longitudeoffieldcorner4upperleft,False
28,Cardinal_Heading_Pass_1,cardinalheadingpass1,False
29,Irrigated,irrigated,False
30,Issue/comment_#1,issuecomment1,False
31,Issue/comment_#2,issuecomment2,False
32,Issue/comment_#3,issuecomment3,False
33,Issue/comment_#4,issuecomment4,False
34,Issue/comment_#5,issuecomment5,False
35,Issue/comment_#6,issuecomment6,False
36,Issue/comment_#7,issuecomment7,False
37,Issue/comment_#8,issuecomment8,False
