environment,source_experiment_code,source_raw_environment,source_environment_column,source_planting_column,source_raw_planting_value,recovered_planting_date,exact_unique_mapping,explicit_planting_semantics,admissible,failure_reason
COH1_2023,COH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
DEH1_2023,DEH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
GAH1_2023,GAH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
GAH2_2023,GAH2,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
IAH1_2023,IAH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
IAH2_2023,IAH2,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
IAH3_2023,IAH3,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
IAH4_2023,IAH4,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
ILH1_2023,ILH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
INH1_2023,INH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
MIH1_2023,MIH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
MNH1_2023,MNH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
MOH1_2023,MOH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
MOH2_2023,MOH2,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
NCH1_2023,NCH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
NEH1_2023,NEH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
NEH3_2023,NEH3,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
NYH2_2023,NYH2,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
NYH3_2023,NYH3,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
OHH1_2023,OHH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
SCH1_2023,SCH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
TXH1_2023,TXH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
TXH2_2023,TXH2,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
TXH3_2023,TXH3,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
WIH1_2023,WIH1,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
WIH2_2023,WIH2,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
WIH3_2023,WIH3,,Env,,,,False,False,False,NO_EXPLICIT_PLANTING_OR_SOWING_COLUMN_IN_AUTHORITATIVE_METADATA
