genotype,environment
B14A/OH43,DEH1_2024
B37/H95,DEH1_2024
B73/MO17,DEH1_2024
B73/PHN82,DEH1_2024
B73/TX779,DEH1_2024
CG119/CG108,DEH1_2024
CG44/CGR01,DEH1_2024
LH195/PHP02,DEH1_2024
LH195/PHZ51,DEH1_2024
LH244/PHK76,DEH1_2024
PHB47/PHN82,DEH1_2024
PHB47/PHZ51,DEH1_2024
PHG29/PHG47,DEH1_2024
PHG39/PHN82,DEH1_2024
PHJ40/PHAJ0,DEH1_2024
PHRE1/PHTD5,DEH1_2024
PHW52/PHM49,DEH1_2024
TX777/LH195,DEH1_2024
W10004_0018/PHP02,DEH1_2024
W10004_0031/PHP02,DEH1_2024
W10004_0062/PHP02,DEH1_2024
W10004_0095/PHP02,DEH1_2024
W10004_0103/PHP02,DEH1_2024
W10004_0122/PHP02,DEH1_2024
W10004_0133/PHP02,DEH1_2024
W10004_0138/PHP02,DEH1_2024
W10004_0146/PHP02,DEH1_2024
W10004_0160/PHP02,DEH1_2024
W10004_0167/PHP02,DEH1_2024
W10004_0168/PHP02,DEH1_2024
W10004_0189/PHP02,DEH1_2024
W10004_0238/PHP02,DEH1_2024
W10004_0258/PHP02,DEH1_2024
W10004_0311/PHP02,DEH1_2024
W10004_0389/PHP02,DEH1_2024
W10004_0412/PHP02,DEH1_2024
W10004_0476/PHP02,DEH1_2024
W10004_0608/PHP02,DEH1_2024
W10004_0637/PHP02,DEH1_2024
W10004_0658/PHP02,DEH1_2024
W10004_0688/PHP02,DEH1_2024
W10004_0691/PHP02,DEH1_2024
W10004_0714/PHP02,DEH1_2024
W10004_0747/PHP02,DEH1_2024
W10004_0776/PHP02,DEH1_2024
W10004_0801/PHP02,DEH1_2024
W10004_0822/PHP02,DEH1_2024
W10004_0859/PHP02,DEH1_2024
W10004_0866/PHP02,DEH1_2024
W10004_0969/PHP02,DEH1_2024
W10004_1014/PHP02,DEH1_2024
B14A/OH43,GAH1_2024
B37/H95,GAH1_2024
B73/MO17,GAH1_2024
B73/PHN82,GAH1_2024
CG119/CG108,GAH1_2024
CG44/CGR01,GAH1_2024
LH195/PHZ51,GAH1_2024
LH244/PHK76,GAH1_2024
PHB47/PHN82,GAH1_2024
PHB47/PHZ51,GAH1_2024
PHG29/PHG47,GAH1_2024
PHG39/PHN82,GAH1_2024
PHJ40/PHAJ0,GAH1_2024
PHRE1/PHTD5,GAH1_2024
PHW52/PHM49,GAH1_2024
B14A/OH43,GAH2_2024
B37/H95,GAH2_2024
B73/MO17,GAH2_2024
B73/PHN82,GAH2_2024
CG119/CG108,GAH2_2024
CG44/CGR01,GAH2_2024
LH195/PHZ51,GAH2_2024
LH244/PHK76,GAH2_2024
PHB47/PHN82,GAH2_2024
PHB47/PHZ51,GAH2_2024
PHG29/PHG47,GAH2_2024
PHG39/PHN82,GAH2_2024
PHJ40/PHAJ0,GAH2_2024
PHRE1/PHTD5,GAH2_2024
PHW52/PHM49,GAH2_2024
B14A/OH43,IAH2_2024
B37/H95,IAH2_2024
B73/MO17,IAH2_2024
B73/PHN82,IAH2_2024
B73/TX779,IAH2_2024
CG119/CG108,IAH2_2024
CG44/CGR01,IAH2_2024
LH132/PHP02,IAH2_2024
LH195/PHP02,IAH2_2024
LH195/PHZ51,IAH2_2024
LH244/PHK76,IAH2_2024
PHB47/PHN82,IAH2_2024
PHB47/PHZ51,IAH2_2024
PHG29/PHG47,IAH2_2024
PHG39/PHN82,IAH2_2024
PHJ40/PHAJ0,IAH2_2024
PHRE1/PHTD5,IAH2_2024
PHW52/PHM49,IAH2_2024
TX777/LH195,IAH2_2024
W10004_0055/PHP02,IAH2_2024
W10004_0062/PHP02,IAH2_2024
W10004_0095/PHP02,IAH2_2024
W10004_0122/PHP02,IAH2_2024
W10004_0133/PHP02,IAH2_2024
W10004_0138/PHP02,IAH2_2024
W10004_0160/PHP02,IAH2_2024
W10004_0168/PHP02,IAH2_2024
W10004_0189/PHP02,IAH2_2024
W10004_0236/PHP02,IAH2_2024
W10004_0258/PHP02,IAH2_2024
W10004_0311/PHP02,IAH2_2024
W10004_0346/PHP02,IAH2_2024
W10004_0389/PHP02,IAH2_2024
W10004_0403/PHP02,IAH2_2024
W10004_0409/PHP02,IAH2_2024
W10004_0476/PHP02,IAH2_2024
W10004_0601/PHP02,IAH2_2024
W10004_0658/PHP02,IAH2_2024
W10004_0691/PHP02,IAH2_2024
W10004_0714/PHP02,IAH2_2024
W10004_0715/PHP02,IAH2_2024
W10004_0771/PHP02,IAH2_2024
W10004_0858/PHP02,IAH2_2024
W10004_0859/PHP02,IAH2_2024
W10004_0866/PHP02,IAH2_2024
W10004_0969/PHP02,IAH2_2024
W10004_1014/PHP02,IAH2_2024
W10004_1018/PHP02,IAH2_2024
W10004_1032/PHP02,IAH2_2024
B14A/OH43,IAH4_2024
B37/H95,IAH4_2024
B73/MO17,IAH4_2024
B73/PHN82,IAH4_2024
B73/TX779,IAH4_2024
CG119/CG108,IAH4_2024
CG44/CGR01,IAH4_2024
LH132/PHP02,IAH4_2024
LH195/PHP02,IAH4_2024
LH195/PHZ51,IAH4_2024
LH244/PHK76,IAH4_2024
PHB47/PHN82,IAH4_2024
PHB47/PHZ51,IAH4_2024
PHG29/PHG47,IAH4_2024
PHG39/PHN82,IAH4_2024
PHJ40/PHAJ0,IAH4_2024
PHRE1/PHTD5,IAH4_2024
PHW52/PHM49,IAH4_2024
TX777/LH195,IAH4_2024
W10004_0018/PHP02,IAH4_2024
W10004_0031/PHP02,IAH4_2024
W10004_0034/PHP02,IAH4_2024
W10004_0055/PHP02,IAH4_2024
W10004_0062/PHP02,IAH4_2024
W10004_0133/PHP02,IAH4_2024
W10004_0138/PHP02,IAH4_2024
W10004_0160/PHP02,IAH4_2024
W10004_0168/PHP02,IAH4_2024
W10004_0189/PHP02,IAH4_2024
W10004_0236/PHP02,IAH4_2024
W10004_0238/PHP02,IAH4_2024
W10004_0270/PHP02,IAH4_2024
W10004_0311/PHP02,IAH4_2024
W10004_0346/PHP02,IAH4_2024
W10004_0389/PHP02,IAH4_2024
W10004_0403/PHP02,IAH4_2024
W10004_0409/PHP02,IAH4_2024
W10004_0412/PHP02,IAH4_2024
W10004_0476/PHP02,IAH4_2024
W10004_0601/PHP02,IAH4_2024
W10004_0608/PHP02,IAH4_2024
W10004_0637/PHP02,IAH4_2024
W10004_0688/PHP02,IAH4_2024
W10004_0714/PHP02,IAH4_2024
W10004_0715/PHP02,IAH4_2024
W10004_0747/PHP02,IAH4_2024
W10004_0801/PHP02,IAH4_2024
W10004_0858/PHP02,IAH4_2024
W10004_0859/PHP02,IAH4_2024
W10004_0866/PHP02,IAH4_2024
W10004_0969/PHP02,IAH4_2024
W10004_1032/PHP02,IAH4_2024
B14A/OH43,ILH1_2024
B37/H95,ILH1_2024
B73/MO17,ILH1_2024
B73/PHK76,ILH1_2024
B73/PHN82,ILH1_2024
B73/PHZ51,ILH1_2024
B73/TX779,ILH1_2024
CG119/CG108,ILH1_2024
CG44/CGR01,ILH1_2024
LH145/LH82,ILH1_2024
LH195/MO17,ILH1_2024
LH195/PHK76,ILH1_2024
LH195/PHN82,ILH1_2024
LH195/PHP02,ILH1_2024
LH195/PHZ51,ILH1_2024
