environment,t1_reconstruction_state,reason
DEH1_2024,SUPPORTED_T1_CONTEXT,
GAH1_2024,SUPPORTED_T1_CONTEXT,
GAH2_2024,SUPPORTED_T1_CONTEXT,
IAH2_2024,SUPPORTED_T1_CONTEXT,
IAH4_2024,SUPPORTED_T1_CONTEXT,
ILH1_2024,SUPPORTED_T1_CONTEXT,
INH1_2024,SUPPORTED_T1_CONTEXT,
MIH1_2024,SUPPORTED_T1_CONTEXT,
MOH1_2024,SUPPORTED_T1_CONTEXT,
NCH1_2024,SUPPORTED_T1_CONTEXT,
NEH1_2024,SUPPORTED_T1_CONTEXT,
NEH2_2024,SUPPORTED_T1_CONTEXT,
NYH2_2024,SUPPORTED_T1_CONTEXT,
NYH3_2024,SUPPORTED_T1_CONTEXT,
OHH1_2024,SUPPORTED_T1_CONTEXT,
ONH3_2024,UNSUPPORTED_T1_CONTEXT,SSURGO unavailable
TXH1_2024,SUPPORTED_T1_CONTEXT,
WIH1_2024,SUPPORTED_T1_CONTEXT,
WIH2_2024,SUPPORTED_T1_CONTEXT,
WIH3_2024,SUPPORTED_T1_CONTEXT,
