environment,n,rmse,mae,control_coverage_90,adaptive_coverage_90,control_mean_interval_score_90,adaptive_mean_interval_score_90
DEH1_2024,51,3.0887216690633466,2.6553859710296073,0.8235294117647058,0.9411764705882353,11.340356261321762,11.240838866540395
GAH1_2024,15,3.764976830210702,3.374341917430667,0.7333333333333333,0.8,15.904773146964668,13.744999122338667
GAH2_2024,15,2.1340526391860006,1.4315754454133336,0.9333333333333333,0.9333333333333333,10.110051426075334,10.636399392028
IAH2_2024,49,3.264153226025965,2.7323031584836737,0.8163265306122449,0.8775510204081632,13.189709578934083,12.40432455021449
IAH4_2024,52,2.410792986792455,2.0756018781480767,0.9615384615384616,1.0,9.091421716380385,10.282458720973077
ILH1_2024,61,2.3939189240244727,1.8320580168770493,0.9180327868852459,0.9508196721311475,11.19794374873672,11.655880822504919
INH1_2024,41,1.8775661190666044,1.5107784955282928,1.0,1.0,8.703414823145609,10.282458720973658
MIH1_2024,54,2.2465432683628546,1.7469272214027778,0.9444444444444444,0.9814814814814815,9.767412338668702,10.889760010456294
MOH1_2024,60,2.32810596687105,1.9817814273541667,0.9833333333333333,1.0,8.93295801618283,10.282458720971333
NCH1_2024,59,2.9463008583110426,2.57460902261983,0.8983050847457628,0.9491525423728814,10.351482425950676,10.692348801839325
NEH1_2024,15,1.627754340216356,1.2901941517386666,1.0,1.0,8.703414823155333,10.282458720976
NEH2_2024,15,3.3291760757822746,3.2446088706940004,0.9333333333333333,1.0,9.549324573811333,10.282458720971999
NYH2_2024,52,3.452484866071327,2.8154255051203845,0.8076923076923077,0.8461538461538461,15.333895964532303,14.280828525043846
NYH3_2024,50,2.0030319791408924,1.7054835462996,1.0,1.0,8.703414823144001,10.2824587209718
OHH1_2024,15,3.6399593213862924,3.2769002687340003,0.7333333333333333,0.8666666666666667,12.429185396615999,10.523176151236669
TXH1_2024,14,2.781307525190804,2.3706102748957143,0.7857142857142857,1.0,10.085354836119285,10.282458720962854
WIH1_2024,47,2.756128298228944,2.2217784261510642,0.8936170212765957,0.9787234042553191,10.94765905765936,11.538960487265532
WIH2_2024,56,2.105391886194705,1.6980626883257142,0.9642857142857143,0.9821428571428571,9.288885205906965,10.487952963184105
WIH3_2024,58,1.9107792424188896,1.4564704279862069,0.9655172413793104,0.9827586206896551,9.181926398444483,10.434063194417416
