environment_a,environment_b,n_common_genotypes,n_common_unordered_genotype_pairs,mean_prediction_offset_a_minus_b,environment_offset_sd_across_common_genotypes,max_abs_pairwise_contrast_deviation,max_abs_centered_prediction_deviation,local_max_float32_ulp,max_pairwise_deviation_in_local_float32_ulp,float32_four_term_ulp_budget,float32_implementation_bound,invariant_within_csv_only_precision,consistent_with_float32_implementation,uses_target_outcomes
DEH1_2024,GAH1_2024,15,105,1.1129512151066665,3.9759115576125467e-07,1.4305100011213767e-06,8.900966648184294e-07,9.5367431640625e-07,1.4999984549358487,4.0,3.824697265625e-06,False,True,False
DEH1_2024,GAH2_2024,15,105,0.16158466338933325,3.948586187715674e-07,9.53680000748136e-07,7.629393330432777e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
DEH1_2024,IAH2_2024,37,666,-0.1437899099772974,4.6155524054690435e-07,9.53800000758065e-07,6.18677294283998e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
DEH1_2024,IAH4_2024,40,780,-0.17328436373749995,3.6697605935696617e-07,9.53800000758065e-07,7.868374982678006e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
DEH1_2024,ILH1_2024,37,666,-0.14313963297702717,3.980095166208974e-07,9.537000025261477e-07,7.47477026052934e-07,9.5367431640625e-07,1.0000269338488579,4.0,3.824697265625e-06,False,True,False
DEH1_2024,INH1_2024,42,861,-1.611546561827857,3.619233841889513e-07,1.9074000014995818e-06,9.991278560050887e-07,9.5367431640625e-07,2.0000538639724255,4.0,3.824697265625e-06,False,True,False
DEH1_2024,MIH1_2024,41,820,-0.4097147453109756,2.0797851899419644e-07,9.53800000758065e-07,9.071890243461667e-07,9.5367431640625e-07,1.0001317895948887,4.0,3.824697265625e-06,False,True,False
DEH1_2024,MOH1_2024,32,496,1.4720707833775,3.30307070986909e-07,1.4305400002356805e-06,8.643024997923021e-07,9.5367431640625e-07,1.500029911287129,4.0,3.824697265625e-06,False,True,False
DEH1_2024,NCH1_2024,46,1035,0.08485066372391302,4.654125205764479e-07,9.538000025344218e-07,6.012760884743784e-07,9.5367431640625e-07,1.0001317914575338,4.0,3.824697265625e-06,False,True,False
DEH1_2024,NEH1_2024,15,105,0.17759825388133318,4.3653425775974196e-07,9.537499998657495e-07,6.993686660905496e-07,9.5367431640625e-07,1.0000793598592281,4.0,3.824697265625e-06,False,True,False
