covariate,nonmissing,missing_fraction,n_unique,is_nonconstant_numeric
HI30_GerEme,136,0.0,6,True
HI30_EmeEnJ,136,0.0,18,True
HI30_EnJFlo,136,0.0,3,True
HI30_FloFla,136,0.0,31,True
HI30_FlaFlw,136,0.0,5,True
HI30_FlwStG,136,0.0,10,True
HI30_StGEnG,136,0.0,32,True
HI30_EnGMat,136,0.0,4,True
HI30_MatHar,136,0.0,3,True
CumHI30_GerEme,136,0.0,6,True
CumHI30_EmeEnJ,136,0.0,19,True
CumHI30_EnJFlo,136,0.0,21,True
CumHI30_FloFla,136,0.0,40,True
CumHI30_FlaFlw,136,0.0,40,True
CumHI30_FlwStG,136,0.0,45,True
CumHI30_StGEnG,136,0.0,58,True
CumHI30_EnGMat,136,0.0,59,True
CumHI30_MatHar,136,0.0,57,True
TT_GerEme,136,0.0,122,True
TT_EmeEnJ,136,0.0,130,True
TT_EnJFlo,136,0.0,129,True
TT_FloFla,136,0.0,131,True
TT_FlaFlw,136,0.0,130,True
TT_FlwStG,136,0.0,130,True
TT_StGEnG,136,0.0,132,True
TT_EnGMat,136,0.0,131,True
TT_MatHar,136,0.0,131,True
biomass_GerEme,136,0.0,134,True
biomass_EmeEnJ,136,0.0,136,True
biomass_EnJFlo,136,0.0,135,True
biomass_FloFla,136,0.0,136,True
biomass_FlaFlw,136,0.0,136,True
biomass_FlwStG,136,0.0,136,True
biomass_StGEnG,136,0.0,136,True
biomass_EnGMat,136,0.0,136,True
biomass_MatHar,136,0.0,136,True
yield_FlaFlw,136,0.0,136,True
yield_FlwStG,136,0.0,136,True
yield_StGEnG,136,0.0,136,True
yield_EnGMat,136,0.0,136,True
yield_MatHar,136,0.0,136,True
Eo_GerEme,136,0.0,122,True
Eo_EmeEnJ,136,0.0,136,True
Eo_EnJFlo,136,0.0,135,True
Eo_FloFla,136,0.0,136,True
Eo_FlaFlw,136,0.0,136,True
Eo_FlwStG,136,0.0,136,True
Eo_StGEnG,136,0.0,136,True
Eo_EnGMat,136,0.0,136,True
Eo_MatHar,136,0.0,136,True
Eos_GerEme,136,0.0,128,True
Eos_EmeEnJ,136,0.0,135,True
Eos_EnJFlo,136,0.0,135,True
Eos_FloFla,136,0.0,136,True
Eos_FlaFlw,136,0.0,136,True
Eos_FlwStG,136,0.0,136,True
Eos_StGEnG,136,0.0,136,True
Eos_EnGMat,136,0.0,136,True
Eos_MatHar,136,0.0,136,True
Es_GerEme,136,0.0,128,True
Es_EmeEnJ,136,0.0,136,True
Es_EnJFlo,136,0.0,136,True
Es_FloFla,136,0.0,136,True
Es_FlaFlw,136,0.0,136,True
Es_FlwStG,136,0.0,136,True
Es_StGEnG,136,0.0,136,True
Es_EnGMat,136,0.0,136,True
Es_MatHar,136,0.0,136,True
ESW_GerEme,136,0.0,129,True
ESW_EmeEnJ,136,0.0,136,True
ESW_EnJFlo,136,0.0,136,True
