environment,environment_fold
2014-IAH1,4
2014-ILH1,2
2014-INH1,3
2014-MNH1,0
2014-MOH2,1
2014-NEH1,0
2014-NEH2,4
2014-NYH2,4
2014-WIH1,0
2015-ILH1,1
2015-INH1,3
2015-KSH1,2
2015-MNH1,1
2015-MOH1,0
2015-MOH2,3
2015-NEH2,2
2015-NEH3,3
2015-NYH2,1
2015-NYH3,3
2015-OHH1,0
2015-SDH1,0
2015-TXH1,3
2015-TXH2,4
2016-DEH1,3
2016-GAH2,4
2016-IAH2,0
2016-IAH3,0
2016-IAH4,3
2016-ILH1,0
2016-INH1,3
2016-MIH1,2
2016-MNH1,2
2016-NEH1,1
2016-NEH4,0
2016-NYH1,1
2016-NYH2,4
2016-NYH2L,2
2016-TXH1,0
2016-TXH2,3
2016-WIH1,2
2016-WIH2,0
2017-COH1,2
2017-DEH1,0
2017-GAH1,4
2017-GAH2,1
2017-IAH4,2
2017-ILH1,0
2017-INH1,1
2017-MIH1,2
2017-MNH1,4
2017-NYH1,0
2017-NYH2,0
2017-NYH3,4
2017-TXH1-Dry,2
2017-TXH1-Early,2
2017-TXH1-Late,4
2017-TXH2,3
2017-WIH1,1
2017-WIH2,4
2018-ARH2,1
2018-DEH1,2
2018-IAH2,4
2018-IAH4,4
2018-ILH1,0
2018-INH1,0
2018-MIH1,4
2018-MNH1,2
2018-MOH1,2
2018-NCH1,1
2018-NYH1,3
2018-NYH2,0
2018-NYH3,1
2018-OHH1,4
2018-SCH1,1
2018-TXH1-Dry,0
2018-TXH1-Early,3
2018-TXH1-Late,4
2018-TXH2,2
2018-WIH1,4
2018-WIH2,4
2019-DEH1,1
2019-GAH2,1
2019-IAH4,0
2019-ILH1,1
2019-INH1,1
2019-MIH1,3
2019-MNH1,4
2019-MOH1,2
2019-NEH1,3
2019-NEH2,0
2019-NEH2L,4
2019-NYH1,4
2019-NYH2,1
2019-NYH3,1
2019-OHH1,3
2019-SCH1,1
2019-TXH1,3
2019-TXH2,0
2019-TXH3,4
2019-WIH1,2
2019-WIH2,4
2020-DEH1,3
2020-INH1,3
2020-MIH1,4
2020-MNH1,3
2020-NEH1,1
2020-NEH2,1
2020-NYH1,3
2020-NYH2,2
2020-NYH3,1
2020-OHH1,2
2020-SCH1,3
2020-TXH1,0
2020-TXH2,3
2020-TXH3,4
2020-WIH1,2
2020-WIH2,1
2021-DEH1,1
2021-GAH2,0
2021-IAH4,3
2021-ILH1,3
2021-INH1,4
2021-MIH1,1
2021-MNH1,3
2021-NEH1,2
2021-NEH2,2
2021-NYH1,2
2021-NYH2,0
2021-NYH3,2
2021-SCH1,0
2021-SCH1L,2
2021-TXH1,3
2021-TXH2,2
2021-TXH3,0
2021-WIH1,1
2021-WIH2,4
