genotype,genotype_fold
2369/DK3IIH6,0
2369/PHN82,4
2369/PHZ51,3
2FACC/DK3IIH6,2
4N506/DK3IIH6,2
6F629/DK3IIH6,0
740/PB80,4
740/PHB47,0
A632/DK3IIH6,4
A634/DK3IIH6,2
A634/LH82,4
A634/PHZ51,2
A635/DK3IIH6,0
A635/LH82,2
A635/PHZ51,0
A641/LH82,1
A641/PHZ51,1
A672/LH82,0
A672/PHZ51,3
A679/DK3IIH6,2
A679/LH82,0
A679/PHZ51,2
A680/DK3IIH6,3
A680/LH82,0
A680/PHZ51,1
AH83/DK3IIH6,1
B103/LH82,1
B103/PHB47,0
B103/PHZ51,2
B104/DK3IIH6,2
B104/LH82,2
B104/PHZ51,3
B105/DK3IIH6,0
B105/LH82,1
B105/PHZ51,1
B106/LH82,3
B106/PHZ51,0
B109/DK3IIH6,1
B109/LH82,0
B109/PHZ51,1
B110/DK3IIH6,0
B111/DK3IIH6,2
B111/LH82,1
B111/PHZ51,2
B118/PHB47,0
B119/DK3IIH6,2
B119/LH82,1
B119/PHZ51,1
B14/DK3IIH6,3
B14A/C103,1
B14A/DK3IIH6,3
B14A/H95,0
B14A/LH82,3
B14A/MO17,0
B14A/OH43,2
B2/DK3IIH6,4
B37/C103,4
B37/H95,2
B37/MO17,2
B37/OH43,1
B37/PHZ51,3
B68/LH82,4
B68/PHZ51,2
B73/DK3IIH6,4
B73/LH162,1
B73/MO17,3
B73/OH7B,3
B73/PHG35,2
B73/PHK76,2
B73/PHM49,1
B73/PHN82,1
B73/PHP02,0
B73/PHZ51,2
B73/TX205,1
B73/TX6252,1
B73/TX775,0
B73/TX777,2
B73/TX779,1
B73_NC230-040-1-1-1-1/LH185,0
B73_NC230-040-1-1-1-1/LH198,4
B73_NC230-041-1-1-1-1/LH185,1
B73_NC230-041-1-1-1-1/LH195,0
B73_NC230-041-1-1-1-1/LH198,3
B73_NC230-041-1-1-1-1/PB80,4
B73_NC230-059-1-1-1-1/LH185,3
B73_NC230-059-1-1-1-1/LH198,2
B73_NC230-126-1-1-1-1/LH195,1
B73_NC230-127-1-1-1-1/LH195,0
B73_NC230-127-1-1-1-1/PB80,3
B73_NC230-128-1-1-1-1/LH195,4
B73_NC230-128-1-1-1-1/PB80,0
B73_NC230-129-1-1-1-1/LH185,4
B73_NC230-129-1-1-1-1/LH195,0
B73_NC230-129-1-1-1-1/LH198,4
B73_PHG39-1/LH82,4
B73_PHG39-1/PHZ51,2
B73_PHG39-10/LH82,2
B73_PHG39-10/PHZ51,2
B73_PHG39-11/LH82,4
B73_PHG39-11/PHZ51,0
B73_PHG39-12/LH82,4
B73_PHG39-12/PHZ51,4
B73_PHG39-13/LH82,1
B73_PHG39-13/PHZ51,4
B73_PHG39-14/PHZ51,0
B73_PHG39-15/LH82,1
B73_PHG39-15/PHZ51,3
B73_PHG39-16/LH82,0
