scenario,environment_fold,genotype_fold,admission
efold_0__gfold_0,0,0,strict_GxE_transfer
efold_0__gfold_1,0,1,strict_GxE_transfer
efold_0__gfold_2,0,2,strict_GxE_transfer
efold_0__gfold_3,0,3,strict_GxE_transfer
efold_0__gfold_4,0,4,strict_GxE_transfer
efold_1__gfold_0,1,0,strict_GxE_transfer
efold_1__gfold_1,1,1,strict_GxE_transfer
efold_1__gfold_2,1,2,strict_GxE_transfer
efold_1__gfold_3,1,3,strict_GxE_transfer
efold_1__gfold_4,1,4,strict_GxE_transfer
efold_2__gfold_0,2,0,strict_GxE_transfer
efold_2__gfold_1,2,1,strict_GxE_transfer
efold_2__gfold_2,2,2,strict_GxE_transfer
efold_2__gfold_3,2,3,strict_GxE_transfer
efold_2__gfold_4,2,4,strict_GxE_transfer
efold_3__gfold_0,3,0,strict_GxE_transfer
efold_3__gfold_1,3,1,strict_GxE_transfer
efold_3__gfold_2,3,2,strict_GxE_transfer
efold_3__gfold_3,3,3,strict_GxE_transfer
efold_3__gfold_4,3,4,strict_GxE_transfer
efold_4__gfold_0,4,0,strict_GxE_transfer
efold_4__gfold_1,4,1,strict_GxE_transfer
efold_4__gfold_2,4,2,strict_GxE_transfer
efold_4__gfold_3,4,3,strict_GxE_transfer
efold_4__gfold_4,4,4,strict_GxE_transfer
