regime,scenario,G_kind,G_n_train_entities,G_input_markers,G_sketch_dim,G_feature_dim,G_pca_explained_variance,E_kind,E_n_train_entities,E_input_covariates,E_feature_dim,E_rbf_gamma,E_retained_kernel_eigenvalue_fraction,n_train_cells,n_test_cells
CV-E-continuous,efold_0,countsketch+pca_linear_genomic_kernel,4324,98026,192,20,0.6059492230415344,rbf_environment_kernel_nystrom,108,202,16,0.0027529863766503483,0.7269990114750077,42820,9347
CV-E-continuous,efold_1,countsketch+pca_linear_genomic_kernel,4364,98026,192,20,0.6072211861610413,rbf_environment_kernel_nystrom,109,202,16,0.0027567182600064526,0.7310239813717776,40503,11664
CV-E-continuous,efold_2,countsketch+pca_linear_genomic_kernel,4359,98026,192,20,0.6071377992630005,rbf_environment_kernel_nystrom,109,202,16,0.0027474350987266908,0.7284490911250588,43028,9139
CV-E-continuous,efold_3,countsketch+pca_linear_genomic_kernel,4334,98026,192,20,0.6071480512619019,rbf_environment_kernel_nystrom,109,202,16,0.0027625239439558664,0.7264585622289674,41658,10509
CV-E-continuous,efold_4,countsketch+pca_linear_genomic_kernel,4325,98026,192,20,0.6075432300567627,rbf_environment_kernel_nystrom,109,202,16,0.002782781528915239,0.7338419188804168,40659,11508
CV-GE-continuous,efold_0__gfold_0,countsketch+pca_linear_genomic_kernel,3497,98026,192,20,0.6088577508926392,rbf_environment_kernel_nystrom,108,202,16,0.0027529863766503483,0.7269990114750077,34371,1801
CV-GE-continuous,efold_0__gfold_1,countsketch+pca_linear_genomic_kernel,3497,98026,192,20,0.6076259613037109,rbf_environment_kernel_nystrom,108,202,16,0.0027529863766503483,0.7269990114750077,33925,1979
CV-GE-continuous,efold_0__gfold_2,countsketch+pca_linear_genomic_kernel,3498,98026,192,20,0.6075519323348999,rbf_environment_kernel_nystrom,108,202,16,0.0027529863766503483,0.7269990114750077,34676,1911
CV-GE-continuous,efold_0__gfold_3,countsketch+pca_linear_genomic_kernel,3498,98026,192,20,0.6071891784667969,rbf_environment_kernel_nystrom,108,202,16,0.0027529863766503483,0.7269990114750077,34134,1811
CV-GE-continuous,efold_0__gfold_4,countsketch+pca_linear_genomic_kernel,3498,98026,192,20,0.6072788238525391,rbf_environment_kernel_nystrom,108,202,16,0.0027529863766503483,0.7269990114750077,34174,1845
CV-GE-continuous,efold_1__gfold_0,countsketch+pca_linear_genomic_kernel,3497,98026,192,20,0.6088577508926392,rbf_environment_kernel_nystrom,109,202,16,0.0027567182600064526,0.7310239813717776,32513,2260
CV-GE-continuous,efold_1__gfold_1,countsketch+pca_linear_genomic_kernel,3497,98026,192,20,0.6076259613037109,rbf_environment_kernel_nystrom,109,202,16,0.0027567182600064526,0.7310239813717776,32097,2468
CV-GE-continuous,efold_1__gfold_2,countsketch+pca_linear_genomic_kernel,3498,98026,192,20,0.6075519323348999,rbf_environment_kernel_nystrom,109,202,16,0.0027567182600064526,0.7310239813717776,32641,2193
CV-GE-continuous,efold_1__gfold_3,countsketch+pca_linear_genomic_kernel,3498,98026,192,20,0.6071891784667969,rbf_environment_kernel_nystrom,109,202,16,0.0027567182600064526,0.7310239813717776,32376,2370
CV-GE-continuous,efold_1__gfold_4,countsketch+pca_linear_genomic_kernel,3498,98026,192,20,0.6072788238525391,rbf_environment_kernel_nystrom,109,202,16,0.0027567182600064526,0.7310239813717776,32385,2373
CV-GE-continuous,efold_2__gfold_0,countsketch+pca_linear_genomic_kernel,3497,98026,192,20,0.6088577508926392,rbf_environment_kernel_nystrom,109,202,16,0.0027474350987266908,0.7284490911250588,34599,1821
