regime,scenario,model,n,rmse,mae,r2,correlation
CV-E-continuous,efold_0,E,9347,2.890180838018599,2.270015430073993,0.04991162097749979,0.3347168655035457
CV-E-continuous,efold_0,G,9347,2.753505304475476,2.2374466376515283,0.13764555486511298,0.3962364882520789
CV-E-continuous,efold_0,G+E,9347,2.70769492343641,2.105910586454132,0.16610103875415083,0.43326055069375696
CV-E-continuous,efold_0,G+E+GxE,9347,2.586908936648264,2.0322585699786426,0.23883948083883033,0.5155665818068407
CV-E-continuous,efold_0,Mean,9347,2.99547450960525,2.407782682089833,-0.020575710338325948,3.076494853095316e-17
CV-E-continuous,efold_1,E,11664,2.98277257288184,2.5027785342755946,0.08148417463420865,0.3781270552125683
CV-E-continuous,efold_1,G,11664,3.173726661810365,2.6126080403222227,-0.03988521097628461,0.23365780096036196
CV-E-continuous,efold_1,G+E,11664,2.8977530916131093,2.406390052891551,0.1330997724601758,0.41708585839391366
CV-E-continuous,efold_1,G+E+GxE,11664,3.0972394898248226,2.501156924408474,0.009633510328272865,0.3289188090935479
CV-E-continuous,efold_1,Mean,11664,3.2808936491181053,2.7248348462592578,-0.11129834344932132,6.889830486739302e-17
CV-E-continuous,efold_2,E,9139,2.804214569065657,2.2176362649964436,-0.0017383890906046418,0.24322729547033356
CV-E-continuous,efold_2,G,9139,2.786130684586263,2.255279005834809,0.011140019182627192,0.23670377447008512
CV-E-continuous,efold_2,G+E,9139,2.9378075957331555,2.3662099908766883,-0.09945772087640226,0.22228018259306015
CV-E-continuous,efold_2,G+E+GxE,9139,3.013172214708669,2.3838986404484213,-0.15659082484417186,0.21450628298094415
CV-E-continuous,efold_2,Mean,9139,2.8456215431007466,2.2342136266152672,-0.03154009872086849,
CV-E-continuous,efold_3,E,10509,2.4990583643089996,2.0058780714350153,-0.08384902563644303,0.16752965584321702
CV-E-continuous,efold_3,G,10509,2.173072142345614,1.6873999407648403,0.18047108271662204,0.4590289420693201
CV-E-continuous,efold_3,G+E,10509,2.3052866146005324,1.8414095788559848,0.07771350198699067,0.356275457514898
CV-E-continuous,efold_3,G+E+GxE,10509,2.2698259674879635,1.8155108900452583,0.10586907923159061,0.415395588578515
CV-E-continuous,efold_3,Mean,10509,2.4395674681724757,1.8890531994269288,-0.03286047957553806,
CV-E-continuous,efold_4,E,11508,2.266428292857589,1.8096733249559374,0.10261642322279119,0.38414223208008774
CV-E-continuous,efold_4,G,11508,2.428971902486139,1.959934927605722,-0.03071627401674415,0.15011944044366982
CV-E-continuous,efold_4,G+E,11508,2.376855766841823,1.9144351577081768,0.013039417349199778,0.33901770859193125
CV-E-continuous,efold_4,G+E+GxE,11508,2.348460750222813,1.855312492908204,0.036479934153039295,0.5096072166001681
CV-E-continuous,efold_4,Mean,11508,2.3966442102044954,1.9427249158662323,-0.003462815397884178,-2.9110289584555255e-16
CV-GE-continuous,efold_0__gfold_0,E,1801,2.825567773119056,2.2059194882313657,0.06255135984467197,0.34095261852597913
CV-GE-continuous,efold_0__gfold_0,G,1801,2.715925954336809,2.178573819153941,0.13389234518531967,0.38755271762876675
CV-GE-continuous,efold_0__gfold_0,G+E,1801,2.658976184887023,2.046015032853518,0.16983404047479522,0.4336728562491596
CV-GE-continuous,efold_0__gfold_0,G+E+GxE,1801,2.5452547652572823,1.9869065371491865,0.23932604830602922,0.5162706013141797
CV-GE-continuous,efold_0__gfold_0,Mean,1801,2.9419275545554555,2.3392067461411377,-0.016248632340189806,
CV-GE-continuous,efold_0__gfold_1,E,1979,2.865468278311622,2.2321975655944395,0.07394825601475363,0.34837670441187324
CV-GE-continuous,efold_0__gfold_1,G,1979,2.7703939580508443,2.261676361663394,0.13438034981733327,0.3902490061371409
CV-GE-continuous,efold_0__gfold_1,G+E,1979,2.697416876457675,2.097501659442292,0.17938361415586113,0.4413630293094072
CV-GE-continuous,efold_0__gfold_1,G+E+GxE,1979,2.572681995400434,2.0169684906516,0.25352329705502885,0.5249465122437574
CV-GE-continuous,efold_0__gfold_1,Mean,1979,3.0011463398169216,2.420568637854932,-0.015823812849051322,
CV-GE-continuous,efold_0__gfold_2,E,1911,2.9362744245258185,2.317503060007799,0.008898233001742306,0.32901184190958416
CV-GE-continuous,efold_0__gfold_2,G,1911,2.775927937411124,2.264340591998837,0.11418844496948066,0.34744358780621315
CV-GE-continuous,efold_0__gfold_2,G+E,1911,2.7554289578658824,2.149750494226297,0.12722278027135303,0.3972143493766101
CV-GE-continuous,efold_0__gfold_2,G+E+GxE,1911,2.6502165247885157,2.099717939365838,0.1926019784047608,0.4738236444041089
CV-GE-continuous,efold_0__gfold_2,Mean,1911,3.0061981619770703,2.41811401466693,-0.038867537329793755,5.042570641017778e-17
CV-GE-continuous,efold_0__gfold_3,E,1811,2.8945053395428832,2.281920931719843,0.05570781933955127,0.3376005105353034
CV-GE-continuous,efold_0__gfold_3,G,1811,2.765310222178099,2.2541489443162277,0.13812278140781253,0.40422867721384237
CV-GE-continuous,efold_0__gfold_3,G+E,1811,2.7382895296352965,2.14428559233898,0.1548838229157561,0.42621058728515493
