regime,model,n,rmse,mae,r2,correlation
CV-E-continuous,G+E,52167,2.649516968614528,2.123173001979012,0.09576299228267404,0.3497498717676428
CV-E-continuous,G+E+GxE,52167,2.6812384609303854,2.1160044665559106,0.0739813192228469,0.3859342648855092
CV-E-continuous,G,52167,2.6876165104194665,2.152427509022101,0.06957050847462942,0.27222025524018517
CV-E-continuous,E,52167,2.693473680853395,2.1581213056299604,0.06551068640984414,0.2939543300234905
CV-E-continuous,Mean,52167,2.8105339985463718,2.2411761288643164,-0.017481574600453742,-0.16939680077851524
CV-GE-continuous,G+E,52167,2.6527124028046836,2.1261268262879462,0.0935805776957439,0.34744673666025344
CV-GE-continuous,G+E+GxE,52167,2.6824768953776212,2.116691176420525,0.0731256860518289,0.3845479761077467
CV-GE-continuous,G,52167,2.691670516958981,2.1558498766762626,0.06676146778721859,0.26814450038161053
CV-GE-continuous,E,52167,2.6938897564506994,2.158559277042562,0.06522195276932141,0.29359356597109837
CV-GE-continuous,Mean,52167,2.810944199086866,2.2414210339273546,-0.017778601393209525,-0.17045935068437426
