regime,environment,environment_fold,model,n,selected_config,rmse,mae,r2,correlation,novelty_nearest_z,novelty_mean5_z,max_training_kernel_similarity
CV-E-continuous-B6R,2014-IAH1,4,B6-fixed-G+E,754,baseline,2.52376691885717,2.1680688834346933,-1.569611060873712,0.09837811299343445,,,
CV-E-continuous-B6R,2014-IAH1,4,Selected-G,754,environment_rank_32,2.0242483735914787,1.6713407913322145,-0.6530900210617276,0.020888221276456388,9.54845507410792,9.950904398834734,0.7759132746778606
CV-E-continuous-B6R,2014-IAH1,4,Selected-G+E,754,environment_rank_32,1.8485619362174919,1.505808833030909,-0.37859569728577336,0.13016524741094312,9.54845507410792,9.950904398834734,0.7759132746778606
CV-E-continuous-B6R,2014-IAH1,4,Selected-G+E+GxE,754,environment_rank_32,1.6297598016611674,1.320216283019282,-0.07155905243782046,0.1930777234038149,9.54845507410792,9.950904398834734,0.7759132746778606
CV-E-continuous-B6R,2014-ILH1,2,B6-fixed-G+E,238,baseline,2.304288460198627,1.9634133705646528,-0.596360076157191,0.23618335696185355,,,
CV-E-continuous-B6R,2014-ILH1,2,Selected-G,238,environment_rank_32,2.780535941269125,2.427398889981755,-1.3244178096683532,0.2308336373506072,9.068305445725422,10.085171521478596,0.7977715285939058
CV-E-continuous-B6R,2014-ILH1,2,Selected-G+E,238,environment_rank_32,2.073335551968882,1.7202309579198274,-0.2923982385845487,0.2238469280075705,9.068305445725422,10.085171521478596,0.7977715285939058
CV-E-continuous-B6R,2014-ILH1,2,Selected-G+E+GxE,238,environment_rank_32,2.023093575712734,1.592085162481261,-0.23052122747249726,-0.0629587806681582,9.068305445725422,10.085171521478596,0.7977715285939058
CV-E-continuous-B6R,2014-INH1,3,B6-fixed-G+E,240,baseline,1.2620499926648738,0.9565467375716061,0.0925144291716633,0.3181017607062814,,,
CV-E-continuous-B6R,2014-INH1,3,Selected-G,240,environment_narrower,1.871024146794423,1.5857303353602483,-0.9945521498150867,0.19118552994380364,18.069546944644852,19.929128958313537,0.16464308877404005
CV-E-continuous-B6R,2014-INH1,3,Selected-G+E,240,environment_narrower,1.8361243807816396,1.5633406027807468,-0.9208382967156419,0.2917775097451727,18.069546944644852,19.929128958313537,0.16464308877404005
CV-E-continuous-B6R,2014-INH1,3,Selected-G+E+GxE,240,environment_narrower,1.7182123424358036,1.4645532822700544,-0.6820553392411945,0.3602734341162634,18.069546944644852,19.929128958313537,0.16464308877404005
CV-E-continuous-B6R,2014-MNH1,0,B6-fixed-G+E,236,baseline,2.7209245950375096,2.3056816050196005,-1.6918789180584612,0.20369520428043153,,,
CV-E-continuous-B6R,2014-MNH1,0,Selected-G,236,environment_narrower,2.6587332513863973,2.2471988775512317,-1.5702303214024411,0.198517494280448,10.201753070467038,11.417861958567986,0.5638097933021295
CV-E-continuous-B6R,2014-MNH1,0,Selected-G+E,236,environment_narrower,3.1846277889303622,2.785176981354122,-2.6875665716295285,0.12321943245411315,10.201753070467038,11.417861958567986,0.5638097933021295
CV-E-continuous-B6R,2014-MNH1,0,Selected-G+E+GxE,236,environment_narrower,2.789902711613022,2.297045362115749,-1.830092474502203,-0.2871095726578913,10.201753070467038,11.417861958567986,0.5638097933021295
CV-E-continuous-B6R,2014-MOH2,1,B6-fixed-G+E,247,baseline,1.9324911041900343,1.502677162263502,-0.05713695232562288,0.0033735228703375693,,,
CV-E-continuous-B6R,2014-MOH2,1,Selected-G,247,environment_narrower,2.0753342095405363,1.6992613436928792,-0.21919265342477057,-0.0730231363948261,10.836512564687824,11.307086517670763,0.5233824209505584
CV-E-continuous-B6R,2014-MOH2,1,Selected-G+E,247,environment_narrower,1.9187526344867885,1.491695978960472,-0.04215958046451451,0.02151348165106533,10.836512564687824,11.307086517670763,0.5233824209505584
CV-E-continuous-B6R,2014-MOH2,1,Selected-G+E+GxE,247,environment_narrower,2.198133164031344,1.7577750794994103,-0.36774219261545515,-0.19588771666240934,10.836512564687824,11.307086517670763,0.5233824209505584
CV-E-continuous-B6R,2014-NEH1,0,B6-fixed-G+E,242,baseline,3.25878325250828,2.777897383318594,-2.06469935699121,0.09011459623637234,,,
CV-E-continuous-B6R,2014-NEH1,0,Selected-G,242,environment_narrower,3.643002115117901,3.1825258893046247,-2.8299735309449066,0.09042100116469103,12.169241643775214,12.570901734914107,0.4424702981142611
CV-E-continuous-B6R,2014-NEH1,0,Selected-G+E,242,environment_narrower,3.1981989959933097,2.7199522730552634,-1.951806542387021,0.10957922764635267,12.169241643775214,12.570901734914107,0.4424702981142611
CV-E-continuous-B6R,2014-NEH1,0,Selected-G+E+GxE,242,environment_narrower,3.0657531526596262,2.576218446790108,-1.7123847431416679,0.078442845832823,12.169241643775214,12.570901734914107,0.4424702981142611
CV-E-continuous-B6R,2014-NEH2,4,B6-fixed-G+E,240,baseline,2.798085469705409,2.3468789273144552,-1.3840569880070297,-0.015787227775186537,,,
CV-E-continuous-B6R,2014-NEH2,4,Selected-G,240,environment_rank_32,4.151513711207036,3.712198979848107,-4.248166844506268,-0.07814303573555152,11.298763341844703,12.238755135528402,0.7009942439462552
CV-E-continuous-B6R,2014-NEH2,4,Selected-G+E,240,environment_rank_32,2.472481240643724,2.0124326289503522,-0.8614899265932146,-0.0027257645132072487,11.298763341844703,12.238755135528402,0.7009942439462552
CV-E-continuous-B6R,2014-NEH2,4,Selected-G+E+GxE,240,environment_rank_32,2.3222935967645513,1.8752246444154173,-0.6422108964126927,-0.07287967729286968,11.298763341844703,12.238755135528402,0.7009942439462552
CV-E-continuous-B6R,2014-NYH2,4,B6-fixed-G+E,218,baseline,1.9457286561537712,1.53629249252718,-0.7708481977497468,0.07661135706848644,,,
CV-E-continuous-B6R,2014-NYH2,4,Selected-G,218,environment_rank_32,1.5990976168247444,1.2985108165547208,-0.1960979213731764,-0.010464472533436487,8.73145429516278,9.327432343324288,0.8088397087152701
CV-E-continuous-B6R,2014-NYH2,4,Selected-G+E,218,environment_rank_32,2.2849851943796615,1.8314213504076176,-1.4422131444008919,0.07545203022751769,8.73145429516278,9.327432343324288,0.8088397087152701
