outer_environment_fold,config,g_rank,e_rank,gamma_multiplier,alpha,inner_rmse,inner_mae,inner_fold_rmse_sd,selected
0,baseline,20,16,1.0,10.0,2.8781441863949473,2.3109906695689197,0.2725461030975303,False
0,environment_broader,20,16,0.5,10.0,3.2592826839179843,2.5047792769317088,0.47189950357565036,False
0,environment_narrower,20,16,2.0,10.0,2.57602098118182,2.071525923828337,0.3575820648251778,True
0,environment_rank_8,20,8,1.0,10.0,2.6672004579372004,2.1632149500011817,0.23158521117198178,False
0,environment_rank_32,20,32,1.0,10.0,2.7817200690989963,2.252996646513512,0.39683714144594034,False
0,genomic_rank_10,10,16,1.0,10.0,2.8851318147854643,2.3153392381300915,0.26643560277542255,False
0,genomic_rank_40,40,16,1.0,10.0,2.8685941644939414,2.3039062737682388,0.2688091151916511,False
0,ridge_3,20,16,1.0,3.0,2.8797298690399007,2.3119732160777726,0.2731535970569813,False
0,ridge_30,20,16,1.0,30.0,2.8736825950674687,2.3082198516100116,0.2708711260083394,False
1,baseline,20,16,1.0,10.0,2.4896378508526964,1.984269800187748,0.30290872870544594,False
1,environment_broader,20,16,0.5,10.0,2.7072702241282256,2.13668716641222,0.35373799722459454,False
1,environment_narrower,20,16,2.0,10.0,2.423973198431833,1.940640447049542,0.23913805103505584,True
1,environment_rank_8,20,8,1.0,10.0,2.4489771678079406,1.9564320346718047,0.2808723031728724,False
1,environment_rank_32,20,32,1.0,10.0,2.548164296662096,2.051967823353398,0.1737030453010463,False
1,genomic_rank_10,10,16,1.0,10.0,2.502195937525035,1.9941505385757705,0.30298594234306253,False
1,genomic_rank_40,40,16,1.0,10.0,2.4799703664267434,1.9773877762786949,0.2991388381820009,False
1,ridge_3,20,16,1.0,3.0,2.490209072723276,1.984630455033557,0.303335919730381,False
1,ridge_30,20,16,1.0,30.0,2.4880097132146233,1.9832100421565135,0.30173470951554776,False
2,baseline,20,16,1.0,10.0,2.722973608941263,2.1515034465209806,0.2069687947849024,False
2,environment_broader,20,16,0.5,10.0,2.8861636317229324,2.247355734265371,0.17399460112154716,False
2,environment_narrower,20,16,2.0,10.0,2.5952344037014847,2.062269861675255,0.3080479494811015,False
2,environment_rank_8,20,8,1.0,10.0,2.6086591211936976,2.073165984272217,0.32691411661950986,False
2,environment_rank_32,20,32,1.0,10.0,2.5908553592155004,2.051139452010047,0.3586692358187867,True
2,genomic_rank_10,10,16,1.0,10.0,2.731668513459509,2.159890316557119,0.2203940415969102,False
2,genomic_rank_40,40,16,1.0,10.0,2.7145671082998026,2.145462850725404,0.20886129510229745,False
2,ridge_3,20,16,1.0,3.0,2.724083538714027,2.152268589403119,0.2063954939384147,False
2,ridge_30,20,16,1.0,30.0,2.719876325259132,2.1493699166056324,0.20859526189479322,False
3,baseline,20,16,1.0,10.0,2.832673666676485,2.2788169774138116,0.2009272515566055,False
3,environment_broader,20,16,0.5,10.0,2.934009129770938,2.2987834170286803,0.2946279190929718,False
3,environment_narrower,20,16,2.0,10.0,2.713566516935497,2.18157247855695,0.30380390258003687,True
3,environment_rank_8,20,8,1.0,10.0,2.715591137000474,2.1832486514516307,0.17542339357838657,False
3,environment_rank_32,20,32,1.0,10.0,2.753400141270731,2.2158308687459156,0.39772487796677797,False
3,genomic_rank_10,10,16,1.0,10.0,2.8394537267548765,2.279332695904219,0.22697635323287133,False
3,genomic_rank_40,40,16,1.0,10.0,2.8290244899835923,2.275586128709215,0.19670025228265114,False
3,ridge_3,20,16,1.0,3.0,2.8332033158082193,2.2791676915981607,0.20093544143773856,False
3,ridge_30,20,16,1.0,30.0,2.8311835555490505,2.277826794429907,0.20091872602580504,False
4,baseline,20,16,1.0,10.0,2.7749872610477837,2.1684844025401158,0.4417556545832735,False
4,environment_broader,20,16,0.5,10.0,3.065725903649916,2.3005460930943595,0.5390980394099134,False
4,environment_narrower,20,16,2.0,10.0,2.656222837736201,2.1373513527969723,0.31775236068436363,False
4,environment_rank_8,20,8,1.0,10.0,2.67061851620009,2.1546706479045796,0.24453943556526114,False
4,environment_rank_32,20,32,1.0,10.0,2.5560805578435954,2.049950556194372,0.34092838320829416,True
4,genomic_rank_10,10,16,1.0,10.0,2.801483902762748,2.195022014637141,0.4307943715674938,False
4,genomic_rank_40,40,16,1.0,10.0,2.7606596844643425,2.1598354339035004,0.43552262294766947,False
4,ridge_3,20,16,1.0,3.0,2.7768179814276106,2.1692238759338385,0.4441976890374115,False
4,ridge_30,20,16,1.0,30.0,2.7699019905554656,2.1664342259180804,0.43496382502458303,False
