regime,scenario,model,selected_b6r_config,g_rank,base_e_rank,gamma_multiplier,alpha,environment_feature_dim,n_source_covariates,multiple_kernel
CV-E-B7,efold_0,B6R-all-EC-reference,environment_narrower,20,16,2.0,10.0,16,202,False
CV-E-B7,efold_0,All-nonleaky,environment_narrower,20,16,2.0,10.0,16,197,False
CV-E-B7,efold_0,Thermal,environment_narrower,20,16,2.0,10.0,16,36,False
CV-E-B7,efold_0,Water-soil,environment_narrower,20,16,2.0,10.0,16,125,False
CV-E-B7,efold_0,Canopy-growth,environment_narrower,20,16,2.0,10.0,16,36,False
CV-E-B7,efold_0,Thermal+water-MK,environment_narrower,20,16,2.0,10.0,32,161,True
CV-E-B7,efold_0,Vegetative,environment_narrower,20,16,2.0,10.0,16,66,False
CV-E-B7,efold_0,Reproductive-transition,environment_narrower,20,16,2.0,10.0,16,66,False
CV-E-B7,efold_0,Grain-fill-maturity,environment_narrower,20,16,2.0,10.0,16,65,False
CV-E-B7,efold_0,Process-MK,environment_narrower,20,16,2.0,10.0,48,197,True
CV-E-B7,efold_0,Stage-MK,environment_narrower,20,16,2.0,10.0,48,197,True
CV-E-B7,efold_1,B6R-all-EC-reference,environment_narrower,20,16,2.0,10.0,16,202,False
CV-E-B7,efold_1,All-nonleaky,environment_narrower,20,16,2.0,10.0,16,197,False
CV-E-B7,efold_1,Thermal,environment_narrower,20,16,2.0,10.0,16,36,False
CV-E-B7,efold_1,Water-soil,environment_narrower,20,16,2.0,10.0,16,125,False
CV-E-B7,efold_1,Canopy-growth,environment_narrower,20,16,2.0,10.0,16,36,False
CV-E-B7,efold_1,Thermal+water-MK,environment_narrower,20,16,2.0,10.0,32,161,True
CV-E-B7,efold_1,Vegetative,environment_narrower,20,16,2.0,10.0,16,66,False
CV-E-B7,efold_1,Reproductive-transition,environment_narrower,20,16,2.0,10.0,16,66,False
CV-E-B7,efold_1,Grain-fill-maturity,environment_narrower,20,16,2.0,10.0,16,65,False
CV-E-B7,efold_1,Process-MK,environment_narrower,20,16,2.0,10.0,48,197,True
CV-E-B7,efold_1,Stage-MK,environment_narrower,20,16,2.0,10.0,48,197,True
CV-E-B7,efold_2,B6R-all-EC-reference,environment_rank_32,20,32,1.0,10.0,32,202,False
CV-E-B7,efold_2,All-nonleaky,environment_rank_32,20,32,1.0,10.0,32,197,False
CV-E-B7,efold_2,Thermal,environment_rank_32,20,32,1.0,10.0,32,36,False
CV-E-B7,efold_2,Water-soil,environment_rank_32,20,32,1.0,10.0,32,125,False
CV-E-B7,efold_2,Canopy-growth,environment_rank_32,20,32,1.0,10.0,32,36,False
CV-E-B7,efold_2,Thermal+water-MK,environment_rank_32,20,32,1.0,10.0,64,161,True
CV-E-B7,efold_2,Vegetative,environment_rank_32,20,32,1.0,10.0,32,66,False
CV-E-B7,efold_2,Reproductive-transition,environment_rank_32,20,32,1.0,10.0,32,66,False
CV-E-B7,efold_2,Grain-fill-maturity,environment_rank_32,20,32,1.0,10.0,32,65,False
CV-E-B7,efold_2,Process-MK,environment_rank_32,20,32,1.0,10.0,96,197,True
CV-E-B7,efold_2,Stage-MK,environment_rank_32,20,32,1.0,10.0,96,197,True
CV-E-B7,efold_3,B6R-all-EC-reference,environment_narrower,20,16,2.0,10.0,16,202,False
CV-E-B7,efold_3,All-nonleaky,environment_narrower,20,16,2.0,10.0,16,197,False
CV-E-B7,efold_3,Thermal,environment_narrower,20,16,2.0,10.0,16,36,False
CV-E-B7,efold_3,Water-soil,environment_narrower,20,16,2.0,10.0,16,125,False
CV-E-B7,efold_3,Canopy-growth,environment_narrower,20,16,2.0,10.0,16,36,False
CV-E-B7,efold_3,Thermal+water-MK,environment_narrower,20,16,2.0,10.0,32,161,True
CV-E-B7,efold_3,Vegetative,environment_narrower,20,16,2.0,10.0,16,66,False
CV-E-B7,efold_3,Reproductive-transition,environment_narrower,20,16,2.0,10.0,16,66,False
CV-E-B7,efold_3,Grain-fill-maturity,environment_narrower,20,16,2.0,10.0,16,65,False
CV-E-B7,efold_3,Process-MK,environment_narrower,20,16,2.0,10.0,48,197,True
CV-E-B7,efold_3,Stage-MK,environment_narrower,20,16,2.0,10.0,48,197,True
CV-E-B7,efold_4,B6R-all-EC-reference,environment_rank_32,20,32,1.0,10.0,32,202,False
CV-E-B7,efold_4,All-nonleaky,environment_rank_32,20,32,1.0,10.0,32,197,False
CV-E-B7,efold_4,Thermal,environment_rank_32,20,32,1.0,10.0,32,36,False
CV-E-B7,efold_4,Water-soil,environment_rank_32,20,32,1.0,10.0,32,125,False
CV-E-B7,efold_4,Canopy-growth,environment_rank_32,20,32,1.0,10.0,32,36,False
CV-E-B7,efold_4,Thermal+water-MK,environment_rank_32,20,32,1.0,10.0,64,161,True
CV-E-B7,efold_4,Vegetative,environment_rank_32,20,32,1.0,10.0,32,66,False
CV-E-B7,efold_4,Reproductive-transition,environment_rank_32,20,32,1.0,10.0,32,66,False
CV-E-B7,efold_4,Grain-fill-maturity,environment_rank_32,20,32,1.0,10.0,32,65,False
CV-E-B7,efold_4,Process-MK,environment_rank_32,20,32,1.0,10.0,96,197,True
CV-E-B7,efold_4,Stage-MK,environment_rank_32,20,32,1.0,10.0,96,197,True
