covariate,prefix,phenology_stage,stage_group,process_block,target_proximal,included_in_b7_candidates,exclusion_reason
HI30_GerEme,HI30,GerEme,vegetative,thermal,False,True,
HI30_EmeEnJ,HI30,EmeEnJ,vegetative,thermal,False,True,
HI30_EnJFlo,HI30,EnJFlo,vegetative,thermal,False,True,
HI30_FloFla,HI30,FloFla,reproductive_transition,thermal,False,True,
HI30_FlaFlw,HI30,FlaFlw,reproductive_transition,thermal,False,True,
HI30_FlwStG,HI30,FlwStG,reproductive_transition,thermal,False,True,
HI30_StGEnG,HI30,StGEnG,grain_fill_maturity,thermal,False,True,
HI30_EnGMat,HI30,EnGMat,grain_fill_maturity,thermal,False,True,
HI30_MatHar,HI30,MatHar,grain_fill_maturity,thermal,False,True,
CumHI30_GerEme,CumHI30,GerEme,vegetative,thermal,False,True,
CumHI30_EmeEnJ,CumHI30,EmeEnJ,vegetative,thermal,False,True,
CumHI30_EnJFlo,CumHI30,EnJFlo,vegetative,thermal,False,True,
CumHI30_FloFla,CumHI30,FloFla,reproductive_transition,thermal,False,True,
CumHI30_FlaFlw,CumHI30,FlaFlw,reproductive_transition,thermal,False,True,
CumHI30_FlwStG,CumHI30,FlwStG,reproductive_transition,thermal,False,True,
CumHI30_StGEnG,CumHI30,StGEnG,grain_fill_maturity,thermal,False,True,
CumHI30_EnGMat,CumHI30,EnGMat,grain_fill_maturity,thermal,False,True,
CumHI30_MatHar,CumHI30,MatHar,grain_fill_maturity,thermal,False,True,
TT_GerEme,TT,GerEme,vegetative,thermal,False,True,
TT_EmeEnJ,TT,EmeEnJ,vegetative,thermal,False,True,
TT_EnJFlo,TT,EnJFlo,vegetative,thermal,False,True,
TT_FloFla,TT,FloFla,reproductive_transition,thermal,False,True,
TT_FlaFlw,TT,FlaFlw,reproductive_transition,thermal,False,True,
TT_FlwStG,TT,FlwStG,reproductive_transition,thermal,False,True,
TT_StGEnG,TT,StGEnG,grain_fill_maturity,thermal,False,True,
TT_EnGMat,TT,EnGMat,grain_fill_maturity,thermal,False,True,
TT_MatHar,TT,MatHar,grain_fill_maturity,thermal,False,True,
biomass_GerEme,biomass,GerEme,vegetative,canopy_growth,False,True,
