regime,environment,model,n,rmse,mae,r2,correlation
CV-E-B7,2014-IAH1,All-nonleaky,754,1.8171836579336083,1.4762801252217432,-0.3321911716178021,0.13394518521864032
CV-E-B7,2014-IAH1,B6R-all-EC-reference,754,1.8485619362174919,1.505808833030909,-0.37859569728577336,0.13016524741094312
CV-E-B7,2014-IAH1,Canopy-growth,754,1.648154402430146,1.2773973427411858,-0.09588427681410416,0.0215357859931618
CV-E-B7,2014-IAH1,Grain-fill-maturity,754,2.4581695196236644,2.0551208427582717,-1.4377690829934875,-0.005449341189585374
CV-E-B7,2014-IAH1,Process-MK,754,5.131325512665702,4.9107276552324315,-9.622531740008105,0.23146458745262938
CV-E-B7,2014-IAH1,Reproductive-transition,754,1.832616778451759,1.4907772124564063,-0.35491553747182425,0.10822963963074324
CV-E-B7,2014-IAH1,Stage-MK,754,4.626063804450326,4.362854917845469,-7.633604362575442,0.21463558543107772
CV-E-B7,2014-IAH1,Thermal,754,1.919615262255982,1.5722364975277934,-0.486610838012564,0.11195821153269404
CV-E-B7,2014-IAH1,Thermal+water-MK,754,2.297362128076881,1.9680362620614251,-1.129255712969191,0.18568436371224994
CV-E-B7,2014-IAH1,Vegetative,754,1.5725617047374285,1.2283611496881535,0.0023360095191612418,0.2117919767853753
CV-E-B7,2014-IAH1,Water-soil,754,2.444245292280145,2.1010378615079315,-1.4102299624207184,0.14724250649572815
CV-E-B7,2014-ILH1,All-nonleaky,238,2.152635220940035,1.79999166531949,-0.393150553071151,0.21727463267238117
CV-E-B7,2014-ILH1,B6R-all-EC-reference,238,2.073335551968882,1.7202309579198274,-0.2923982385845487,0.2238469280075705
CV-E-B7,2014-ILH1,Canopy-growth,238,2.4623090636518965,2.106801790584574,-0.8228137480441957,0.16827490250537952
CV-E-B7,2014-ILH1,Grain-fill-maturity,238,2.00012864737549,1.6578363536423601,-0.20274352741522517,0.2679645151528264
CV-E-B7,2014-ILH1,Process-MK,238,1.8073318671719392,1.3811938523470848,0.017951400872062262,0.16833993710185852
CV-E-B7,2014-ILH1,Reproductive-transition,238,2.067826489576128,1.7157462692693715,-0.28553929732432004,0.24386469466661342
CV-E-B7,2014-ILH1,Stage-MK,238,5.071750688435844,4.76140965929184,-6.7334442967126895,0.11991900039197068
CV-E-B7,2014-ILH1,Thermal,238,1.8342178844545771,1.4670804190810163,-0.011483995563599247,0.2565641758686774
CV-E-B7,2014-ILH1,Thermal+water-MK,238,1.927864439089425,1.574058629434174,-0.1174038234984518,0.2793732719274619
CV-E-B7,2014-ILH1,Vegetative,238,3.4163961367922804,3.055467034596903,-2.509082770383253,0.21260112921743504
CV-E-B7,2014-ILH1,Water-soil,238,2.536415791543308,2.1932697979074383,-0.9341852402134987,0.2939700149267622
CV-E-B7,2014-INH1,All-nonleaky,240,1.8659758247340086,1.5932609345285327,-0.9838034295920721,0.2922507437693105
CV-E-B7,2014-INH1,B6R-all-EC-reference,240,1.8361243807816396,1.5633406027807468,-0.9208382967156419,0.2917775097451727
CV-E-B7,2014-INH1,Canopy-growth,240,2.3380600926240622,2.0673082684897373,-2.114568948474485,0.17836636410537174
CV-E-B7,2014-INH1,Grain-fill-maturity,240,1.9267280708481782,1.6436942205663823,-1.1150832240387833,0.18630056816675467
CV-E-B7,2014-INH1,Process-MK,240,1.4429912642718372,1.1537744980773281,-0.18635322442531943,0.3037729340026374
CV-E-B7,2014-INH1,Reproductive-transition,240,1.6593644302332977,1.3716863340776169,-0.5688093316744662,0.1989147083458874
CV-E-B7,2014-INH1,Stage-MK,240,1.2473966760096813,0.9489626137555842,0.11346522459963082,0.42728800282136464
CV-E-B7,2014-INH1,Thermal,240,2.700134465227687,2.449148653511952,-3.1539129942543065,0.22448699207479406
CV-E-B7,2014-INH1,Thermal+water-MK,240,1.6425424150403058,1.3462597734545452,-0.5371625574561152,0.2972505539140746
CV-E-B7,2014-INH1,Vegetative,240,1.9525495717276307,1.680706700055539,-1.172154680610484,0.3199856030167624
CV-E-B7,2014-INH1,Water-soil,240,1.253219683078221,0.9535658972441846,0.10516899053531348,0.360282201334643
CV-E-B7,2014-MNH1,All-nonleaky,236,3.2598011736703705,2.862500872581682,-2.8637118695436348,0.11251808031713409
CV-E-B7,2014-MNH1,B6R-all-EC-reference,236,3.1846277889303622,2.785176981354122,-2.6875665716295285,0.12321943245411315
CV-E-B7,2014-MNH1,Canopy-growth,236,1.8876117863770039,1.5747236939982425,-0.295531178977146,0.007820979836275135
CV-E-B7,2014-MNH1,Grain-fill-maturity,236,2.4965138749985534,2.0945253793536476,-1.2661595156842096,0.2765962505857827
CV-E-B7,2014-MNH1,Process-MK,236,2.437601061421721,2.009665752672846,-1.1604676571585455,0.03246715486551221
CV-E-B7,2014-MNH1,Reproductive-transition,236,2.7093136157658,2.2947244770446455,-1.6689538707962104,0.22145784211523056
CV-E-B7,2014-MNH1,Stage-MK,236,2.652719492262113,2.218696786016649,-1.5586163203980576,0.03177926595550785
CV-E-B7,2014-MNH1,Thermal,236,3.5329616410299955,3.1708427935381907,-3.5383747342768563,0.2417872367066358
CV-E-B7,2014-MNH1,Thermal+water-MK,236,3.0474442320732438,2.6679847058611452,-2.376712162964493,0.34656767271265543
CV-E-B7,2014-MNH1,Vegetative,236,2.3506841451260243,1.964301397769833,-1.0091439999647287,0.05957510493344238
CV-E-B7,2014-MNH1,Water-soil,236,2.6598082020304785,2.2499695340856305,-1.5723090777163273,0.2470847305742337
CV-E-B7,2014-MOH2,All-nonleaky,247,1.920445188146206,1.486876981464369,-0.04399899317769118,0.026520735196980266
CV-E-B7,2014-MOH2,B6R-all-EC-reference,247,1.9187526344867885,1.491695978960472,-0.04215958046451451,0.02151348165106533
CV-E-B7,2014-MOH2,Canopy-growth,247,2.122290411017281,1.7453787000080638,-0.2749873349468088,-0.016134393119067166
CV-E-B7,2014-MOH2,Grain-fill-maturity,247,1.9882235612607349,1.6130097796026721,-0.11899122071042245,0.0786480348398048
CV-E-B7,2014-MOH2,Process-MK,247,2.5546769628181556,2.157282608456169,-0.8474310154528217,0.17877480069370386
CV-E-B7,2014-MOH2,Reproductive-transition,247,2.274527676921946,1.9001695871778064,-0.4644639948676761,-0.00034191702418775647
CV-E-B7,2014-MOH2,Stage-MK,247,2.0950238769334293,1.7160052972740338,-0.24243649860595773,0.04709015794215877
CV-E-B7,2014-MOH2,Thermal,247,2.2632602411889335,1.879365446933001,-0.44999076261958826,0.0858147146296016
CV-E-B7,2014-MOH2,Thermal+water-MK,247,2.43904757245096,2.0475968425108455,-0.6839794572801583,0.2056473226166668
CV-E-B7,2014-MOH2,Vegetative,247,2.2407051409371848,1.8688580225153721,-0.42123426086987914,-0.01237555521117579
