regime,challenger,reference,metric,delta_challenger_minus_reference,ci95_low,ci95_high,improvement_frequency,bootstrap_clusters,bootstrap_reps
CV-E-B7,All-nonleaky,B6R-all-EC-reference,RMSE,0.007958917291431167,-0.002333200452087769,0.020223643184124614,0.0715,environment,2000
CV-E-B7,Thermal,B6R-all-EC-reference,RMSE,0.06223597715354501,-0.09580883879089681,0.21091431677713765,0.208,environment,2000
CV-E-B7,Water-soil,B6R-all-EC-reference,RMSE,0.04906934208733693,-0.023544521761023663,0.12845799889801676,0.098,environment,2000
CV-E-B7,Canopy-growth,B6R-all-EC-reference,RMSE,0.12302524140070847,-0.016032761654021954,0.27473891846406967,0.0415,environment,2000
CV-E-B7,Thermal+water-MK,B6R-all-EC-reference,RMSE,0.013863439656265797,-0.0939088147478072,0.11613984745114425,0.4165,environment,2000
CV-E-B7,Vegetative,B6R-all-EC-reference,RMSE,0.27442507263169835,0.12339094840635231,0.42759538377405565,0.0,environment,2000
CV-E-B7,Reproductive-transition,B6R-all-EC-reference,RMSE,0.0035870387095435774,-0.08914858225185257,0.0989824816945392,0.4695,environment,2000
CV-E-B7,Grain-fill-maturity,B6R-all-EC-reference,RMSE,0.08168572154819964,-0.010106986671932402,0.1781509290582561,0.0395,environment,2000
CV-E-B7,Process-MK,B6R-all-EC-reference,RMSE,-0.008265686403496009,-0.09610934030108033,0.0732716390076115,0.5645,environment,2000
CV-E-B7,Stage-MK,B6R-all-EC-reference,RMSE,0.030893528117037494,-0.023328123223335384,0.08473347738660617,0.1125,environment,2000
CV-E-B7,Process-MK,All-nonleaky,RMSE,-0.016224603694927175,-0.10357003886874017,0.07199798360486502,0.656,environment,2000
CV-E-B7,Stage-MK,All-nonleaky,RMSE,0.022934610825606327,-0.03205092337115806,0.07410627727373659,0.205,environment,2000
CV-E-B7,Thermal+water-MK,All-nonleaky,RMSE,0.00590452236483463,-0.10649718700343468,0.12494927219223002,0.453,environment,2000
CV-E-B7,Reproductive-transition,All-nonleaky,RMSE,-0.004371878581887589,-0.09830689657592256,0.0974363973384513,0.5345,environment,2000
CV-GE-B7,All-nonleaky,B6R-all-EC-reference,RMSE,0.007857622496070249,-0.0025362637267155597,0.018837179580024354,0.076,environment,2000
CV-GE-B7,Thermal,B6R-all-EC-reference,RMSE,0.06245882282942805,-0.09247164464300214,0.214803838033928,0.218,environment,2000
CV-GE-B7,Water-soil,B6R-all-EC-reference,RMSE,0.048906303284868,-0.027389124149187438,0.12943432946932862,0.1055,environment,2000
CV-GE-B7,Canopy-growth,B6R-all-EC-reference,RMSE,0.12364687311813105,-0.009506573146128816,0.2771330179515101,0.0385,environment,2000
CV-GE-B7,Thermal+water-MK,B6R-all-EC-reference,RMSE,0.014322542122940263,-0.09486549541836217,0.11937847463168258,0.403,environment,2000
CV-GE-B7,Vegetative,B6R-all-EC-reference,RMSE,0.27384375419433216,0.11425755135188267,0.4326710389225167,0.0,environment,2000
CV-GE-B7,Reproductive-transition,B6R-all-EC-reference,RMSE,0.00386844181300372,-0.08593025010739642,0.09652813057222873,0.4745,environment,2000
CV-GE-B7,Grain-fill-maturity,B6R-all-EC-reference,RMSE,0.08206619433182016,-0.015158718744757271,0.1735866845223961,0.0475,environment,2000
CV-GE-B7,Process-MK,B6R-all-EC-reference,RMSE,-0.008469897783639713,-0.09292869638420273,0.0735217615823488,0.5575,environment,2000
CV-GE-B7,Stage-MK,B6R-all-EC-reference,RMSE,0.031025965004183753,-0.021714180721383192,0.08147299438819246,0.1305,environment,2000
CV-GE-B7,Process-MK,All-nonleaky,RMSE,-0.01632752027970996,-0.10537213749164379,0.07297796484811356,0.649,environment,2000
CV-GE-B7,Stage-MK,All-nonleaky,RMSE,0.023168342508113504,-0.030361501048419205,0.07462056335247096,0.2005,environment,2000
CV-GE-B7,Thermal+water-MK,All-nonleaky,RMSE,0.006464919626870014,-0.10918025518719697,0.11390939097825879,0.468,environment,2000
CV-GE-B7,Reproductive-transition,All-nonleaky,RMSE,-0.003989180683066529,-0.0979971139737183,0.09290356946613282,0.538,environment,2000
