regime,outer_environment_fold,horizon,selected_b6r_config,g_rank,e_rank,gamma_multiplier,alpha,n_current_year_ecov_columns,uses_current_year_ecov,availability_state
CV-E-B8,0,Pre-season-G-only,environment_narrower,20,16,2.0,10.0,0,False,PROSPECTIVE_SUPPORTED_G_ONLY
CV-E-B8,0,Pre-season-location-history,environment_narrower,20,16,2.0,10.0,0,False,PROSPECTIVE_PROXY_TRAINING_HISTORY_ONLY
CV-E-B8,0,Pre-flowering-observed,environment_narrower,20,16,2.0,10.0,44,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,0,At-flowering-observed,environment_narrower,20,16,2.0,10.0,66,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,0,Reproductive-stage-observed,environment_narrower,20,16,2.0,10.0,132,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,0,Full-season-nonleaky,environment_narrower,20,16,2.0,10.0,197,True,RETROSPECTIVE_REFERENCE_ONLY
CV-E-B8,1,Pre-season-G-only,environment_narrower,20,16,2.0,10.0,0,False,PROSPECTIVE_SUPPORTED_G_ONLY
CV-E-B8,1,Pre-season-location-history,environment_narrower,20,16,2.0,10.0,0,False,PROSPECTIVE_PROXY_TRAINING_HISTORY_ONLY
CV-E-B8,1,Pre-flowering-observed,environment_narrower,20,16,2.0,10.0,44,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,1,At-flowering-observed,environment_narrower,20,16,2.0,10.0,66,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,1,Reproductive-stage-observed,environment_narrower,20,16,2.0,10.0,132,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,1,Full-season-nonleaky,environment_narrower,20,16,2.0,10.0,197,True,RETROSPECTIVE_REFERENCE_ONLY
CV-E-B8,2,Pre-season-G-only,environment_rank_32,20,32,1.0,10.0,0,False,PROSPECTIVE_SUPPORTED_G_ONLY
CV-E-B8,2,Pre-season-location-history,environment_rank_32,20,32,1.0,10.0,0,False,PROSPECTIVE_PROXY_TRAINING_HISTORY_ONLY
CV-E-B8,2,Pre-flowering-observed,environment_rank_32,20,32,1.0,10.0,44,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,2,At-flowering-observed,environment_rank_32,20,32,1.0,10.0,66,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,2,Reproductive-stage-observed,environment_rank_32,20,32,1.0,10.0,132,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,2,Full-season-nonleaky,environment_rank_32,20,32,1.0,10.0,197,True,RETROSPECTIVE_REFERENCE_ONLY
CV-E-B8,3,Pre-season-G-only,environment_narrower,20,16,2.0,10.0,0,False,PROSPECTIVE_SUPPORTED_G_ONLY
CV-E-B8,3,Pre-season-location-history,environment_narrower,20,16,2.0,10.0,0,False,PROSPECTIVE_PROXY_TRAINING_HISTORY_ONLY
CV-E-B8,3,Pre-flowering-observed,environment_narrower,20,16,2.0,10.0,44,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,3,At-flowering-observed,environment_narrower,20,16,2.0,10.0,66,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,3,Reproductive-stage-observed,environment_narrower,20,16,2.0,10.0,132,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,3,Full-season-nonleaky,environment_narrower,20,16,2.0,10.0,197,True,RETROSPECTIVE_REFERENCE_ONLY
CV-E-B8,4,Pre-season-G-only,environment_rank_32,20,32,1.0,10.0,0,False,PROSPECTIVE_SUPPORTED_G_ONLY
CV-E-B8,4,Pre-season-location-history,environment_rank_32,20,32,1.0,10.0,0,False,PROSPECTIVE_PROXY_TRAINING_HISTORY_ONLY
CV-E-B8,4,Pre-flowering-observed,environment_rank_32,20,32,1.0,10.0,44,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,4,At-flowering-observed,environment_rank_32,20,32,1.0,10.0,66,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,4,Reproductive-stage-observed,environment_rank_32,20,32,1.0,10.0,132,True,RETROSPECTIVE_HORIZON_PROXY
CV-E-B8,4,Full-season-nonleaky,environment_rank_32,20,32,1.0,10.0,197,True,RETROSPECTIVE_REFERENCE_ONLY
