regime,environment,horizon,n,rmse,mae,r2,correlation
CV-E-B8,2014-IAH1,At-flowering-observed,754,1.5725617047374285,1.2283611496881535,0.0023360095191612418,0.2117919767853753
CV-E-B8,2014-IAH1,Full-season-nonleaky,754,1.8171836579336083,1.4762801252217432,-0.3321911716178021,0.13394518521864032
CV-E-B8,2014-IAH1,Pre-flowering-observed,754,1.7705586262441846,1.4288295081160025,-0.26470585568950256,0.1466149920422443
CV-E-B8,2014-IAH1,Pre-season-G-only,754,2.0242483735914787,1.6713407913322145,-0.6530900210617276,0.020888221276456388
CV-E-B8,2014-IAH1,Pre-season-location-history,754,3.634472792709538,3.3294282583145125,-4.329073994463408,0.10021692452175937
CV-E-B8,2014-IAH1,Reproductive-stage-observed,754,1.6654459871841956,1.3343011483951313,-0.11899980580395608,0.16312262915049838
CV-E-B8,2014-ILH1,At-flowering-observed,238,3.4163961367922804,3.055467034596903,-2.509082770383253,0.21260112921743504
CV-E-B8,2014-ILH1,Full-season-nonleaky,238,2.152635220940035,1.79999166531949,-0.393150553071151,0.21727463267238117
CV-E-B8,2014-ILH1,Pre-flowering-observed,238,3.0228277873053764,2.6639010483107284,-1.7471601602936504,0.2531578183917893
CV-E-B8,2014-ILH1,Pre-season-G-only,238,2.780535941269125,2.427398889981755,-1.3244178096683532,0.2308336373506072
CV-E-B8,2014-ILH1,Pre-season-location-history,238,1.9122821298142094,1.5399070669037298,-0.09941359048005016,0.18177639694874287
CV-E-B8,2014-ILH1,Reproductive-stage-observed,238,2.608072551870477,2.2569788696608204,-1.0450150339433248,0.23668363387846808
CV-E-B8,2014-INH1,At-flowering-observed,240,1.9525495717276307,1.680706700055539,-1.172154680610484,0.3199856030167624
CV-E-B8,2014-INH1,Full-season-nonleaky,240,1.8659758247340086,1.5932609345285327,-0.9838034295920721,0.2922507437693105
CV-E-B8,2014-INH1,Pre-flowering-observed,240,2.6377592446400886,2.3969353237587927,-2.9642124279655504,0.30991824521933226
CV-E-B8,2014-INH1,Pre-season-G-only,240,1.871024146794423,1.5857303353602483,-0.9945521498150867,0.19118552994380364
CV-E-B8,2014-INH1,Pre-season-location-history,240,2.4103419272061126,2.103982573892398,-2.310121397389482,0.3579974100412232
CV-E-B8,2014-INH1,Reproductive-stage-observed,240,1.5390706847778421,1.252558564083919,-0.34959587857783037,0.30420297994762724
CV-E-B8,2014-MNH1,At-flowering-observed,236,2.3506841451260243,1.964301397769833,-1.0091439999647287,0.05957510493344238
CV-E-B8,2014-MNH1,Full-season-nonleaky,236,3.2598011736703705,2.862500872581682,-2.8637118695436348,0.11251808031713409
CV-E-B8,2014-MNH1,Pre-flowering-observed,236,2.923473464757358,2.4827803631377616,-2.1075692907807655,-0.021065477171920973
CV-E-B8,2014-MNH1,Pre-season-G-only,236,2.6587332513863973,2.2471988775512317,-1.5702303214024411,0.198517494280448
CV-E-B8,2014-MNH1,Pre-season-location-history,236,2.417143028052835,2.0383437562373294,-1.1243555581161506,0.29726724418312506
CV-E-B8,2014-MNH1,Reproductive-stage-observed,236,2.5525021500814353,2.1252207547064312,-1.3689437122223191,-0.062386968276231414
CV-E-B8,2014-MOH2,At-flowering-observed,247,2.2407051409371848,1.8688580225153721,-0.42123426086987914,-0.01237555521117579
CV-E-B8,2014-MOH2,Full-season-nonleaky,247,1.920445188146206,1.486876981464369,-0.04399899317769118,0.026520735196980266
CV-E-B8,2014-MOH2,Pre-flowering-observed,247,2.2353716459998925,1.8619589610420972,-0.41447645576631675,0.010586531144287262
CV-E-B8,2014-MOH2,Pre-season-G-only,247,2.0753342095405363,1.6992613436928792,-0.21919265342477057,-0.0730231363948261
CV-E-B8,2014-MOH2,Pre-season-location-history,247,2.0578370228595353,1.5576713732604508,-0.19872123804836872,-0.05619597634112757
CV-E-B8,2014-MOH2,Reproductive-stage-observed,247,1.9248966755788852,1.4813269136038425,-0.04884446815080068,0.032746189540939885
CV-E-B8,2014-NEH1,At-flowering-observed,242,2.927374161677645,2.4452193173034864,-1.4730528429203682,0.16980069840702383
CV-E-B8,2014-NEH1,Full-season-nonleaky,242,3.1181770974181027,2.63865263051047,-1.805940648422799,0.11120169319007682
CV-E-B8,2014-NEH1,Pre-flowering-observed,242,2.73403691167799,2.244348130123701,-1.157176462572731,0.1599565702159305
CV-E-B8,2014-NEH1,Pre-season-G-only,242,3.643002115117901,3.1825258893046247,-2.8299735309449066,0.09042100116469103
CV-E-B8,2014-NEH1,Pre-season-location-history,242,3.690608572129147,3.2366280479289924,-2.9307271461828073,0.1010209740249006
CV-E-B8,2014-NEH1,Reproductive-stage-observed,242,3.1093677908917603,2.6316581604840157,-1.7901086581544092,0.13743713331388696
CV-E-B8,2014-NEH2,At-flowering-observed,240,2.268489351552392,1.808889021485554,-0.5669970180858577,0.010937309352423737
CV-E-B8,2014-NEH2,Full-season-nonleaky,240,2.4903547387138034,2.030616481664495,-0.8885005221396438,-0.0019265413583285343
CV-E-B8,2014-NEH2,Pre-flowering-observed,240,2.6988640000994226,2.2507728313094217,-1.2179751738734685,0.012272416411829074
CV-E-B8,2014-NEH2,Pre-season-G-only,240,4.151513711207036,3.712198979848107,-4.248166844506268,-0.07814303573555152
CV-E-B8,2014-NEH2,Pre-season-location-history,240,3.7108213467777036,3.2864197300107727,-3.193095680696313,0.019708598318071254
CV-E-B8,2014-NEH2,Reproductive-stage-observed,240,2.2431609650172804,1.7877253243118703,-0.5322003519000253,0.002904133926858052
CV-E-B8,2014-NYH2,At-flowering-observed,218,2.0317581461860814,1.6131325507895184,-0.9309045368911295,0.07822545171027209
CV-E-B8,2014-NYH2,Full-season-nonleaky,218,2.2902194623115784,1.8367784598324977,-1.4534148268960903,0.0760429275799623
CV-E-B8,2014-NYH2,Pre-flowering-observed,218,1.9453315032621081,1.542382691939426,-0.7701253572824107,0.09098868236088907
CV-E-B8,2014-NYH2,Pre-season-G-only,218,1.5990976168247444,1.2985108165547208,-0.1960979213731764,-0.010464472533436487
CV-E-B8,2014-NYH2,Pre-season-location-history,218,1.6426883787318431,1.3097973129263476,-0.2621970273255594,0.11438927933401707
CV-E-B8,2014-NYH2,Reproductive-stage-observed,218,2.064389601112614,1.6302780460828141,-0.9934259570987234,0.05549478840274867
CV-E-B8,2014-WIH1,At-flowering-observed,208,2.4484379363898974,1.9735457459022525,-0.3888768984131006,0.1749668633993994
CV-E-B8,2014-WIH1,Full-season-nonleaky,208,2.3778819070450554,1.9169577453995406,-0.30998438612577406,0.1882973370342387
CV-E-B8,2014-WIH1,Pre-flowering-observed,208,2.173040535847938,1.7511623538464336,-0.09400979372240381,0.1720784719218051
CV-E-B8,2014-WIH1,Pre-season-G-only,208,2.8798919110571735,2.3776902842747343,-0.9214891232304141,0.19428879370576677
CV-E-B8,2014-WIH1,Pre-season-location-history,208,2.0404485342138368,1.6298572346761422,0.035423127480800565,0.1890289137597587
CV-E-B8,2014-WIH1,Reproductive-stage-observed,208,2.2682247225014693,1.8286437072129,-0.19194911053590946,0.18643346615877351
CV-E-B8,2015-ILH1,At-flowering-observed,416,2.36204919133027,1.936716673614905,-0.6745537458371502,0.17509608785825556
CV-E-B8,2015-ILH1,Full-season-nonleaky,416,2.096851250766642,1.6967844483988652,-0.3196430088775737,0.17596079932276115
CV-E-B8,2015-ILH1,Pre-flowering-observed,416,2.275475908407164,1.85528327802111,-0.5540525449260052,0.17991837375293368
CV-E-B8,2015-ILH1,Pre-season-G-only,416,2.1869403820177302,1.765165438367394,-0.43547324789062136,0.18163483865713387
CV-E-B8,2015-ILH1,Pre-season-location-history,416,1.772136825057321,1.398681246019723,0.05742543573414405,0.25501460906001494
CV-E-B8,2015-ILH1,Reproductive-stage-observed,416,1.9555481168847204,1.5653822926102074,-0.1477788772041171,0.16699691703551994
CV-E-B8,2015-INH1,At-flowering-observed,423,1.8351130598095682,1.4476972453358588,-0.049074156435451544,0.16344166368642563
CV-E-B8,2015-INH1,Full-season-nonleaky,423,1.8881244311776602,1.4532102000039704,-0.11055931748674297,0.18532329040026743
CV-E-B8,2015-INH1,Pre-flowering-observed,423,1.8966664218781248,1.454477670256881,-0.12063052434614141,0.16509977190427544
CV-E-B8,2015-INH1,Pre-season-G-only,423,1.861309780702073,1.4288900343338142,-0.07923955825564977,0.1349526438630513
CV-E-B8,2015-INH1,Pre-season-location-history,423,3.494464186351813,3.0763293653103947,-2.80401065190387,0.17643973686305428
CV-E-B8,2015-INH1,Reproductive-stage-observed,423,1.8176099218108217,1.397116628011497,-0.029157648643485246,0.16425077563236948
CV-E-B8,2015-KSH1,At-flowering-observed,418,3.1903068740864398,2.778288025330495,-2.0805600056672464,0.08828521120700424
CV-E-B8,2015-KSH1,Full-season-nonleaky,418,2.2638741246534213,1.8767640506408672,-0.5512053887779806,0.11180647150281925
CV-E-B8,2015-KSH1,Pre-flowering-observed,418,3.2499123248181934,2.837307457644058,-2.1967453579456415,0.0960214175828529
CV-E-B8,2015-KSH1,Pre-season-G-only,418,4.320134492088729,3.9154837314237345,-4.648840184421195,0.06922136226033103
CV-E-B8,2015-KSH1,Pre-season-location-history,418,3.6472737813679275,3.2434119086059967,-3.0262569071967746,0.13080603009906713
CV-E-B8,2015-KSH1,Reproductive-stage-observed,418,2.006525991666299,1.65466899545966,-0.21858080538600877,0.09019252263790592
CV-E-B8,2015-MNH1,At-flowering-observed,407,1.7098266805338374,1.3840599568366798,-0.5429007410716853,-0.02062706683547888
CV-E-B8,2015-MNH1,Full-season-nonleaky,407,1.5323133793123325,1.1919106012888083,-0.23916459272154822,0.03450453892796277
CV-E-B8,2015-MNH1,Pre-flowering-observed,407,1.6918242866456592,1.3667729746012784,-0.5105820459205659,0.0021635085962824
CV-E-B8,2015-MNH1,Pre-season-G-only,407,2.0186023094280343,1.6683905747908836,-1.1504796636751986,0.01718439926454654
CV-E-B8,2015-MNH1,Pre-season-location-history,407,2.289461152153966,1.9583842001572123,-1.7663069376122782,0.046006126588201184
CV-E-B8,2015-MNH1,Reproductive-stage-observed,407,1.4393943256861828,1.1207159204464914,-0.0934360316887417,0.03692921954465383
CV-E-B8,2015-MOH1,At-flowering-observed,422,4.710888446807603,4.363512879203489,-6.44577838308893,0.15155119434680922
CV-E-B8,2015-MOH1,Full-season-nonleaky,422,5.625558590894573,5.332982916827719,-9.61783004725938,0.09767393907593769
CV-E-B8,2015-MOH1,Pre-flowering-observed,422,4.748447061666124,4.403367919848637,-6.564977945722438,0.14498365935144752
CV-E-B8,2015-MOH1,Pre-season-G-only,422,4.552713055406961,4.19683188053032,-5.954165509142728,0.12931341514315683
CV-E-B8,2015-MOH1,Pre-season-location-history,422,3.9554235557365143,3.5653875889229845,-4.249167801130744,0.09497692684631232
CV-E-B8,2015-MOH1,Reproductive-stage-observed,422,4.721777207442841,4.388463757852571,-6.4802385484306,0.1405186098224149
CV-E-B8,2015-MOH2,At-flowering-observed,421,1.7682883157893126,1.4155921866357235,-0.004938905052306541,0.181205690959988
CV-E-B8,2015-MOH2,Full-season-nonleaky,421,2.437528729540915,2.0376060559551403,-0.9095586047166098,0.20848382055700868
CV-E-B8,2015-MOH2,Pre-flowering-observed,421,1.8730042570378884,1.5125575075052489,-0.12748567854111692,0.18853829703055983
CV-E-B8,2015-MOH2,Pre-season-G-only,421,2.318169333685041,1.9181093217439102,-0.7271251884586492,0.15942344371367292
CV-E-B8,2015-MOH2,Pre-season-location-history,421,1.9951456222276585,1.6272550559056222,-0.27933035425707087,0.18642510743743573
CV-E-B8,2015-MOH2,Reproductive-stage-observed,421,2.214402356746532,1.8250536014280585,-0.5759650254132316,0.18450570687964865
CV-E-B8,2015-NEH2,At-flowering-observed,405,1.756924464860187,1.3626972248115012,-0.6290177482589117,0.02299711040387417
CV-E-B8,2015-NEH2,Full-season-nonleaky,405,1.6674722855214283,1.35779158705244,-0.4673607027018507,-0.0013800788677094833
CV-E-B8,2015-NEH2,Pre-flowering-observed,405,1.7594135765840688,1.366830646843517,-0.6336368193323536,0.020313603911992245
CV-E-B8,2015-NEH2,Pre-season-G-only,405,1.9737096874359052,1.5574881275160095,-1.0558251787497563,0.007780290685611382
CV-E-B8,2015-NEH2,Pre-season-location-history,405,1.7112905230286675,1.3923259833795179,-0.5454932971142197,-0.005770170444224906
CV-E-B8,2015-NEH2,Reproductive-stage-observed,405,1.6625034528728082,1.3545436206426444,-0.45862867560982634,0.03223535326885666
CV-E-B8,2015-NEH3,At-flowering-observed,249,1.6631495951646016,1.3359495763090141,-0.39760024166585506,0.10035542611314616
CV-E-B8,2015-NEH3,Full-season-nonleaky,249,1.4477714836389184,1.0731085159853604,-0.05905953493573368,0.11484079874549605
CV-E-B8,2015-NEH3,Pre-flowering-observed,249,1.7480575066369377,1.4222997755848705,-0.543944801862893,0.09415842060235306
CV-E-B8,2015-NEH3,Pre-season-G-only,249,1.929339343711117,1.61542551592239,-0.880778188290749,0.08088887248454789
CV-E-B8,2015-NEH3,Pre-season-location-history,249,1.5157110659118902,1.1552163419050727,-0.16078872452016513,0.09585906074066174
CV-E-B8,2015-NEH3,Reproductive-stage-observed,249,1.643301445594601,1.320360912437642,-0.36444116272699456,0.10203606458109056
CV-E-B8,2015-NYH2,At-flowering-observed,355,2.385895555248842,1.7873304161702435,-0.27495093374361534,0.16103116229723474
CV-E-B8,2015-NYH2,Full-season-nonleaky,355,3.1785475239457406,2.5474133858387185,-1.2628097086619978,0.19046834802695678
CV-E-B8,2015-NYH2,Pre-flowering-observed,355,2.6300485318057616,2.0091789179067328,-0.5492379973567896,0.16912923570735877
CV-E-B8,2015-NYH2,Pre-season-G-only,355,2.200837018016963,1.6623444727553325,-0.08484172260614509,0.15651851538515207
CV-E-B8,2015-NYH2,Pre-season-location-history,355,2.1852612162723535,1.643486264814483,-0.06954073793685778,0.17614715191751876
CV-E-B8,2015-NYH2,Reproductive-stage-observed,355,3.0105539767906455,2.3742830588522077,-1.0299411685610784,0.18181948543074447
CV-E-B8,2015-NYH3,At-flowering-observed,355,1.9223595394181758,1.5651528305389053,0.10696169906698039,0.3290738619842566
CV-E-B8,2015-NYH3,Full-season-nonleaky,355,2.4795447558570474,1.9721604728239301,-0.485746632636344,0.28706262795854753
CV-E-B8,2015-NYH3,Pre-flowering-observed,355,2.009967033533584,1.6033758198245776,0.02371027188007646,0.32557151579524196
CV-E-B8,2015-NYH3,Pre-season-G-only,355,2.021601525278593,1.6138098020181613,0.0123752512063654,0.3308216129941839
CV-E-B8,2015-NYH3,Pre-season-location-history,355,2.991971851233806,2.4565173717398965,-1.1632955545292751,0.3039082243349905
CV-E-B8,2015-NYH3,Reproductive-stage-observed,355,2.1831345464042675,1.7246610877928994,-0.15175963843628426,0.33469525913061676
CV-E-B8,2015-OHH1,At-flowering-observed,426,1.803580414814015,1.4508398043534194,-0.3542781144866183,0.10459068497963614
CV-E-B8,2015-OHH1,Full-season-nonleaky,426,1.7388819200370762,1.3871236306986734,-0.2588588077049023,0.12381189110205995
CV-E-B8,2015-OHH1,Pre-flowering-observed,426,2.23306906354389,1.8379596056845366,-1.0760659660273588,0.12169617926957378
CV-E-B8,2015-OHH1,Pre-season-G-only,426,1.9420230809010903,1.5659247864894936,-0.5701661601258483,0.05210388468580867
CV-E-B8,2015-OHH1,Pre-season-location-history,426,2.2391353434099592,1.8509449156447455,-1.087360827963817,0.11642721040441482
CV-E-B8,2015-OHH1,Reproductive-stage-observed,426,1.7650133364118281,1.4075288285369962,-0.2969786332173465,0.1388779949942837
CV-E-B8,2015-SDH1,At-flowering-observed,327,4.624642751153308,4.282445687927564,-7.309602945134001,-0.07301851280271124
CV-E-B8,2015-SDH1,Full-season-nonleaky,327,2.9536680867742175,2.541140239117897,-2.389590819063582,-0.1381695685188825
CV-E-B8,2015-SDH1,Pre-flowering-observed,327,4.456054304437476,4.10023157481435,-6.714803040835593,-0.09261523328709671
CV-E-B8,2015-SDH1,Pre-season-G-only,327,3.936665515613852,3.5464619702435565,-5.021170500257589,-0.1347469912939989
CV-E-B8,2015-SDH1,Pre-season-location-history,327,3.2837382174347676,2.8773593012819543,-3.189487976350841,-0.10680602396198455
CV-E-B8,2015-SDH1,Reproductive-stage-observed,327,2.5693142651248215,2.1717528044818013,-1.564828611271405,-0.06172070229376722
CV-E-B8,2015-TXH1,At-flowering-observed,296,1.903474692681298,1.4999081169853579,-0.18450735204907698,0.09842413679145928
CV-E-B8,2015-TXH1,Full-season-nonleaky,296,1.7838271679763216,1.4231971601104385,-0.040277234567904996,0.1773665739517041
CV-E-B8,2015-TXH1,Pre-flowering-observed,296,1.7877595833108453,1.4516517879546804,-0.04486883545083842,0.12481237574582198
CV-E-B8,2015-TXH1,Pre-season-G-only,296,1.9313355216549426,1.521415903009534,-0.2194359743723584,0.09523672936584558
CV-E-B8,2015-TXH1,Pre-season-location-history,296,1.8715982644853213,1.5470144711086218,-0.1451669723040454,0.1802258530064166
CV-E-B8,2015-TXH1,Reproductive-stage-observed,296,1.9032376161112843,1.4992379922078054,-0.1842123111395777,0.10496479227923877
CV-E-B8,2015-TXH2,At-flowering-observed,308,2.2705935168442446,1.8532096379259466,-0.8803726661310882,0.08535855131781224
CV-E-B8,2015-TXH2,Full-season-nonleaky,308,2.8438801822416657,2.446814616580032,-1.9497671321353516,0.14339279861700452
CV-E-B8,2015-TXH2,Pre-flowering-observed,308,2.654780975502393,2.2416828887355336,-1.5705291670118138,0.1183297358633827
CV-E-B8,2015-TXH2,Pre-season-G-only,308,2.4922470427088372,2.0781947500023774,-1.2654126494905302,0.07606911448075877
CV-E-B8,2015-TXH2,Pre-season-location-history,308,3.4291003859318905,3.0501606250625075,-3.2886987452494774,0.14317737000929226
