environment,year,city,planting_date,latitude,longitude,coordinate_source,historical_year_city_match,plant_population_proxy,n_plot_records
2014-IAH1,2014,Ames,2014-05-17,41.99653,-93.696188,PHENO,2014-Ames,,1557
2014-ILH1,2014,Urbana,2014-05-06,40.061135,-88.233184,PHENO,2014-Urbana,,462
2014-INH1,2014,West Lafayette,2014-05-25,40.488,-87.006,PHENO,2014-West Lafayette,,477
2014-MNH1,2014,Waseca,2014-05-16,44.06971707,-93.53409096,PHENO,2014-Waseca,,443
2014-MOH2,2014,Columbia,2014-05-05,38.928745,-92.352163,PHENO,2014-Columbia,,495
2014-NEH1,2014,Lincoln,2014-05-16,40.834392,-96.656687,PHENO,2014-Lincoln,,448
2014-NEH2,2014,North Platte,2014-05-15,41.052978,-100.749467,PHENO,2014-North Platte,,458
2014-NYH2,2014,Aurora,2014-05-27,42.73,-76.65,PHENO,2014-Aurora,,479
2014-WIH1,2014,Madison,2014-05-09,43.05706111,-89.53098611,PHENO,2014-Madison,,487
2015-ILH1,2015,Urbana,2015-04-30,40.059337,-88.234116,PHENO,2015-Urbana,,477
2015-INH1,2015,West Lafayette,2015-05-14,40.47666,-87.0004,PHENO,2015-West Lafayette,,487
2015-KSH1,2015,Manhattan,2015-04-23,39.216975,-96.605733,PHENO,2015-Manhattan,,476
2015-MNH1,2015,Waseca,2015-05-19,44.070847,-93.535534,PHENO,2015-Waseca,,486
2015-MOH1,2015,Columbia,2015-05-04,38.896247,-92.208164,PHENO,2015-Columbia,,487
2015-MOH2,2015,Columbia,2015-05-05,38.896247,-92.208164,PHENO,2015-Columbia,,484
2015-NEH2,2015,North Platte,2015-04-23,41.05136,-100.7463,PHENO,2015-North Platte,,466
2015-NEH3,2015,Brule,2015-06-10,41.158431,-101.988324,PHENO,2015-Brule,,267
2015-NYH2,2015,Aurora,2015-05-07,42.7328868,-76.6520083,PHENO,2015-Aurora,,457
2015-NYH3,2015,Aurora,2015-05-23,42.723533,-76.656415,PHENO,2015-Aurora,,483
2015-OHH1,2015,South Charleston,2015-05-21,39.855359,-83.665356,PHENO,2015-South Charleston,,490
2015-SDH1,2015,New Underwood,2015-05-22,44.208912,-102.929751,PHENO,2015-New Underwood,,454
2015-TXH1,2015,College Station,2015-03-07,30.546919,-96.434358,PHENO,2015-College Station-Early,,450
2015-TXH2,2015,College Station,2015-04-25,30.546919,-96.434358,PHENO,2015-College Station-Late,,480
2016-DEH1,2016,Georgetown,2016-04-25,38.648453,-75.45161,PHENO,2016-Georgetown,,462
2016-GAH2,2016,Watkinsville,2016-05-25,33.71722,-83.31133,PHENO,2016-Watkinsville,,140
2016-IAH2,2016,Carroll,2016-04-25,42.06591034,-94.7274477,PHENO,2016-Carroll,,785
2016-IAH3,2016,Keystone,2016-04-24,41.987383,-92.2601563,PHENO,2016-Keystone,,771
2016-IAH4,2016,Ames,2016-04-26,41.99750188,-93.69989887,PHENO,2016-Ames,,811
2016-ILH1,2016,Urbana,2016-04-26,40.061188,-88.234042,PHENO,2016-Urbana,,334
