scenario,test_year,environment,train_year_min,train_year_max,n_training_years,admission
forward_year_2016,2016,2016-DEH1,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-GAH2,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-IAH2,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-IAH3,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-IAH4,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-ILH1,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-INH1,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-MIH1,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-MNH1,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-NEH1,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-NEH4,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-NYH1,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-NYH2,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-NYH2L,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-TXH1,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-TXH2,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-WIH1,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2016,2016,2016-WIH2,2014,2015,2,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-COH1,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-DEH1,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-GAH1,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-GAH2,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-IAH4,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-ILH1,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-INH1,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-MIH1,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-MNH1,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-NYH1,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-NYH2,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-NYH3,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-TXH1-Dry,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-TXH1-Early,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-TXH1-Late,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-TXH2,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-WIH1,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2017,2017,2017-WIH2,2014,2016,3,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-ARH2,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-DEH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-IAH2,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-IAH4,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-ILH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-INH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-MIH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-MNH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-MOH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-NCH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-NYH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-NYH2,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-NYH3,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-OHH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-SCH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-TXH1-Dry,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-TXH1-Early,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-TXH1-Late,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-TXH2,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-WIH1,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2018,2018,2018-WIH2,2014,2017,4,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-DEH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-GAH2,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-IAH4,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-ILH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-INH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-MIH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-MNH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-MOH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-NEH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-NEH2,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-NEH2L,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-NYH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-NYH2,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-NYH3,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-OHH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-SCH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-TXH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-TXH2,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-TXH3,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-WIH1,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2019,2019,2019-WIH2,2014,2018,5,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-DEH1,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-INH1,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-MIH1,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-MNH1,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-NEH1,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-NEH2,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-NYH1,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-NYH2,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-NYH3,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-OHH1,2014,2019,6,FORWARD_YEAR_LOCKED
forward_year_2020,2020,2020-SCH1,2014,2019,6,FORWARD_YEAR_LOCKED
