coordinate_key,latitude,longitude,first_date,last_date,n_days,missing_fraction,parameters,source,time_standard
30.5380_-96.4291,30.538042,-96.429056,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
30.5386_-96.4268,30.538575,-96.426775,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
30.5389_-96.4285,30.538862,-96.428477,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
30.5453_-96.4319,30.545296,-96.431858,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
30.5453_-96.4326,30.54535,-96.432581,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
30.5463_-96.4330,30.546318,-96.4329965,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
30.5469_-96.4344,30.546919,-96.434358,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
31.5073_-83.5583,31.507325,-83.558322,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
33.7172_-83.3113,33.71722,-83.31133,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
33.7196_-83.3084,33.71955986,-83.30836191,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
33.7206_-83.3077,33.72056059,-83.30774042,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
33.7269_-83.2991,33.726878,-83.299077,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
34.1847_-101.9494,34.18466667,-101.9494444,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
34.6217_-82.7365,34.621695,-82.736499,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
34.6225_-82.7368,34.622457,-82.736821,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
34.6226_-82.7380,34.62263,-82.737966,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
34.6230_-82.7371,34.623028,-82.737083,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
35.6665_-78.4922,35.666544,-78.492166,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
35.6749_-90.0766,35.67486,-90.076613,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
38.6301_-75.4661,38.630142,-75.466098,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
38.6350_-75.4550,38.635,-75.455,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
38.6485_-75.4516,38.648453,-75.45161,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
38.6492_-75.4502,38.649238,-75.450214,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
38.6712_-75.4331,38.6712,-75.4331,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
38.6712_-75.4331,38.67123,-75.433096,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
38.8949_-92.2088,38.89492,-92.20878,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
38.8962_-92.2082,38.896247,-92.208164,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
38.8972_-92.2094,38.897217,-92.20935,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
38.9287_-92.3522,38.928745,-92.352163,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
39.2170_-96.6057,39.216975,-96.605733,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
39.8554_-83.6654,39.855359,-83.665356,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
39.8565_-83.6703,39.856512,-83.670306,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
39.8566_-83.6703,39.856553,-83.670296,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
39.8568_-83.6740,39.856831,-83.673986,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.0583_-88.2297,40.058299,-88.229683,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.0593_-88.2341,40.059337,-88.234116,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.0611_-88.2332,40.061135,-88.233184,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.0612_-88.2340,40.061188,-88.234042,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.0634_-88.2300,40.063415,-88.230049,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.0636_-88.2325,40.0636014285714,-88.2324767142857,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.4766_-86.9972,40.476553,-86.99722,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.4767_-87.0004,40.47666,-87.0004,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.4775_-86.9998,40.477486,-86.99984,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.4788_-86.9898,40.4787595,-86.98982,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.4793_-86.9890,40.479273,-86.989045,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.4793_-86.9901,40.479279,-86.990142,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.4798_-86.9968,40.4797634375,-86.996804,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
40.4880_-87.0060,40.488,-87.006,2000-01-01,2021-12-31,8036,0.0,T2M|T2M_MIN|T2M_MAX|PRECTOTCORR|ALLSKY_SFC_SW_DWN|RH2M|WS2M,NASA POWER Daily API,LST
