environment,year,city,horizon,issuance_date,planting_date,uses_current_year_realized_weather,max_current_year_weather_date_used,uses_future_weather,uses_observed_phenology,historical_weather_years_used,plant_population_proxy,ssurgo_available,ssurgo_mukey,ssurgo_mapunit,ssurgo_component,wx_t2m,wx_t2m_min,wx_t2m_max,wx_prectotcorr,wx_allsky_sfc_sw_dwn,wx_rh2m,wx_ws2m,wx_n_days
2014-IAH1,2014,Ames,T0_preseason,2014-05-17,2014-05-17,False,,False,False,10,,True,2922031,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",Canisteo,21.48134426229508,3.76,39.8,2391.62,13609.84,72.63083606557377,2.9331803278688526,610
2014-IAH1,2014,Ames,T1_30DAP,2014-06-16,2014-05-17,True,2014-06-16,False,False,0,,True,2922031,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",Canisteo,19.627419354838707,3.62,28.96,112.1,683.2,73.53483870967742,2.8409677419354837,31
2014-IAH1,2014,Ames,T2_60DAP_reproductive_window_proxy,2014-07-16,2014-05-17,True,2014-07-16,False,False,0,,True,2922031,"Canisteo clay loam, Bemis moraine, 0 to 2 percent slopes",Canisteo,20.66262295081967,3.62,30.26,315.78,1290.66,77.33803278688526,2.7165573770491807,61
2014-ILH1,2014,Urbana,T0_preseason,2014-05-06,2014-05-06,False,,False,False,10,,True,242963,"Drummer silty clay loam, 0 to 2 percent slopes",Drummer,20.542737704918032,1.42,41.49,2263.3,13201.85,76.77383606557376,2.8275573770491804,610
2014-ILH1,2014,Urbana,T1_30DAP,2014-06-05,2014-05-06,True,2014-06-05,False,False,0,,True,242963,"Drummer silty clay loam, 0 to 2 percent slopes",Drummer,19.096129032258066,2.15,29.18,134.45,671.01,77.17806451612901,3.092258064516129,31
2014-ILH1,2014,Urbana,T2_60DAP_reproductive_window_proxy,2014-07-05,2014-05-06,True,2014-07-05,False,False,0,,True,242963,"Drummer silty clay loam, 0 to 2 percent slopes",Drummer,20.688524590163933,2.15,30.01,284.33,1343.8000000000002,78.12262295081968,2.889344262295082,61
2014-INH1,2014,West Lafayette,T0_preseason,2014-05-25,2014-05-25,False,,False,False,10,,True,163953,Drummer soils,Drummer,22.25072131147541,4.63,40.52,2349.3199999999997,13686.83,77.54901639344261,2.467196721311475,610
2014-INH1,2014,West Lafayette,T1_30DAP,2014-06-24,2014-05-25,True,2014-06-24,False,False,0,,True,163953,Drummer soils,Drummer,21.897096774193546,9.4,30.84,141.82,711.8800000000001,78.11548387096774,2.6354838709677417,31
2014-INH1,2014,West Lafayette,T2_60DAP_reproductive_window_proxy,2014-07-24,2014-05-25,True,2014-07-24,False,False,0,,True,163953,Drummer soils,Drummer,21.75967213114754,9.4,30.84,209.77,1410.64,77.48196721311473,2.5049180327868856,61
2014-MNH1,2014,Waseca,T0_preseason,2014-05-16,2014-05-16,False,,False,False,10,,True,455433,"Glencoe clay loam, 0 to 1 percent slopes",Glencoe,20.128262295081967,0.44,39.56,2172.0699999999997,13382.19,70.28252459016393,3.1301967213114756,610
