coordinate_key,latitude,longitude,source,ssurgo_available,mukey,musym,muname,cokey,compname,comppct_r,taxorder,taxsuborder,taxgrtgroup,taxsubgrp
30.5380_-96.4291,30.538042,-96.429056,USDA-NRCS Soil Data Access / SSURGO,True,363426,BaA,"Belk clay, 0 to 1 percent slopes, rarely flooded",26787917,Belk,90,Vertisols,Uderts,Hapluderts,Entic Hapluderts
30.5386_-96.4268,30.538575,-96.426775,USDA-NRCS Soil Data Access / SSURGO,True,363426,BaA,"Belk clay, 0 to 1 percent slopes, rarely flooded",26787917,Belk,90,Vertisols,Uderts,Hapluderts,Entic Hapluderts
30.5389_-96.4285,30.538862,-96.428477,USDA-NRCS Soil Data Access / SSURGO,True,363426,BaA,"Belk clay, 0 to 1 percent slopes, rarely flooded",26787917,Belk,90,Vertisols,Uderts,Hapluderts,Entic Hapluderts
30.5453_-96.4319,30.545296,-96.431858,USDA-NRCS Soil Data Access / SSURGO,True,363467,ShA,"Ships clay, 0 to 1 percent slopes, rarely flooded",26788038,Ships,85,Vertisols,Uderts,Hapluderts,Chromic Hapluderts
30.5453_-96.4326,30.54535,-96.432581,USDA-NRCS Soil Data Access / SSURGO,True,363467,ShA,"Ships clay, 0 to 1 percent slopes, rarely flooded",26788038,Ships,85,Vertisols,Uderts,Hapluderts,Chromic Hapluderts
30.5463_-96.4330,30.546318,-96.4329965,USDA-NRCS Soil Data Access / SSURGO,True,363467,ShA,"Ships clay, 0 to 1 percent slopes, rarely flooded",26788038,Ships,85,Vertisols,Uderts,Hapluderts,Chromic Hapluderts
30.5469_-96.4344,30.546919,-96.434358,USDA-NRCS Soil Data Access / SSURGO,True,363467,ShA,"Ships clay, 0 to 1 percent slopes, rarely flooded",26788038,Ships,85,Vertisols,Uderts,Hapluderts,Chromic Hapluderts
31.5073_-83.5583,31.507325,-83.558322,USDA-NRCS Soil Data Access / SSURGO,True,324953,TfB,"Tifton loamy sand, 2 to 5 percent slopes",26504421,Tifton,85,Ultisols,Udults,Kandiudults,Plinthic Kandiudults
33.7172_-83.3113,33.71722,-83.31133,USDA-NRCS Soil Data Access / SSURGO,True,2580475,ChA,"Chewacla silt loam, 0 to 2 percent slopes, frequently flooded",26787080,Chewacla,95,Inceptisols,Udepts,Dystrudepts,Fluvaquentic Dystrudepts
33.7196_-83.3084,33.71955986,-83.30836191,USDA-NRCS Soil Data Access / SSURGO,True,2580504,WeA,"Wehadkee loam, 0 to 2 percent slopes, frequently flooded",26787077,Wehadkee,70,Inceptisols,Aquepts,Endoaquepts,Fluventic Endoaquepts
33.7206_-83.3077,33.72056059,-83.30774042,USDA-NRCS Soil Data Access / SSURGO,True,2580475,ChA,"Chewacla silt loam, 0 to 2 percent slopes, frequently flooded",26787080,Chewacla,95,Inceptisols,Udepts,Dystrudepts,Fluvaquentic Dystrudepts
33.7269_-83.2991,33.726878,-83.299077,USDA-NRCS Soil Data Access / SSURGO,True,2580506,WkB,"Wickham sandy loam, 2 to 6 percent slopes, rarely flooded",26787081,Wickham,95,Ultisols,Udults,Hapludults,Typic Hapludults
34.1847_-101.9494,34.18466667,-101.9494444,USDA-NRCS Soil Data Access / SSURGO,True,366915,PuA,"Pullman clay loam, 0 to 1 percent slopes",27052079,Pullman,90,Mollisols,Ustolls,Paleustolls,Torrertic Paleustolls
34.6217_-82.7365,34.621695,-82.736499,USDA-NRCS Soil Data Access / SSURGO,True,131793,CdB,"Cecil sandy loam, 2 to 6 percent slopes",26437822,Cecil,95,Ultisols,Udults,Kanhapludults,Typic Kanhapludults
34.6225_-82.7368,34.622457,-82.736821,USDA-NRCS Soil Data Access / SSURGO,True,131793,CdB,"Cecil sandy loam, 2 to 6 percent slopes",26437822,Cecil,95,Ultisols,Udults,Kanhapludults,Typic Kanhapludults
34.6226_-82.7380,34.62263,-82.737966,USDA-NRCS Soil Data Access / SSURGO,True,131793,CdB,"Cecil sandy loam, 2 to 6 percent slopes",26437822,Cecil,95,Ultisols,Udults,Kanhapludults,Typic Kanhapludults
34.6230_-82.7371,34.623028,-82.737083,USDA-NRCS Soil Data Access / SSURGO,True,131793,CdB,"Cecil sandy loam, 2 to 6 percent slopes",26437822,Cecil,95,Ultisols,Udults,Kanhapludults,Typic Kanhapludults
35.6665_-78.4922,35.666544,-78.492166,USDA-NRCS Soil Data Access / SSURGO,True,113547,NoB,"Norfolk loamy sand, 2 to 6 percent slopes",26318182,Norfolk,83,Ultisols,Udults,Kandiudults,Typic Kandiudults
35.6749_-90.0766,35.67486,-90.076613,USDA-NRCS Soil Data Access / SSURGO,True,564359,So,Steele loamy sand,27571559,Steele,80,Entisols,Fluvents,Udifluvents,Aquic Udifluvents
38.6301_-75.4661,38.630142,-75.466098,USDA-NRCS Soil Data Access / SSURGO,True,1603423,IeA,"Ingleside loamy sand, 0 to 2 percent slopes",27481873,Ingleside,75,Ultisols,Udults,Hapludults,Typic Hapludults
38.6350_-75.4550,38.635,-75.455,USDA-NRCS Soil Data Access / SSURGO,True,1603460,PpA,"Pepperbox loamy sand, 0 to 2 percent slopes",27481961,Pepperbox,80,Ultisols,Udults,Paleudults,Aquic Arenic Paleudults
38.6485_-75.4516,38.648453,-75.45161,USDA-NRCS Soil Data Access / SSURGO,True,1603413,HmAd,"Hammonton loamy sand, 0 to 2 percent slopes, Northern Tidewater Area",27481817,Hammonton,85,Ultisols,Udults,Hapludults,Aquic Hapludults
38.6492_-75.4502,38.649238,-75.450214,USDA-NRCS Soil Data Access / SSURGO,True,1603413,HmAd,"Hammonton loamy sand, 0 to 2 percent slopes, Northern Tidewater Area",27481817,Hammonton,85,Ultisols,Udults,Hapludults,Aquic Hapludults
38.6712_-75.4331,38.6712,-75.4331,USDA-NRCS Soil Data Access / SSURGO,True,1603440,KsA,"Klej loamy sand, 0 to 2 percent slopes",27481922,Klej,70,Entisols,Psamments,Quartzipsamments,Aquic Quartzipsamments
38.6712_-75.4331,38.67123,-75.433096,USDA-NRCS Soil Data Access / SSURGO,True,1603440,KsA,"Klej loamy sand, 0 to 2 percent slopes",27481922,Klej,70,Entisols,Psamments,Quartzipsamments,Aquic Quartzipsamments
38.8949_-92.2088,38.89492,-92.20878,USDA-NRCS Soil Data Access / SSURGO,True,2532763,50059,"Mexico silt loam, 1 to 4 percent slopes, eroded",26662057,Mexico,85,Alfisols,Aqualfs,Epiaqualfs,Vertic Epiaqualfs
38.8962_-92.2082,38.896247,-92.208164,USDA-NRCS Soil Data Access / SSURGO,True,2532763,50059,"Mexico silt loam, 1 to 4 percent slopes, eroded",26662057,Mexico,85,Alfisols,Aqualfs,Epiaqualfs,Vertic Epiaqualfs
38.8972_-92.2094,38.897217,-92.20935,USDA-NRCS Soil Data Access / SSURGO,True,2532763,50059,"Mexico silt loam, 1 to 4 percent slopes, eroded",26662057,Mexico,85,Alfisols,Aqualfs,Epiaqualfs,Vertic Epiaqualfs
38.9287_-92.3522,38.928745,-92.352163,USDA-NRCS Soil Data Access / SSURGO,True,2533525,66014,"Haymond silt loam, 0 to 3 percent slopes, frequently flooded",26662013,Haymond,90,Inceptisols,Udepts,Eutrudepts,Dystric Fluventic Eutrudepts
39.2170_-96.6057,39.216975,-96.605733,USDA-NRCS Soil Data Access / SSURGO,True,1472339,7682,"Wymore silty clay loam, 1 to 3 percent slopes, eroded",26334634,Wymore,90,Mollisols,Udolls,Argiudolls,Aquertic Argiudolls
39.8554_-83.6654,39.855359,-83.665356,USDA-NRCS Soil Data Access / SSURGO,True,171729,Ko,"Kokomo silty clay loam, 0 to 2 percent slopes",26391366,Kokomo,90,Mollisols,Aquolls,Argiaquolls,Typic Argiaquolls
39.8565_-83.6703,39.856512,-83.670306,USDA-NRCS Soil Data Access / SSURGO,True,171779,SuA,"Strawn-Crosby complex, 0 to 2 percent slopes",26391501,Strawn,55,Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs
39.8566_-83.6703,39.856553,-83.670296,USDA-NRCS Soil Data Access / SSURGO,True,171779,SuA,"Strawn-Crosby complex, 0 to 2 percent slopes",26391501,Strawn,55,Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs
39.8568_-83.6740,39.856831,-83.673986,USDA-NRCS Soil Data Access / SSURGO,True,171779,SuA,"Strawn-Crosby complex, 0 to 2 percent slopes",26391501,Strawn,55,Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs
40.0583_-88.2297,40.058299,-88.229683,USDA-NRCS Soil Data Access / SSURGO,True,242965,154A,"Flanagan silt loam, 0 to 2 percent slopes",26937193,Flanagan,95,Mollisols,Udolls,Argiudolls,Aquic Argiudolls
40.0593_-88.2341,40.059337,-88.234116,USDA-NRCS Soil Data Access / SSURGO,True,242963,152A,"Drummer silty clay loam, 0 to 2 percent slopes",26937199,Drummer,94,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
40.0611_-88.2332,40.061135,-88.233184,USDA-NRCS Soil Data Access / SSURGO,True,242963,152A,"Drummer silty clay loam, 0 to 2 percent slopes",26937199,Drummer,94,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
40.0612_-88.2340,40.061188,-88.234042,USDA-NRCS Soil Data Access / SSURGO,True,242965,154A,"Flanagan silt loam, 0 to 2 percent slopes",26937193,Flanagan,95,Mollisols,Udolls,Argiudolls,Aquic Argiudolls
40.0634_-88.2300,40.063415,-88.230049,USDA-NRCS Soil Data Access / SSURGO,True,242965,154A,"Flanagan silt loam, 0 to 2 percent slopes",26937193,Flanagan,95,Mollisols,Udolls,Argiudolls,Aquic Argiudolls
40.0636_-88.2325,40.0636014285714,-88.2324767142857,USDA-NRCS Soil Data Access / SSURGO,True,242966,171B,"Catlin silt loam, 2 to 5 percent slopes",26937191,Catlin,99,Mollisols,Udolls,Argiudolls,Oxyaquic Argiudolls
40.4766_-86.9972,40.476553,-86.99722,USDA-NRCS Soil Data Access / SSURGO,True,163904,Cm,Chalmers silty clay loam,26449614,Chalmers,100,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
40.4767_-87.0004,40.47666,-87.0004,USDA-NRCS Soil Data Access / SSURGO,True,164263,RcA,"Raub-Brenton complex, 0 to 1 percent slopes",26449712,Raub,50,Mollisols,Udolls,Argiudolls,Aquic Argiudolls
40.4775_-86.9998,40.477486,-86.99984,USDA-NRCS Soil Data Access / SSURGO,True,164263,RcA,"Raub-Brenton complex, 0 to 1 percent slopes",26449712,Raub,50,Mollisols,Udolls,Argiudolls,Aquic Argiudolls
40.4788_-86.9898,40.4787595,-86.98982,USDA-NRCS Soil Data Access / SSURGO,True,164263,RcA,"Raub-Brenton complex, 0 to 1 percent slopes",26449712,Raub,50,Mollisols,Udolls,Argiudolls,Aquic Argiudolls
40.4793_-86.9890,40.479273,-86.989045,USDA-NRCS Soil Data Access / SSURGO,True,163904,Cm,Chalmers silty clay loam,26449614,Chalmers,100,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
40.4793_-86.9901,40.479279,-86.990142,USDA-NRCS Soil Data Access / SSURGO,True,164263,RcA,"Raub-Brenton complex, 0 to 1 percent slopes",26449712,Raub,50,Mollisols,Udolls,Argiudolls,Aquic Argiudolls
40.4798_-86.9968,40.4797634375,-86.996804,USDA-NRCS Soil Data Access / SSURGO,True,163904,Cm,Chalmers silty clay loam,26449614,Chalmers,100,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
40.4880_-87.0060,40.488,-87.006,USDA-NRCS Soil Data Access / SSURGO,True,163953,Du,Drummer soils,26449628,Drummer,70,Mollisols,Aquolls,Endoaquolls,Typic Endoaquolls
