genotype_id,fold
W001,3
W002,0
W003,0
W004,2
W005,3
W006,2
W007,4
W008,0
W009,2
W010,4
W011,0
W012,0
W013,3
W014,3
W015,3
W016,0
W017,4
W018,3
W019,2
W020,2
W021,3
W022,2
W023,2
W024,4
W025,4
W026,0
W027,2
W028,0
W029,0
W030,3
W031,4
W032,1
W033,1
W034,4
W035,3
W036,2
W037,2
W038,2
W039,2
W040,3
W041,3
W042,1
W043,2
W044,4
W045,1
W046,4
W047,3
W048,1
W049,0
W050,1
W051,1
W052,3
W053,4
W054,0
W055,0
W056,3
W057,3
W058,1
W059,2
W060,1
W061,1
W062,4
W063,4
W064,1
W065,0
W066,1
W067,4
W068,1
W069,1
W070,4
W071,3
W072,2
W073,4
W074,0
W075,0
W076,1
W077,3
W078,0
W079,4
W080,4
W081,1
W082,2
W083,2
W084,0
W085,3
W086,3
W087,4
W088,4
W089,4
W090,4
W091,2
W092,2
W093,0
W094,4
W095,2
W096,3
W097,4
W098,3
W099,4
W100,0
W101,2
W102,3
W103,0
W104,1
W105,4
W106,1
W107,0
W108,2
W109,3
W110,3
W111,3
W112,4
W113,0
W114,0
W115,1
W116,3
W117,0
W118,0
W119,0
W120,3
W121,3
W122,3
W123,1
W124,3
W125,4
W126,1
W127,3
W128,2
W129,1
W130,2
W131,0
W132,2
W133,2
W134,3
W135,3
W136,1
W137,1
W138,3
W139,3
W140,3
W141,0
W142,3
W143,4
W144,0
W145,3
W146,1
W147,1
W148,0
W149,3
W150,4
W151,3
W152,2
W153,4
W154,2
W155,1
W156,0
W157,2
W158,4
W159,4
W160,4
W161,1
W162,2
W163,1
W164,4
W165,4
W166,3
W167,4
W168,3
W169,0
W170,1
W171,1
W172,2
W173,3
W174,1
W175,1
W176,2
W177,3
W178,2
W179,0
W180,2
W181,0
W182,1
W183,1
W184,4
W185,1
W186,3
W187,4
W188,2
W189,0
W190,0
W191,3
W192,2
W193,0
W194,3
W195,1
W196,0
W197,0
W198,3
W199,1
W200,1
W201,3
W202,4
W203,2
W204,3
W205,4
W206,3
W207,4
W208,4
W209,1
W210,1
W211,4
W212,3
W213,3
W214,2
W215,1
W216,0
W217,0
W218,4
W219,3
W220,2
W221,2
W222,0
W223,4
W224,1
