scenario,held_out_environment,environment_fold,genotype_fold,n_test_genotypes,n_test_cells,n_train_genotypes,n_train_cells,admission
env_ME1__gfold_0,ME1,0,0,120,120,479,1437,stress_test_only
env_ME1__gfold_1,ME1,0,1,120,120,479,1437,stress_test_only
env_ME1__gfold_2,ME1,0,2,120,120,479,1437,stress_test_only
env_ME1__gfold_3,ME1,0,3,120,120,479,1437,stress_test_only
env_ME1__gfold_4,ME1,0,4,119,119,480,1440,stress_test_only
env_ME2__gfold_0,ME2,1,0,120,120,479,1437,stress_test_only
env_ME2__gfold_1,ME2,1,1,120,120,479,1437,stress_test_only
env_ME2__gfold_2,ME2,1,2,120,120,479,1437,stress_test_only
env_ME2__gfold_3,ME2,1,3,120,120,479,1437,stress_test_only
env_ME2__gfold_4,ME2,1,4,119,119,480,1440,stress_test_only
env_ME3__gfold_0,ME3,2,0,120,120,479,1437,stress_test_only
env_ME3__gfold_1,ME3,2,1,120,120,479,1437,stress_test_only
env_ME3__gfold_2,ME3,2,2,120,120,479,1437,stress_test_only
env_ME3__gfold_3,ME3,2,3,120,120,479,1437,stress_test_only
env_ME3__gfold_4,ME3,2,4,119,119,480,1440,stress_test_only
env_ME4__gfold_0,ME4,3,0,120,120,479,1437,stress_test_only
env_ME4__gfold_1,ME4,3,1,120,120,479,1437,stress_test_only
env_ME4__gfold_2,ME4,3,2,120,120,479,1437,stress_test_only
env_ME4__gfold_3,ME4,3,3,120,120,479,1437,stress_test_only
env_ME4__gfold_4,ME4,3,4,119,119,480,1440,stress_test_only
