eta,inner_grouped_rmse,rmse_minus_selected,regime,scenario
0.0,0.9733915455312872,0.05290909927712728,CV-G,gfold_0
0.5,0.9325973607739401,0.012114914519780196,CV-G,gfold_0
0.67,0.9276361982409053,0.007153751986745394,CV-G,gfold_0
0.8,0.9245307048042565,0.004048258550096606,CV-G,gfold_0
0.9,0.9223905091759834,0.00190806292182355,CV-G,gfold_0
0.95,0.921400159098251,0.0009177128440911453,CV-G,gfold_0
0.975,0.920930475116243,0.00044802886208317183,CV-G,gfold_0
0.98,0.9208389899933485,0.00035654373918858617,CV-G,gfold_0
0.99,0.9206587549013362,0.00017630864717632644,CV-G,gfold_0
0.995,0.9205700874439846,8.764118982473867e-05,CV-G,gfold_0
1.0,0.9204824462541599,0.0,CV-G,gfold_0
0.0,0.9496857910014476,0.059704116551848485,CV-G,gfold_1
0.5,0.9008030355925623,0.01082136114296317,CV-G,gfold_1
0.67,0.8959103383414064,0.005928663891807351,CV-G,gfold_1
0.8,0.8930673350721777,0.0030856606225786454,CV-G,gfold_1
0.9,0.8912763464779372,0.0012946720283381064,CV-G,gfold_1
0.95,0.8905505013177996,0.0005688268682004782,CV-G,gfold_1
0.975,0.8902432480983966,0.00026157364879753064,CV-G,gfold_1
0.98,0.8901870261322338,0.00020535168263469128,CV-G,gfold_1
0.99,0.8900803028362704,9.862838667129559e-05,CV-G,gfold_1
0.995,0.8900299393324965,4.826488289744191e-05,CV-G,gfold_1
1.0,0.8899816744495991,0.0,CV-G,gfold_1
0.0,0.9675085380429442,0.055270935927255294,CV-G,gfold_2
0.5,0.9243462549735485,0.012108652857859559,CV-G,gfold_2
0.67,0.9193004627957145,0.0070628606800255955,CV-G,gfold_2
0.8,0.9161769028060426,0.003939300690353642,CV-G,gfold_2
0.9,0.9140668136288584,0.0018292115131695041,CV-G,gfold_2
0.95,0.9131093501810044,0.0008717480653154253,CV-G,gfold_2
0.975,0.9126609876472279,0.00042338553153897784,CV-G,gfold_2
0.98,0.912574164454611,0.0003365623389220973,CV-G,gfold_2
0.99,0.9124036522463731,0.00016605013068415886,CV-G,gfold_2
0.995,0.9123200466469319,8.244453124295337e-05,CV-G,gfold_2
1.0,0.9122376021156889,0.0,CV-G,gfold_2
0.0,0.9586925634944982,0.05102341187094894,CV-G,gfold_3
0.5,0.9125009983202387,0.004831846696689457,CV-G,gfold_3
0.67,0.9094417552165623,0.0017726035930131223,CV-G,gfold_3
0.8,0.9081028007050377,0.00043364908148846304,CV-G,gfold_3
0.9,0.9076691516235492,0.0,CV-G,gfold_3
0.95,0.9077078176346692,3.866601112001433e-05,CV-G,gfold_3
0.975,0.9078109630117432,0.00014181138819402417,CV-G,gfold_3
0.98,0.9078393833180292,0.0001702316944799387,CV-G,gfold_3
0.99,0.907904689666823,0.00023553804327380856,CV-G,gfold_3
0.995,0.9079417617127593,0.0002726100892100902,CV-G,gfold_3
1.0,0.9079819111282664,0.00031275950471720826,CV-G,gfold_3
0.0,0.9443926430003167,0.0625825426717912,CV-G,gfold_4
0.5,0.8873551932373777,0.005545092908852189,CV-G,gfold_4
0.67,0.8840873431387221,0.002277242810196589,CV-G,gfold_4
0.8,0.8824275883829726,0.0006174880544471684,CV-G,gfold_4
0.9,0.8818370644687393,2.6964140213858734e-05,CV-G,gfold_4
0.95,0.8818101003285255,0.0,CV-G,gfold_4
0.975,0.8818798008171183,6.970048859278322e-05,CV-G,gfold_4
0.98,0.8819012921905715,9.119186204598062e-05,CV-G,gfold_4
0.99,0.8819523753521981,0.00014227502367258893,CV-G,gfold_4
0.995,0.881982125828939,0.0001720255004135085,CV-G,gfold_4
1.0,0.882014788035904,0.00020468770737858133,CV-G,gfold_4
0.0,0.9711902459029546,0.04775792244329602,CV2,sparse_cell
0.5,0.9332455184493335,0.009813194989674923,CV2,sparse_cell
0.67,0.9278349861108761,0.0044026626512175815,CV2,sparse_cell
0.8,0.9250104141449832,0.0015780906853246623,CV2,sparse_cell
0.9,0.9237110113936986,0.0002786879340400672,CV2,sparse_cell
0.95,0.9234425806076344,1.0257147975867298e-05,CV2,sparse_cell
0.975,0.9234323234596585,0.0,CV2,sparse_cell
0.98,0.9234417097156097,9.38625595114928e-06,CV2,sparse_cell
0.99,0.9234728469416665,4.05234820080036e-05,CV2,sparse_cell
0.995,0.923494853446026,6.252998636746554e-05,CV2,sparse_cell
1.0,0.9235213402885452,8.901682888662332e-05,CV2,sparse_cell
