gamma,inner_grouped_rmse,rmse_minus_selected,regime,scenario
0.25,0.9480567754647675,0.027472133603327897,CV-G,gfold_0
0.5,0.9399139241104794,0.019329282249039736,CV-G,gfold_0
1.0,0.9369584247568117,0.016373782895372058,CV-G,gfold_0
2.0,0.9360195094576216,0.015434867596181956,CV-G,gfold_0
3.0,0.9300664451099406,0.009481803248501008,CV-G,gfold_0
4.0,0.926573078719739,0.005988436858299417,CV-G,gfold_0
6.0,0.9232544335349994,0.0026697916735597405,CV-G,gfold_0
8.0,0.9223572155610639,0.001772573699624247,CV-G,gfold_0
12.0,0.9235287217419432,0.002944079880503603,CV-G,gfold_0
16.0,0.9262375734718846,0.005652931610445,CV-G,gfold_0
24.0,0.9327846771429302,0.012200035281490607,CV-G,gfold_0
32.0,0.9296818082332604,0.009097166371820786,CV-G,gfold_0
48.0,0.9239009744455909,0.003316332584151316,CV-G,gfold_0
64.0,0.9214082261892972,0.0008235843278575627,CV-G,gfold_0
96.0,0.9205846418614396,0.0,CV-G,gfold_0
128.0,0.922049851500601,0.0014652096391614133,CV-G,gfold_0
0.25,0.9172062141880675,0.02717151166717946,CV-G,gfold_1
0.5,0.9078762822891507,0.017841579768262728,CV-G,gfold_1
1.0,0.9032004930584148,0.013165790537526756,CV-G,gfold_1
2.0,0.9054877768767179,0.015453074355829877,CV-G,gfold_1
3.0,0.9050011780754602,0.0149664755545722,CV-G,gfold_1
4.0,0.9002631575502386,0.010228455029350547,CV-G,gfold_1
6.0,0.8948470311295637,0.004812328608675642,CV-G,gfold_1
8.0,0.892250232255298,0.002215529734409971,CV-G,gfold_1
12.0,0.8908789559942895,0.0008442534734014462,CV-G,gfold_1
16.0,0.8918335682051505,0.0017988656842624628,CV-G,gfold_1
24.0,0.8962602494512869,0.006225546930398895,CV-G,gfold_1
32.0,0.9016996218682185,0.011664919347330494,CV-G,gfold_1
48.0,0.8997337064139158,0.009699003893027802,CV-G,gfold_1
64.0,0.8950430899475598,0.0050083874266717565,CV-G,gfold_1
96.0,0.8909052990430407,0.0008705965221527112,CV-G,gfold_1
128.0,0.890034702520888,0.0,CV-G,gfold_1
0.25,0.939709696999765,0.027294570529694084,CV-G,gfold_2
0.5,0.9311157561771629,0.018700629707091965,CV-G,gfold_2
1.0,0.9271217740643325,0.014706647594261546,CV-G,gfold_2
2.0,0.929607591905355,0.017192465435284077,CV-G,gfold_2
3.0,0.9234109472760681,0.010995820805997147,CV-G,gfold_2
4.0,0.9196572814479391,0.007242154977868176,CV-G,gfold_2
6.0,0.9157762484092504,0.003361121939179479,CV-G,gfold_2
8.0,0.9143097765335415,0.0018946500634705599,CV-G,gfold_2
12.0,0.9144289796110792,0.002013853141008215,CV-G,gfold_2
16.0,0.9162350680794906,0.0038199416094196748,CV-G,gfold_2
24.0,0.9213555302496678,0.008940403779596817,CV-G,gfold_2
32.0,0.9233710682660079,0.010955941795936952,CV-G,gfold_2
48.0,0.9171609412417598,0.004745814771688894,CV-G,gfold_2
64.0,0.9141917200304059,0.0017765935603349936,CV-G,gfold_2
96.0,0.912415126470071,0.0,CV-G,gfold_2
128.0,0.913014838117037,0.0005997116469660391,CV-G,gfold_2
0.25,0.9257066430207789,0.01824148293637362,CV-G,gfold_3
0.5,0.9197799643155102,0.012314804231104981,CV-G,gfold_3
1.0,0.920419043478588,0.012953883394182797,CV-G,gfold_3
2.0,0.921097910744127,0.013632750659721693,CV-G,gfold_3
3.0,0.9148778730478189,0.007412712963413615,CV-G,gfold_3
4.0,0.9113170993242923,0.0038519392398870256,CV-G,gfold_3
6.0,0.9080990775393039,0.0006339174548986026,CV-G,gfold_3
8.0,0.9074651600844053,0.0,CV-G,gfold_3
12.0,0.9094205263977496,0.0019553663133443644,CV-G,gfold_3
16.0,0.9130768404205374,0.00561168033613213,CV-G,gfold_3
24.0,0.9216105877472935,0.014145427662888288,CV-G,gfold_3
32.0,0.9195227117683501,0.012057551683944845,CV-G,gfold_3
48.0,0.9125194526507922,0.005054292566386898,CV-G,gfold_3
