regime,reference_model,candidate_model,metric,delta_candidate_minus_reference,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_improvement,n_genotype_clusters,n_bootstrap
CV-G,Frozen classical champion,PCA+Kernel,rmse,-0.006622321140966947,-0.019337553519776934,0.0067142810259260815,0.8325,599,2000
CV-G,Frozen classical champion,PCA+Kernel,mae,-0.008809176423179577,-0.020131751406762675,0.003404722734095744,0.9295,599,2000
CV-G,Frozen classical champion,Random Forest,rmse,-0.010553226060742493,-0.023350505880924653,0.0012366271033107975,0.958,599,2000
CV-G,Frozen classical champion,Random Forest,mae,-0.010231386042071633,-0.021394653887777025,0.0008357821940099676,0.9615,599,2000
CV-G,Frozen classical champion,XGBoost,rmse,-0.00800061942109398,-0.019616711010747634,0.0030153024726661077,0.9205,599,2000
CV-G,Frozen classical champion,XGBoost,mae,-0.007731738437579683,-0.01753640178408893,0.0022940311456591217,0.9325,599,2000
CV-G,Frozen classical champion,LightGBM,rmse,-0.005161515658453353,-0.01955312110647101,0.009102934913048283,0.7595,599,2000
CV-G,Frozen classical champion,LightGBM,mae,-0.010849331104224813,-0.02302253608959058,0.001857080554685344,0.9545,599,2000
CV2,Frozen classical champion,PCA+Kernel,rmse,-0.0006861535699144161,-0.02280425614736104,0.02037176577012847,0.5185,599,2000
CV2,Frozen classical champion,PCA+Kernel,mae,-0.009606281540212036,-0.028860536858593706,0.009413135390891681,0.8275,599,2000
CV2,Frozen classical champion,Random Forest,rmse,-0.0029386106808879653,-0.02105495024231443,0.017145925560624803,0.6225,599,2000
CV2,Frozen classical champion,Random Forest,mae,-0.009401792037705636,-0.02856454557461207,0.009350626307989092,0.8345,599,2000
CV2,Frozen classical champion,XGBoost,rmse,-0.0017054329807167923,-0.022430208216504214,0.02033991356038267,0.565,599,2000
CV2,Frozen classical champion,XGBoost,mae,-0.01411190426339437,-0.034495239343435576,0.006974697503281188,0.903,599,2000
CV2,Frozen classical champion,LightGBM,rmse,0.008527438241085483,-0.014850549575706386,0.03430008091011884,0.247,599,2000
CV2,Frozen classical champion,LightGBM,mae,-0.00045162038990176345,-0.02255179451852974,0.022093890941839497,0.5125,599,2000
