regime,scenario,environment,model,n_train,n_test,inner_rmse,selected_params
CV-G,gfold_0,ME1,PCA+Kernel,479,120,0.8899261083334573,"{""alpha"": 1.0, ""n_components"": 20}"
CV-G,gfold_0,ME2,PCA+Kernel,479,120,0.896964061131288,"{""alpha"": 1.0, ""n_components"": 20}"
CV-G,gfold_0,ME3,PCA+Kernel,479,120,0.9407158901445226,"{""alpha"": 1.0, ""n_components"": 50}"
CV-G,gfold_0,ME4,PCA+Kernel,479,120,0.8893311993126082,"{""alpha"": 1.0, ""n_components"": 50}"
CV-G,gfold_0,ME1,Random Forest,479,120,0.8792496256487214,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_0,ME2,Random Forest,479,120,0.9070672381510285,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_0,ME3,Random Forest,479,120,0.9243081756449347,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"
CV-G,gfold_0,ME4,Random Forest,479,120,0.8848588224093762,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_0,ME1,XGBoost,479,120,0.8708549512112762,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_0,ME2,XGBoost,479,120,0.9219426634925896,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_0,ME3,XGBoost,479,120,0.9364464637510554,"{""max_depth"": 2, ""min_child_weight"": 3}"
CV-G,gfold_0,ME4,XGBoost,479,120,0.9270653967898382,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_0,ME1,LightGBM,479,120,0.8900457003336986,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV-G,gfold_0,ME2,LightGBM,479,120,0.9036674780186306,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV-G,gfold_0,ME3,LightGBM,479,120,0.9718122453964353,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV-G,gfold_0,ME4,LightGBM,479,120,0.8732596752210932,"{""min_child_samples"": 20, ""num_leaves"": 31}"
CV-G,gfold_1,ME1,PCA+Kernel,479,120,0.9116392166889725,"{""alpha"": 1.0, ""n_components"": 50}"
CV-G,gfold_1,ME2,PCA+Kernel,479,120,0.9082314482777726,"{""alpha"": 1.0, ""n_components"": 20}"
CV-G,gfold_1,ME3,PCA+Kernel,479,120,0.9301742191684595,"{""alpha"": 1.0, ""n_components"": 20}"
CV-G,gfold_1,ME4,PCA+Kernel,479,120,0.9098870881175353,"{""alpha"": 1.0, ""n_components"": 50}"
CV-G,gfold_1,ME1,Random Forest,479,120,0.8767728577815178,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_1,ME2,Random Forest,479,120,0.9428413364308131,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_1,ME3,Random Forest,479,120,0.9270689191518612,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"
CV-G,gfold_1,ME4,Random Forest,479,120,0.9044254309249037,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_1,ME1,XGBoost,479,120,0.8776751194791926,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_1,ME2,XGBoost,479,120,0.9110638525704878,"{""max_depth"": 2, ""min_child_weight"": 3}"
CV-G,gfold_1,ME3,XGBoost,479,120,0.9272445364570294,"{""max_depth"": 2, ""min_child_weight"": 3}"
CV-G,gfold_1,ME4,XGBoost,479,120,0.8826923998258243,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_1,ME1,LightGBM,479,120,0.9079258387208597,"{""min_child_samples"": 20, ""num_leaves"": 31}"
CV-G,gfold_1,ME2,LightGBM,479,120,0.9273169406590275,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV-G,gfold_1,ME3,LightGBM,479,120,0.9483802958994595,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV-G,gfold_1,ME4,LightGBM,479,120,0.899687233598375,"{""min_child_samples"": 20, ""num_leaves"": 31}"
CV-G,gfold_2,ME1,PCA+Kernel,479,120,0.8980371793546701,"{""alpha"": 1.0, ""n_components"": 50}"
CV-G,gfold_2,ME2,PCA+Kernel,479,120,0.9520263613002481,"{""alpha"": 1.0, ""n_components"": 20}"
CV-G,gfold_2,ME3,PCA+Kernel,479,120,0.9617888002015395,"{""alpha"": 1.0, ""n_components"": 20}"
CV-G,gfold_2,ME4,PCA+Kernel,479,120,0.9121742365317981,"{""alpha"": 1.0, ""n_components"": 50}"
CV-G,gfold_2,ME1,Random Forest,479,120,0.8756620085030247,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"
CV-G,gfold_2,ME2,Random Forest,479,120,0.9326455025733639,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"
CV-G,gfold_2,ME3,Random Forest,479,120,0.9550418386122,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"
CV-G,gfold_2,ME4,Random Forest,479,120,0.9002890649388213,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_2,ME1,XGBoost,479,120,0.8794802199058757,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_2,ME2,XGBoost,479,120,0.925822346348847,"{""max_depth"": 2, ""min_child_weight"": 3}"
CV-G,gfold_2,ME3,XGBoost,479,120,0.9361516909952843,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_2,ME4,XGBoost,479,120,0.9204405703506278,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_2,ME1,LightGBM,479,120,0.8857426794001346,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV-G,gfold_2,ME2,LightGBM,479,120,0.9444405719681827,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV-G,gfold_2,ME3,LightGBM,479,120,0.9528454044042549,"{""min_child_samples"": 20, ""num_leaves"": 31}"
CV-G,gfold_2,ME4,LightGBM,479,120,0.8963965027086045,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV-G,gfold_3,ME1,PCA+Kernel,479,120,0.8555592648305933,"{""alpha"": 1.0, ""n_components"": 20}"
CV-G,gfold_3,ME2,PCA+Kernel,479,120,0.9045325238570704,"{""alpha"": 1.0, ""n_components"": 20}"
CV-G,gfold_3,ME3,PCA+Kernel,479,120,0.9132665683260602,"{""alpha"": 1.0, ""n_components"": 50}"
CV-G,gfold_3,ME4,PCA+Kernel,479,120,0.9160663285542432,"{""alpha"": 1.0, ""n_components"": 50}"
CV-G,gfold_3,ME1,Random Forest,479,120,0.8767129078762423,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_3,ME2,Random Forest,479,120,0.9099084396359435,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2}"
CV-G,gfold_3,ME3,Random Forest,479,120,0.9129677848446455,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_3,ME4,Random Forest,479,120,0.9044229998641887,"{""max_features"": 0.2, ""min_samples_leaf"": 2}"
CV-G,gfold_3,ME1,XGBoost,479,120,0.8673675667556225,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_3,ME2,XGBoost,479,120,0.9075865922749492,"{""max_depth"": 2, ""min_child_weight"": 3}"
CV-G,gfold_3,ME3,XGBoost,479,120,0.9493862180163499,"{""max_depth"": 2, ""min_child_weight"": 3}"
CV-G,gfold_3,ME4,XGBoost,479,120,0.9256210641650838,"{""max_depth"": 4, ""min_child_weight"": 3}"
CV-G,gfold_3,ME1,LightGBM,479,120,0.9345653228872058,"{""min_child_samples"": 15, ""num_leaves"": 15}"
CV-G,gfold_3,ME2,LightGBM,479,120,0.9152379822625624,"{""min_child_samples"": 15, ""num_leaves"": 15}"
