regime,model,environment,n_predictions,rmse,mae,r2,rho
CV-G,Environment mean,ME1,599,0.9996101399642521,0.8045642818430236,-0.0008913690964740262,-0.03976897092693569
CV-G,Environment mean,ME2,599,0.9999807861555043,0.7741263631438338,-0.0016337492231237594,-0.05383257490363974
CV-G,Environment mean,ME3,599,0.9996389263676411,0.7879079611511299,-0.0009490165260210848,-0.04104667557946306
CV-G,Environment mean,ME4,599,1.0006256660888395,0.7758220865440293,-0.0029260576217466916,-0.07205444196087615
CV-G,G,ME1,599,1.0353424442569372,0.821847448479863,-0.07372650861384167,0.026218301509297423
CV-G,G,ME2,599,0.9241227604774198,0.7164664820932868,0.14456902511202085,0.39125416048599915
CV-G,G,ME3,599,0.9348476214100748,0.7280711061556713,0.12459848649098892,0.35785923666263475
CV-G,G,ME4,599,0.9416618809023003,0.7327553696385134,0.1117900808215212,0.3364408993935463
CV-G,G+E,ME1,599,1.0356956812954168,0.8223798769274326,-0.07445929934470308,0.02500507788498349
CV-G,G+E,ME2,599,0.9247010735758004,0.7175592685613627,0.14349803811392914,0.38960358056097005
CV-G,G+E,ME3,599,0.935309888272452,0.7283970009629567,0.12373252897485676,0.356375657695509
CV-G,G+E,ME4,599,0.9435945499961709,0.734650305827597,0.10814041104564687,0.3301916070629176
CV-G,G+E+GxE,ME1,599,0.8727834678549792,0.6950392615312859,0.23697518716585775,0.4895534342503665
CV-G,G+E+GxE,ME2,599,0.8822355504108059,0.6736062109607907,0.22035886241005698,0.46944314102890544
CV-G,G+E+GxE,ME3,599,0.9275791614060632,0.7145823257250667,0.13815809815352742,0.37695341691610507
CV-G,G+E+GxE,ME4,599,0.8960391649599565,0.6929580625007651,0.1957711958191647,0.44317884791836054
CV2,Environment mean,ME1,150,0.9901862793610131,0.8150776527707387,-0.0019354140334284509,1.1971316498739876e-17
CV2,Environment mean,ME2,150,0.9303195649400424,0.7378197347647795,-0.0005076920975279897,-4.376830435787034e-17
CV2,Environment mean,ME3,150,1.02958167234835,0.7831316966577924,-0.0014967716619256333,
CV2,Environment mean,ME4,149,0.9472169581572241,0.7399899400239934,-0.010289587551016055,
CV2,G,ME1,150,1.0192834378877418,0.8311514797616488,-0.061685421631628934,0.06932640162014822
CV2,G,ME2,150,0.8300099142495233,0.6628962979572324,0.20361571235849507,0.5187401122298041
CV2,G,ME3,150,0.9500619612877591,0.6949603251700658,0.14723020803735876,0.4091149974816374
CV2,G,ME4,149,0.853880961171234,0.6524228606265605,0.17900292812198693,0.4686409351500361
CV2,G+E,ME1,150,1.0197791242637002,0.830968534841781,-0.06271828637291765,0.06908070650210489
CV2,G+E,ME2,150,0.8302680330655487,0.6625043272237432,0.20312031169162093,0.5191375722861296
CV2,G+E,ME3,150,0.9503223918087957,0.6952659746682385,0.14676262228079895,0.4090293324011343
CV2,G+E,ME4,149,0.8559764006758079,0.6534347029603106,0.17496850023168697,0.4686562588834927
CV2,G+E+GxE,ME1,150,0.8469929460233974,0.6876834657575719,0.26689614070051737,0.5388437556148975
CV2,G+E+GxE,ME2,150,0.8026926335868965,0.6139111444783831,0.25517425799389115,0.512104956452744
CV2,G+E+GxE,ME3,150,0.9461001112016018,0.6964725716305488,0.15432764331950333,0.398764246900779
CV2,G+E+GxE,ME4,149,0.7820580699067423,0.6161645957845258,0.31130813787963796,0.5884277878566005
CV-E,Environment mean,ME1,599,0.9991649267854616,0.8045050473805311,0.0,
CV-E,Environment mean,ME2,599,0.9991649267854619,0.7736616616987216,0.0,9.49765057596899e-17
CV-E,Environment mean,ME3,599,0.9991649267854616,0.7872620187836764,0.0,
CV-E,Environment mean,ME4,599,0.9991649267854616,0.7746792303293439,0.0,9.49765057596899e-17
CV-E,G,ME1,599,1.2361785301920811,1.0012516015919228,-0.5306927721508439,-0.1700452506937638
CV-E,G,ME2,599,0.9091400365071398,0.7107591558054548,0.17208222745461244,0.467977808724203
CV-E,G,ME3,599,0.9156725331684465,0.7169054541105961,0.16014171135205224,0.4389106112481885
CV-E,G,ME4,599,0.9530624940477919,0.7338299008511183,0.09015293909900024,0.30140211686593826
CV-E,G+E,ME1,599,1.236178538441181,1.0012516078652354,-0.5306927925796692,-0.1700452591640634
CV-E,G+E,ME2,599,0.9091400365070373,0.710759155805512,0.17208222745479906,0.46797780872130496
CV-E,G+E,ME3,599,0.9156725331687436,0.7169054541108973,0.16014171135150712,0.43891061124941855
CV-E,G+E,ME4,599,0.9530624940483521,0.7338299008515081,0.09015293909793076,0.30140211686413027
CV-E,G+E+GxE,ME1,599,1.0478848344250618,0.8380107645115317,-0.09989885134549392,-0.16392370499160747
CV-E,G+E+GxE,ME2,599,0.9398387268563777,0.7323820655313321,0.11522608249680444,0.5037770806510756
CV-E,G+E+GxE,ME3,599,0.9439667659976967,0.7415533661672795,0.10743665563615046,0.4648725622774803
CV-E,G+E+GxE,ME4,599,0.9643839080992532,0.7434147445833191,0.06840843311325662,0.3070162309701622
CV-GE,Environment mean,ME1,599,0.999081606403809,0.8045216282449802,0.00016677308295176552,0.03176653798873094
CV-GE,Environment mean,ME2,599,0.9989992667813001,0.7735277410910216,0.00033156942689738234,0.04862540236390089
CV-GE,Environment mean,ME3,599,0.9990864010970547,0.7871218512602938,0.000157176459227637,0.03369038634756858
CV-GE,Environment mean,ME4,599,0.9986364259288415,0.7743578974152853,0.0010576053445379152,0.07149165448656432
CV-GE,G,ME1,599,1.2107399773730425,0.9692360100695885,-0.4683426160413977,-0.19442625821012524
CV-GE,G,ME2,599,0.952040942102677,0.7416177033442651,0.09210235567155223,0.30651996034047524
CV-GE,G,ME3,599,0.9516330020434643,0.7440349936924494,0.0928802391699407,0.31585796050692744
CV-GE,G,ME4,599,1.0026378127728783,0.7863930450981295,-0.006963658156500019,0.1733290017214546
CV-GE,G+E,ME1,599,1.210739977945661,0.969236010874708,-0.46834261743030026,-0.19442625756185727
CV-GE,G+E,ME2,599,0.9520409415485024,0.7416177029064569,0.09210235672851053,0.3065199610900313
CV-GE,G+E,ME3,599,0.9516330020433011,0.7440349936932104,0.09288023917025179,0.31585796050546827
CV-GE,G+E,ME4,599,1.0026378151332844,0.7863930454726358,-0.006963662897679912,0.17332899289855622
CV-GE,G+E+GxE,ME1,599,1.1058944929288252,0.8804962581439291,-0.22504778438911655,-0.15505878467046935
CV-GE,G+E+GxE,ME2,599,0.9628042918326278,0.748967112565996,0.07145774160798424,0.2955276164980426
CV-GE,G+E+GxE,ME3,599,0.9549410278380943,0.7462729936781461,0.08656269628354996,0.3065530868807974
CV-GE,G+E+GxE,ME4,599,0.97704599666935,0.7581361479915002,0.043784767750912335,0.21165893543142658
