regime,scenario,model,n_train,n_test,alpha,gamma_gxe,inner_grouped_rmse,cg_iterations,rmse,mae,r2,rho
CV-G,gfold_0,Environment mean,1916,480,,0.0,,0,0.9831547187203433,0.7788266159407402,-0.0021059140111394647,-0.06083533716855218
CV-G,gfold_0,G,1916,480,10.0,0.0,0.9727884573430131,22,0.9470524314219757,0.7448069039947243,0.07013920772615645,0.2659548204255324
CV-G,gfold_0,G+E,1916,480,10.0,0.0,0.9736662562296831,22,0.9481144289033306,0.745972135933144,0.06805259991175916,0.26220676622112016
CV-G,gfold_0,G+E+GxE,1916,480,10.0,4.0,0.926573078719739,32,0.8855176670723187,0.6968261958114732,0.18704903719124222,0.4333780773917429
CV-G,gfold_1,Environment mean,1916,480,,0.0,,0,1.0321823566261341,0.8098482789318621,-0.0010400903197071987,-0.0419943359439423
CV-G,gfold_1,G,1916,480,10.0,0.0,0.9528237535879277,22,0.9871666476334987,0.7655616493130929,0.08437096488978812,0.2936994437802628
CV-G,gfold_1,G+E,1916,480,10.0,0.0,0.9535985524051265,22,0.9877024855983675,0.7659887062692827,0.08337668098128703,0.29171802494837795
CV-G,gfold_1,G+E+GxE,1916,480,10.0,4.0,0.9002631575502386,33,0.9036658260645066,0.7002455392891559,0.23271920861113726,0.4888423539212497
CV-G,gfold_2,Environment mean,1916,480,,0.0,,0,0.9745771729410784,0.7675629670981353,-0.0008680326439651775,-0.03923741352721079
CV-G,gfold_2,G,1916,480,10.0,0.0,0.9680454348669203,22,0.9318912826133366,0.7307415087032766,0.08488674329284918,0.2923014828711456
CV-G,gfold_2,G+E,1916,480,10.0,0.0,0.9680641195005953,22,0.9323331451472081,0.7312462874688713,0.08401872331330074,0.29067962904983746
CV-G,gfold_2,G+E+GxE,1916,480,10.0,4.0,0.9196572814479391,32,0.8557392763790188,0.6725183427499737,0.2283377062863594,0.4810625119156754
CV-G,gfold_3,Environment mean,1916,480,,0.0,,0,0.9557039443232568,0.7343602038902518,-0.004308055161060809,-0.08511121189130784
CV-G,gfold_3,G,1916,480,10.0,0.0,0.962569222985842,22,0.9430388015650711,0.7206995358848248,0.02213407302487358,0.16993021083876272
CV-G,gfold_3,G+E,1916,480,10.0,0.0,0.9639871334990406,22,0.9450060989828466,0.7233635135948624,0.018049915076729484,0.16203109868828774
CV-G,gfold_3,G+E+GxE,1916,480,10.0,4.0,0.9113170993242923,34,0.8936390022935885,0.6711871187223956,0.1218991061386463,0.35232800327255026
CV-G,gfold_4,Environment mean,1920,476,,0.0,,0,1.0513581099023905,0.8378632842505317,-0.0002483868314191451,-0.020790063472243145
CV-G,gfold_4,G,1920,476,1.0,0.0,0.9494658509243528,66,0.9897413801012047,0.7874296143361184,0.11355870895585995,0.34245434237958344
CV-G,gfold_4,G+E,1920,476,1.0,0.0,0.9497336439467157,67,0.9898758478307806,0.7874684372848175,0.11331782614061747,0.34215728185388367
CV-G,gfold_4,G+E+GxE,1920,476,1.0,1.0,0.8897796482099567,73,0.9344484258364646,0.7297526811239241,0.209836080593652,0.46729687092226596
CV2,sparse_cell,Environment mean,1797,599,,0.0,,0,0.975138397800741,0.7690531948123065,-0.0016802670875077919,-0.041803591732418495
CV2,sparse_cell,G,1797,599,10.0,0.0,0.9717997766221927,21,0.9165595182081545,0.7104544602115185,0.11505160454035446,0.34422524188508996
CV2,sparse_cell,G+E,1797,599,10.0,0.0,0.9725189540951062,21,0.9173096248764905,0.7106387249601849,0.11360253918972163,0.3416174449818393
CV2,sparse_cell,G+E+GxE,1797,599,10.0,4.0,0.929472586652312,36,0.8469263874382605,0.6536203707042904,0.24440699089856,0.5010704759493047
CV-E,heldout_ME1,Environment mean,1797,599,,0.0,,0,0.9991649267854616,0.8045050473805311,0.0,
CV-E,heldout_ME1,G,1797,599,1.0,0.0,0.9177741576711879,65,1.2361785301920811,1.0012516015919228,-0.5306927721508439,-0.1700452506937638
CV-E,heldout_ME1,G+E,1797,599,1.0,0.0,0.9186977164050064,65,1.236178538441181,1.0012516078652354,-0.5306927925796692,-0.1700452591640634
CV-E,heldout_ME1,G+E+GxE,1797,599,10.0,4.0,0.9027004929016221,34,1.0478848344250618,0.8380107645115317,-0.09989885134549392,-0.16392370499160747
CV-E,heldout_ME2,Environment mean,1797,599,,0.0,,0,0.9991649267854619,0.7736616616987216,0.0,9.49765057596899e-17
CV-E,heldout_ME2,G,1797,599,10.0,0.0,0.9672048355757887,21,0.9091400365071398,0.7107591558054548,0.17208222745461244,0.467977808724203
CV-E,heldout_ME2,G+E,1797,599,10.0,0.0,0.9679092852947012,21,0.9091400365070373,0.710759155805512,0.17208222745479906,0.46797780872130496
CV-E,heldout_ME2,G+E+GxE,1797,599,10.0,4.0,0.9015849602553286,35,0.9398387268563777,0.7323820655313321,0.11522608249680444,0.5037770806510756
CV-E,heldout_ME3,Environment mean,1797,599,,0.0,,0,0.9991649267854616,0.7872620187836764,0.0,
CV-E,heldout_ME3,G,1797,599,10.0,0.0,0.9657475450108138,21,0.9156725331684465,0.7169054541105961,0.16014171135205224,0.4389106112481885
CV-E,heldout_ME3,G+E,1797,599,10.0,0.0,0.9668478997903515,21,0.9156725331687436,0.7169054541108973,0.16014171135150712,0.43891061124941855
CV-E,heldout_ME3,G+E+GxE,1797,599,10.0,4.0,0.891820306840434,35,0.9439667659976967,0.7415533661672795,0.10743665563615046,0.4648725622774803
CV-E,heldout_ME4,Environment mean,1797,599,,0.0,,0,0.9991649267854616,0.7746792303293439,0.0,9.49765057596899e-17
CV-E,heldout_ME4,G,1797,599,10.0,0.0,0.9616826950015069,21,0.9530624940477919,0.7338299008511183,0.09015293909900024,0.30140211686593826
CV-E,heldout_ME4,G+E,1797,599,10.0,0.0,0.962656398941675,21,0.9530624940483521,0.7338299008515081,0.09015293909793076,0.30140211686413027
CV-E,heldout_ME4,G+E+GxE,1797,599,10.0,4.0,0.9014186739029783,35,0.9643839080992532,0.7434147445833191,0.06840843311325662,0.3070162309701622
CV-GE,env_ME1__gfold_0,Environment mean,1437,120,,0.0,,0,0.9808257635370409,0.8157352107699498,-0.0005322240840692771,-9.938446103921909e-17
CV-GE,env_ME1__gfold_0,G,1437,120,1.0,0.0,0.9334969652468825,58,1.2100507277776842,0.968952474755082,-0.5228408032610561,-0.15584726076098007
CV-GE,env_ME1__gfold_0,G+E,1437,120,1.0,0.0,0.9345977809608507,57,1.2100507224851507,0.9689524740571497,-0.5228407899398193,-0.15584724385922266
CV-GE,env_ME1__gfold_0,G+E+GxE,1437,120,10.0,4.0,0.9254500947989677,31,1.0309793078941216,0.8307040444696328,-0.10547073062624324,-0.18548587162182614
CV-GE,env_ME1__gfold_1,Environment mean,1437,120,,0.0,,0,1.030000336972101,0.8214993710723,-0.00010440438726888601,
CV-GE,env_ME1__gfold_1,G,1437,120,1.0,0.0,0.9043528456330134,58,1.2362778727542585,0.9859725303005261,-0.4407970104653931,-0.1799035912740565
CV-GE,env_ME1__gfold_1,G+E,1437,120,1.0,0.0,0.9054325676803178,58,1.236277874328288,0.9859725293171931,-0.4407970141342399,-0.1799035966563303
CV-GE,env_ME1__gfold_1,G+E+GxE,1437,120,1.0,0.25,0.8992039721390287,59,1.2178166968958313,0.9692690426993493,-0.3980878278219899,-0.18062077740450785
CV-GE,env_ME1__gfold_2,Environment mean,1437,120,,0.0,,0,0.9886329011506574,0.7984326713927835,-0.0029945438394225476,-6.560565104110525e-17
CV-GE,env_ME1__gfold_2,G,1437,120,1.0,0.0,0.9370040462332455,58,1.2265068066640399,0.9946769312966182,-0.5437194536423653,-0.29534000302466323
CV-GE,env_ME1__gfold_2,G+E,1437,120,1.0,0.0,0.9370331745486108,58,1.226506807235877,0.9946769322911894,-0.543719455081829,-0.2953399989180992
CV-GE,env_ME1__gfold_2,G+E+GxE,1437,120,10.0,4.0,0.9241580209656206,32,1.0439978692187635,0.8397423850011417,-0.11847859252259751,-0.2636551286072227
CV-GE,env_ME1__gfold_3,Environment mean,1437,120,,0.0,,0,1.000197797699159,0.7889604047804913,-0.0032831988589305805,-1.667736234537214e-17
CV-GE,env_ME1__gfold_3,G,1437,120,1.0,0.0,0.9166135632660342,58,1.1790733112818845,0.9413104881726652,-0.39422661779813195,-0.23594662553923318
CV-GE,env_ME1__gfold_3,G+E,1437,120,1.0,0.0,0.9183551430053936,58,1.1790733096293302,0.9413104884494267,-0.39422661388991775,-0.23594661986757534
CV-GE,env_ME1__gfold_3,G+E+GxE,1437,120,10.0,4.0,0.9091404353941612,31,1.0411723688420007,0.8234335948130626,-0.08716889866033872,-0.20608689663992666
CV-GE,env_ME1__gfold_4,Environment mean,1440,119,,0.0,,0,0.9950085817607961,0.7979255156040347,-0.0002405153376328073,8.213157154185115e-17
CV-GE,env_ME1__gfold_4,G,1440,119,1.0,0.0,0.8913977395786578,58,1.2008829275549133,0.9551502444428273,-0.45697510237420325,-0.13117753439048777
CV-GE,env_ME1__gfold_4,G+E,1440,119,1.0,0.0,0.8917036491471902,58,1.200882935251855,0.9551502489088661,-0.4569751210508819,-0.131177550996258
CV-GE,env_ME1__gfold_4,G+E+GxE,1440,119,1.0,0.25,0.8853701245378292,58,1.1817324552195658,0.9398266436153875,-0.41087687555906505,-0.13442333292005978
CV-GE,env_ME2__gfold_0,Environment mean,1437,120,,0.0,,0,0.9301620150190866,0.7218996375992842,-0.00881487541538517,-2.797268492192824e-17
CV-GE,env_ME2__gfold_0,G,1437,120,10.0,0.0,0.9767757424875712,19,0.8795886524771829,0.6939266992992825,0.09790243040725011,0.3304705021572743
