regime,model,n_predictions,n_genotypes,n_environments,rmse,mae,r2,rho
CV-G,Environment mean,2396,599,4,0.9999639632687665,0.7856051731705042,-0.001600048116841446,-0.05328269072960241
CV-G,G,2396,599,4,0.9600265655846285,0.7497851015918336,0.07680777095267222,0.2779431495128695
CV-G,G+E,2396,599,4,0.9608476572288812,0.7507466130698373,0.07522791969743226,0.27532472441006106
CV-G,G+E+GxE,2396,599,4,0.8948994125021165,0.694046465179477,0.19781583588715168,0.4448462257145681
CV2,Environment mean,599,599,4,0.975138397800741,0.7690531948123065,-0.0016802670875077919,-0.041803591732418495
CV2,G,599,599,4,0.9165595182081545,0.7104544602115185,0.11505160454035446,0.34422524188508996
CV2,G+E,599,599,4,0.9173096248764905,0.7106387249601849,0.11360253918972163,0.3416174449818393
CV2,G+E+GxE,599,599,4,0.8469263874382605,0.6536203707042904,0.24440699089856,0.5010704759493047
CV-E,Environment mean,2396,599,4,0.9991649267854616,0.7850269895480683,0.0,-1.76342721268151e-16
CV-E,G,2396,599,4,1.0126027441755943,0.790686528089773,-0.02707897356129485,0.1468378766688562
CV-E,G+E,2396,599,4,1.0126027466933814,0.7906865296582882,-0.02707897866885811,0.1468378713962041
CV-E,G+E+GxE,2396,599,4,0.9749960302773027,0.7638402351983655,0.04779307997517912,0.23258210768042417
CV-GE,Environment mean,2396,599,4,0.9989509421554427,0.7848822795028951,0.00042828107840353624,0.04821616030772956
CV-GE,G,2396,599,4,1.0347899789847776,0.8103204380511081,-0.0725809198391012,0.08089705755231157
CV-GE,G+E,2396,599,4,1.0347899795965376,0.8103204382367527,-0.07258092110730452,0.0808970564093355
CV-GE,G+E+GxE,2396,599,4,1.0020636182545637,0.7834681280948929,-0.005810644686667477,0.10722190027363948
