regime,scope,nominal_coverage,empirical_coverage,mean_width,median_width,n
CV-G,pooled,0.8,0.8017529215358932,2.209756848427411,2.201396018570874,2396
CV-G,pooled,0.9,0.8977462437395659,2.918744823356929,2.932700228384802,2396
CV-G,pooled,0.95,0.9494991652754591,3.6601203656812813,3.6526311868216657,2396
CV-G,environment_ME1,0.8,0.7979966611018364,2.1597737969523214,2.1762392766706835,599
CV-G,environment_ME1,0.9,0.8981636060100167,2.7944507328017316,2.7949521975760527,599
CV-G,environment_ME1,0.95,0.9449081803005008,3.4379047927008632,3.465862011761615,599
CV-G,environment_ME2,0.8,0.8030050083472454,2.1843008760164415,2.1819961062972997,599
CV-G,environment_ME2,0.9,0.8981636060100167,2.9083536654226503,2.932700228384802,599
CV-G,environment_ME2,0.95,0.9532554257095158,3.8682933354521554,3.8747734833744434,599
CV-G,environment_ME3,0.8,0.8063439065108514,2.2997123280488747,2.3058435371488635,599
CV-G,environment_ME3,0.9,0.8981636060100167,2.9416118870855206,2.9257528348466013,599
CV-G,environment_ME3,0.95,0.9465776293823038,3.5847273453193993,3.580131064194891,599
CV-G,environment_ME4,0.8,0.7996661101836394,2.1952403926920057,2.201396018570874,599
CV-G,environment_ME4,0.9,0.8964941569282137,3.0305630081178148,3.045670627542287,599
CV-G,environment_ME4,0.95,0.9532554257095158,3.7495559892527104,3.7200486988339794,599
CV2,pooled,0.8,0.8013355592654424,2.1236422899678034,2.1578055749276626,599
CV2,pooled,0.9,0.8998330550918197,2.8538557558663857,2.946490803325065,599
CV2,pooled,0.95,0.9499165275459098,3.4615317769402463,3.495599196085686,599
CV2,environment_ME1,0.8,0.7933333333333333,2.2428819153888866,2.237179075114386,150
CV2,environment_ME1,0.9,0.9066666666666666,3.00899556416821,3.027182905396995,150
CV2,environment_ME1,0.95,0.9466666666666667,3.44688802022353,3.5506744940593236,150
CV2,environment_ME2,0.8,0.82,1.9316460442333163,1.9211249117544462,150
CV2,environment_ME2,0.9,0.8933333333333333,2.715561241680228,2.6761418813749147,150
CV2,environment_ME2,0.95,0.9466666666666667,3.548849671561615,3.4698459439915275,150
CV2,environment_ME3,0.8,0.7933333333333333,2.3156864842182205,2.3637222226794217,150
CV2,environment_ME3,0.9,0.9,3.046551905078834,3.0984024034194158,150
CV2,environment_ME3,0.95,0.9466666666666667,3.605366463686041,3.587576601835914,150
CV2,environment_ME4,0.8,0.7986577181208053,2.003554128286246,1.9263784621389721,149
CV2,environment_ME4,0.9,0.8993288590604027,2.642907994126672,2.630023963847175,149
CV2,environment_ME4,0.95,0.959731543624161,3.2435698729297258,3.225265393967767,149
